delay_us,accumulated_us
-9.74,9.748
0.896,500000.64400000003
-4.33,999994.974
43.29,1499988.264
27.68,1999965.944
21.52,2499947.464
16.89,2999944.3540000003
19.94,3499944.294
2.44,3999936.734
15.66,4499932.394
24.5,4999936.894
19.67,5499926.564
15.33,5999931.894
-7.29,6499929.184
-1.2,6999920.384000001
-4.88,7499915.264
-11.9,7999917.164000001
-13.14,8499910.304000001
-19.35,8999909.654000001
-11.74,9499901.394000001
-18.18,9999899.574000001
-25.15,10499904.724000001
-10.95,10999895.674
-22.86,11499898.534
20.28,11999898.814
26.14,12499884.954
26.38,12999881.334
21.19,13499872.524
32.22,13999874.744
28.15,14499862.894000001
21.07,14999863.964000002
32.08,15499866.044000002
32.06,15999858.104000002
38.83,16499856.934000002
40.87,16999847.804
31.97,17499839.774
37.36,17999837.134
34.97,18499832.104
41.65,18999823.753999997
35.78,19499819.533999998
49.21,19999818.744
45.91,20499814.654
41.62,20999816.274
35.97,21499812.244
5.75,21999777.994
-5.66,22499773.654
-0.848,22999764.502
-0.712,23499755.214
-10.54,23999755.754
28.08,24499773.834
-5.54,24999739.373999998
-15.34,25499744.713999998
-4.86,25999729.573999997
0.672,26499720.245999996
6.86,26999717.105999995
11.83,27499708.935999993
6.49,27999695.42599999
0.936,28499686.361999992
5.54,28999681.90199999
2.26,29499674.161999993
-0.07200000000000001,29999664.233999994
9.42,30499663.653999995
6.26,30999659.913999997
-8.06,31499657.973999996
-72.08,31999660.053999994
-74.56,32499654.613999993
-85.78,32999650.393999994
-78.58,33499638.973999992
-89.98,33999638.95399999
-97.49,34499636.44399999
-89.08,34999625.52399999
-96.08,35499621.60399999
-102.98,35999624.583999984
-103.83,36499618.41399998
-11.78,36999650.19399998
-4.97,37499645.16399998
2.34,37999637.503999986
-2.94,38499640.44399998
-12.31,38999642.753999986
0.544,39499633.297999986
-0.656,39999623.95399999
-5.0,40499628.95399999
7.43,40999626.38399999
4.45,41499620.83399999
-66.16,41999596.99399999
-61.36,42499588.35399999
-76.55,42999594.903999984
-64.11,43499589.01399998
-81.46,43999590.473999985
-79.62,44499580.09399998
-86.1,44999586.19399998
-74.23,45499570.42399998
-78.24,45999568.66399998
-93.28,46499571.94399998
9.51,46999571.45399998
11.04,47499562.49399998
12.78,47999565.27399998
27.86,48499563.13399998
19.71,48999552.84399998
17.9,49499550.74399998
28.0,49999548.74399998
29.09,50499537.833999984
26.7,50999544.53399999
40.75,51499545.28399999
-18.99,51999534.27399999
-22.82,52499527.09399999
-15.14,52999512.23399999
-20.36,53499502.59399999
-29.29,53999501.88399999
-16.34,54499488.22399999
-20.31,54999478.533999994
-28.66,55499477.19399999
-19.37,55999466.56399999
-18.72,56499455.28399999
13.87,56999419.153999984
19.69,57499408.84399998
16.12,57999394.96399998
11.71,58499386.67399998
14.71,58999381.38399998
20.2,59499371.583999984
11.46,59999363.043999985
28.02,60499361.06399999
9.69,60999350.753999986
21.08,61499341.833999984
-152.18,61999354.01399998
-163.44,62499347.45399998
-168.88,62999346.333999984
-175.08,63499341.41399998
-251.76,63999403.17399998
-197.61,64499330.78399998
-195.77,64999326.55399998
-207.67,65499324.223999985
-223.67,65999337.89399999
-216.27,66499324.16399999
13.37,66999317.53399999
12.85,67499310.38399997
24.02,67999314.40399997
28.83,68499303.23399997
28.51,68999301.74399997
40.56,69499312.30399998
43.39,69999305.69399998
45.78,70499301.47399998
59.33,70999310.80399998
60.83,71499301.63399997
-21.49,71999263.12399997
-12.84,72499245.96399997
-20.01,72999245.97399998
-23.85,73499249.82399997
-21.28,73999251.10399997
-20.39,74499241.49399997
-28.16,74999249.65399997
-15.5,75499235.15399997
-20.23,75999235.38399997
-26.08,76499231.46399997
-409.79,76999221.25399998
-435.66,77499216.91399997
-461.57,77999218.48399997
-469.94,78499208.42399997
-497.18,78999205.60399997
-515.42,79499201.02399997
-521.77,79999192.79399997
-541.85,80499184.64399996
-561.46,80999186.10399996
-577.3,81499173.40399995
-592.66,81999176.06399995
12.83,82499188.89399995
35.74,82999194.63399994
42.82,83499197.45399994
-26.3,83999233.75399993
68.4,84499222.15399994
79.58,84999221.73399994
87.7,85499229.43399994
111.5,85999240.93399994
128.39,86499249.32399994
-15.38,86999124.70399994
-12.42,87499117.12399994
-17.79,87999114.91399994
-20.7,88499115.61399995
-10.7,88999106.31399995
-13.3,89499099.61399995
-18.13,89999107.74399994
-2.73,90499090.47399995
-4.46,90999084.93399994
-11.97,91499086.90399994
29.89,91999076.79399994
16.93,92499053.72399995
6.9,92999040.62399995
18.65,93499039.27399996
12.46,93999031.73399995
11.75,94499023.48399995
24.98,94999028.46399996
22.93,95499021.39399996
23.77,95999025.16399996
36.06,96499031.22399996
22.74,96999023.96399996
15.48,97499009.44399996
22.8,97999012.24399996
26.42,98499008.66399996
19.08,98999007.74399996
31.86,99499009.60399996
29.7,99998999.30399996
32.07,100499001.37399995
38.6,100998999.97399995
36.38,101498986.35399994
26.27,101998992.62399994
41.77,102498994.39399993
35.22,102998989.61399993
32.73,103498982.34399994
35.3,103998987.64399993
37.19,104498974.83399993
33.12,104998967.95399994
50.9,105498968.85399994
51.66,105998970.51399994
42.71,106498963.22399993
24.9,106998968.12399994
-23.42,107498931.54399994
-32.42,107998933.96399994
-26.98,108498930.94399995
-34.08,108998925.02399994
-42.46,109498927.48399994
-32.09,109998919.57399994
-39.83,110498919.40399994
-43.77,110998923.17399994
-37.45,111498920.62399994
-29.78,111998910.40399994
-77.62,112498908.02399994
-69.86,112998897.88399994
-83.98,113498891.86399995
-93.11,113998894.97399995
-83.15,114498888.12399995
-89.16,114998877.28399995
-101.13,115498878.41399994
-90.14,115998868.55399995
-96.55,116498865.10399994
-83.18,116998848.28399995
-78.36,117498836.64399995
-82.49,117998829.13399994
-95.91,118498835.04399994
-87.48,118998822.52399994
-94.05,119498816.57399994
-99.93,119998816.50399995
-88.98,120498805.48399995
-93.15,120998798.63399996
-105.77,121498804.40399995
-87.59,121998791.99399996
26.92,122498808.91399996
23.85,122998802.76399995
29.15,123498801.91399996
8.3,123998800.21399996
22.54,124498792.75399996
44.64,124998797.39399996
44.54,125498791.93399997
47.99,125998799.92399997
60.48,126498790.40399997
88.71,126998789.11399996
62.1,127498761.21399996
73.9,127998755.11399996
80.94,128498746.05399996
70.95,128998737.00399996
84.58,129498741.58399996
89.47,129998731.05399996
72.84,130498723.89399996
95.18,130998729.07399997
90.82,131498729.89399996
-8.02,131998727.91399996
-16.36,132498724.27399996
-30.65,132998724.92399997
-42.39,133498737.31399997
-31.11,133998728.42399997
-35.62,134498724.04399997
-49.58,134998733.62399998
-29.17,135498712.79399997
-31.53,135998704.32399997
-57.24,136498721.56399998
-24.42,136998695.98399997
-21.15,137498677.13399997
-40.83,137998687.964
-29.07,138498677.03399998
-32.16,138998669.19399998
-40.3,139498669.494
-32.86,139998662.354
-30.72,140498653.074
-30.87,140998653.944
-27.15,141498641.094
-29.06,141998640.154
-38.12,142498628.27400002
-23.38,142998611.654
-34.7,143498606.354
-81.66,143998648.014
-34.78,144498602.794
-37.63,144998590.424
-51.41,145498601.834
-25.14,145998586.97399998
-30.62,146498577.59399998
-7.34,146998544.934
43.7,147498578.63399997
34.53,147998563.16399997
29.55,148498562.714
36.58,148998559.294
40.32,149498549.614
33.93,149998543.544
55.54,150498549.084
52.03,150998541.114
44.6,151498535.714
49.78,151998535.494
-55.35,152498520.84399998
-65.9,152998516.744
-57.75,153498504.494
