network_time,rpi_time,network_reference,rpi_reference,instant_drift_coefficient,ema_drift_coefficient,drift_coefficient
1025668353.28742,1507628854.852717,1025668348.263338,1507628849.828379,1.0000509431058995,1.0000203772423597,1.0000326035877758
1025668358.31001,1507628859.875588,1025668353.28742,1507628854.852717,1.0000559662463249,1.0000346128439457,1.0000431542048973
1025668363.332383,1507628864.898238,1025668358.31001,1507628859.875588,1.000055137914926,1.000042822872338,1.000047748889373
1025668368.354329,1507628869.920496,1025668363.332383,1507628864.898238,1.0000621452168028,1.000050551810124,1.0000551891727953
1025668373.377743,1507628874.944161,1025668368.354329,1507628869.920496,1.0000499531899454,1.0000503123620526,1.0000501686932095
1025668378.399872,1507628879.966625,1025668373.377743,1507628874.944161,1.0000667241556231,1.0000568770794809,1.0000608159099378
1025668383.422123,1507628884.989117,1025668378.399872,1507628879.966625,1.000047970914577,1.0000533146135193,1.0000511771339424
1025668388.444499,1507628890.011826,1025668383.422123,1507628884.989117,1.0000663173667192,1.0000585157147994,1.0000616363755674
1025668393.46675,1507628895.034353,1025668388.444499,1507628890.011826,1.0000549493652873,1.0000570891749945,1.0000562332511116
1025668398.489032,1507628900.056966,1025668393.46675,1507628895.034353,1.0000659150953282,1.0000606195431279,1.000062737764008
1025668403.511287,1507628905.079504,1025668398.489032,1507628900.056966,1.0000563497585362,1.0000589116292913,1.0000578868809893
1025668408.533111,1507628910.101908,1025668403.511287,1507628905.079504,1.0001154865629307,1.000081541602747,1.0000951195868204
1025668413.554996,1507628915.123784,1025668408.533111,1507628910.101908,0.9999982196532478,1.0000482128229473,1.0000282155550675
1025668418.577158,1507628920.146251,1025668413.554996,1507628915.123784,1.00006071834502,1.0000532150317765,1.0000562163570739
1025668423.598616,1507628925.168034,1025668418.577158,1507628920.146251,1.0000647389126185,1.0000578245841134,1.0000605903155155
1025668428.620714,1507628930.190343,1025668423.598616,1507628925.168034,1.0000419906651594,1.000051491016532,1.000047690875983
1025668433.642752,1507628935.212774,1025668428.620714,1507628930.190343,1.0000782616578479,1.0000621992730583,1.0000686242269743
1025668438.664914,1507628940.235224,1025668433.642752,1507628935.212774,1.0000573477410355,1.0000602586602492,1.0000590942925638
1025668443.687074,1507628945.257543,1025668438.664914,1507628940.235224,1.0000316884375728,1.0000488305711785,1.0000419737177362
1025668448.709172,1507628950.280086,1025668443.687074,1507628945.257543,1.000088586296583,1.0000647328613403,1.0000742742354374
