network_time,rpi_time,network_reference,rpi_reference,instant_drift_coefficient,ema_drift_coefficient,drift_coefficient
1025753235.224759,1507810009.430753,1025753230.201137,1507810004.407812,0.9998644082147076,0.999945763285883,0.9999132212574129
1025753240.247066,1507810014.452632,1025753235.224759,1507810009.430753,0.9999147641600739,0.9999333636355594,0.9999259238453652
1025753245.269408,1507810019.474494,1025753240.247066,1507810014.452632,0.9999044396811447,0.9999217940537934,0.9999148523047339
1025753250.291746,1507810024.49638,1025753245.269408,1507810019.474494,0.9999100175229659,0.9999170834414624,0.9999142570740638
1025753255.31384,1507810029.518312,1025753250.291746,1507810024.49638,0.9999677177222441,0.999937337153775,0.9999494893811627
1025753260.335905,1507810034.539839,1025753255.31384,1507810029.518312,0.9998928981758366,0.9999195615625995,0.9999088962078944
1025753265.358062,1507810039.561586,1025753260.335905,1507810034.539839,0.9999183221155014,0.9999190657837602,0.9999187683164567
1025753270.380493,1507810044.58323,1025753265.358062,1507810039.561586,0.9998433227817718,0.9998887685829648,0.9998705902624876
1025753275.40335,1507810049.605636,1025753270.380493,1507810044.58323,0.9999101929527194,0.9998973383308667,0.9999024801796077
1025753280.425628,1507810054.627425,1025753275.40335,1507810049.605636,0.9999026582556374,0.999899466300775,0.9999007430827199
1025753285.447934,1507810059.649205,1025753280.425628,1507810054.627425,0.9998952531793318,0.9998977810521976,0.9998967699030512
1025753290.470243,1507810064.671065,1025753285.447934,1507810059.649205,0.9999106341366063,0.999902922285961,0.9999060070262191
1025753295.492555,1507810069.69296,1025753290.470243,1507810064.671065,0.9999169479513832,0.99990853255213,0.9999118987118312
1025753300.515288,1507810074.71519,1025753295.492555,1507810069.69296,0.9998998427341054,0.9999050566249201,0.9999029710685943
1025753305.537569,1507810079.737026,1025753300.515288,1507810074.71519,0.9999113931949641,0.9999075912529378,0.9999091120297483
1025753310.560002,1507810084.758991,1025753305.537569,1507810079.737026,0.999906838683835,0.9999072902252967,0.999907109608712
1025753315.582403,1507810089.780851,1025753310.560002,1507810084.758991,0.999892264483075,0.9999012799284079,0.9998976737502747
1025753320.604648,1507810094.802669,1025753315.582403,1507810089.780851,0.9999150004705712,0.9999067681452734,0.9999100610753926
1025753325.626988,1507810099.824533,1025753320.604648,1507810094.802669,0.999905199190647,0.9999061405634229,0.9999057640143125
1025753330.649237,1507810104.846309,1025753325.626988,1507810099.824533,0.9999058146136317,0.9999060101835064,0.9999059319555565
1025753335.671546,1507810109.868154,1025753330.649237,1507810104.846309,0.9999076434065166,0.9999066634727105,0.999907055446233
1025753340.693822,1507810114.889986,1025753335.671546,1507810109.868154,0.9999115829954993,0.999908631281826,0.9999098119672953
1025753345.716135,1507810119.911801,1025753340.693822,1507810114.889986,0.9999008550039443,0.9999055207706733,0.9999036544639817
1025753350.73832,1507810124.933511,1025753345.716135,1507810119.911801,0.999905409891932,0.9999054764191768,0.9999054498082789
1025753355.760418,1507810129.955147,1025753350.73832,1507810124.933511,0.9999079955826486,0.9999064840845655,0.9999070886837987
1025753360.782574,1507810134.976821,1025753355.760418,1507810129.955147,0.999904008882454,0.9999054940037209,0.9999048999552141
1025753365.80461,1507810139.998419,1025753360.782574,1507810134.976821,0.9999128131052181,0.9999084216443198,0.9999101782286791
1025753370.826732,1507810145.020056,1025753365.80461,1507810139.998419,0.999903414812161,0.9999064189114563,0.9999052172717382
1025753375.849073,1507810150.041912,1025753370.826732,1507810145.020056,0.9999034427593344,0.9999052284506076,0.9999045141740983
1025753380.871351,1507810155.063703,1025753375.849073,1507810150.041912,0.9999030380332306,0.9999043522836568,0.9999038265834863
1025753385.893628,1507810160.085493,1025753380.871351,1507810155.063703,0.9999030380148186,0.9999038265761215,0.9999035111516004
1025753390.915907,1507810165.107325,1025753385.893628,1507810160.085493,0.9999109896456035,0.9999066918039143,0.99990841094059
1025753395.938155,1507810170.129096,1025753390.915907,1507810165.107325,0.9999050075635532,0.9999060181077699,0.9999056138900833
1025753400.960526,1507810175.150895,1025753395.938155,1507810170.129096,0.9998861400383535,0.9998980668800034,0.9998932961433434
1025753405.980088,1507810180.170092,1025753400.960526,1507810175.150895,0.999927280738007,0.9999097524232048,0.9999167637491257
1025753410.999406,1507810185.188944,1025753405.980088,1507810180.170092,0.999907160870404,0.9999087158020845,0.9999080938294124
1025753416.021807,1507810190.210802,1025753410.999406,1507810185.188944,0.9998918847147844,0.9999019833671645,0.9998979439062124
1025753421.044115,1507810195.232676,1025753416.021807,1507810190.210802,0.9999135773783792,0.9999066209716503,0.9999094035343419
1025753426.066455,1507810200.254589,1025753421.044115,1507810195.232676,0.9999149783427385,0.9999099639200856,0.9999119696891468
1025753431.088794,1507810205.276446,1025753426.066455,1507810200.254589,0.9999040361156506,0.9999075927983117,0.9999061701252472
1025753436.111102,1507810210.298274,1025753431.088794,1507810205.276446,0.9999044152987456,0.9999063217984853,0.9999055591985895
1025753441.133352,1507810215.320077,1025753436.111102,1507810210.298274,0.9999109653959689,0.9999081792374788,0.9999092937008748
1025753446.15563,1507810220.341879,1025753441.133352,1507810215.320077,0.9999052217543916,0.9999069962442438,0.9999062864483029
1025753451.17803,1507810225.363728,1025753446.15563,1507810220.341879,0.999890318149759,0.99990032500645,0.9998963222637736
1025753456.199792,1507810230.385074,1025753451.17803,1507810225.363728,0.9999171287630301,0.999907046509082,0.9999110794106613
1025753461.222102,1507810235.406934,1025753456.199792,1507810230.385074,0.9999104205321647,0.9999083961183151,0.999909205883855
1025753466.244381,1507810240.428721,1025753461.222102,1507810235.406934,0.9999020411356496,0.9999058541252489,0.9999043289294092
1025753471.266811,1507810245.450517,1025753466.244381,1507810240.428721,0.9998737515100746,0.9998930130791792,0.9998853084515374
1025753476.288084,1507810250.471498,1025753471.266811,1507810245.450517,0.9999418586583272,0.9999125513108384,0.999924274249834
1025753481.310363,1507810255.493288,1025753476.288084,1507810250.471498,0.9999026345403375,0.9999085846026381,0.9999062045777178
1025753486.333159,1507810260.515612,1025753481.310363,1507810255.493288,0.9999060147386928,0.99990755665706,0.9999069398897131
1025753491.355924,1507810265.537914,1025753486.333159,1507810260.515612,0.9999078416633861,0.9999076706595904,0.9999077390611086
1025753496.379576,1507810270.561024,1025753491.355924,1507810265.537914,0.9998921014743514,0.9999014429854948,0.9998977063810374
1025753501.404234,1507810275.585269,1025753496.379576,1507810270.561024,0.9999177933739182,0.9999079831408642,0.9999119072340859
1025753506.426482,1507810280.607071,1025753501.404234,1507810275.585269,0.9999112027203442,0.9999092709726563,0.9999100436717314
1025753511.449158,1507810285.628972,1025753506.426482,1507810280.607071,0.9998457275795891,0.9998838536154294,0.9998686032010933
1025753516.471771,1507810290.6513,1025753511.449158,1507810285.628972,0.9999432270378289,0.9999076029843892,0.999921852605765
1025753521.494053,1507810295.673213,1025753516.471771,1507810290.6513,0.999926536831098,0.9999151765230727,0.9999197206462829
1025753526.516361,1507810300.695037,1025753521.494053,1507810295.673213,0.9999036082761872,0.9999105492243185,0.999907772845066
1025753531.538672,1507810305.716862,1025753526.516361,1507810300.695037,0.9999032522942333,0.9999076304522845,0.999905879189064
1025753536.557135,1507810310.734874,1025753531.538672,1507810305.716862,0.9999101380759462,0.9999086335017492,0.999909235331428
1025753541.579443,1507810315.756703,1025753536.557135,1507810310.734874,0.9999046051864064,0.9999070221756121,0.9999060553799299
1025753546.601752,1507810320.778544,1025753541.579443,1507810315.756703,0.9999068126503702,0.9999069383655154,0.9999068880794573
1025753551.624029,1507810325.800369,1025753546.601752,1507810320.778544,0.9999100164294191,0.9999081695910769,0.9999089083264138
1025753556.646461,1507810330.822307,1025753551.624029,1507810325.800369,0.9999016643551184,0.9999055674966935,0.9999040062400634
1025753561.66877,1507810335.844126,1025753556.646461,1507810330.822307,0.9999024214968362,0.9999043090967505,0.9999035540567849
1025753566.691049,1507810340.865966,1025753561.66877,1507810335.844126,0.9999126037000299,0.9999076269380623,0.9999096176428494
1025753571.711802,1507810345.886149,1025753566.691049,1507810340.865966,0.9998864357539661,0.9998991504644238,0.9998940645802407
1025753576.730145,1507810350.904107,1025753571.711802,1507810345.886149,0.9999233197912474,0.9999088181951532,0.9999146188335909
1025753581.752393,1507810355.925891,1025753576.730145,1507810350.904107,0.9999075710775802,0.999908319348124,0.9999080200399064
1025753586.774703,1507810360.947726,1025753581.752393,1507810355.925891,0.99990543598308,0.9999071660021064,0.9999064739944958
1025753591.796827,1507810365.969397,1025753586.774703,1507810360.947726,0.999909823792272,0.9999082291181727,0.9999088669878125
1025753596.818922,1507810370.990941,1025753591.796827,1507810365.969397,0.9998902640160422,0.9999010430773205,0.9998967314528092
1025753601.840835,1507810376.012469,1025753596.818922,1507810370.990941,0.9999233505635917,0.999909966071829,0.9999153198685341
1025753606.860611,1507810381.03171,1025753601.840835,1507810376.012469,0.9998933955415114,0.999903337859702,0.9998993609324258
1025753611.882891,1507810386.053544,1025753606.860611,1507810381.03171,0.9999112032894232,0.9999064840315905,0.9999083717347237
1025753616.900593,1507810391.070709,1025753611.882891,1507810386.053544,0.9998929713539789,0.9999010789605459,0.9998978359179191
1025753621.922869,1507810396.092583,1025753616.900593,1507810391.070709,0.999919961839932,0.9999086321123004,0.9999131640033531
1025753626.945178,1507810401.114414,1025753621.922869,1507810396.092583,0.9999048188303578,0.9999071067995233,0.9999061916118571
1025753631.967425,1507810406.136183,1025753626.945178,1507810401.114414,0.9999048413895378,0.9999062006355292,0.9999056569371326
1025753636.989704,1507810411.158023,1025753631.967425,1507810406.136183,0.9999126037000299,0.9999087618613295,0.9999102985968097
1025753642.011981,1507810416.179822,1025753636.989704,1507810411.158023,0.9999047944865208,0.999907174911406,0.9999062227414519
1025753647.034046,1507810421.201341,1025753642.011981,1507810416.179822,0.9998912603180748,0.9999008090740735,0.999896989571674
1025753652.056142,1507810426.223054,1025753647.034046,1507810421.201341,0.9999237568847272,0.9999099881983351,0.999915495672892
1025753657.078178,1507810431.244604,1025753652.056142,1507810426.223054,0.9999032469984493,0.9999072917183809,0.9999056738304082
1025753662.100517,1507810436.26644,1025753657.078178,1507810431.244604,0.9998998111412717,0.9999042994875371,0.999902504149031
1025753667.122369,1507810441.287875,1025753662.100517,1507810436.26644,0.9999169640814818,0.999909365325115,0.9999124048276617
1025753672.144554,1507810446.309584,1025753667.122369,1507810441.287875,0.9999052199996198,0.999907707194917,0.9999067123167982
1025753677.166925,1507810451.331376,1025753672.144554,1507810446.309584,0.9998847633700659,0.9998985296649765,0.9998930231470122
1025753682.188958,1507810456.353058,1025753677.166925,1507810451.331376,0.9999300937785434,0.9999111553104032,0.9999187306976594
1025753687.211847,1507810461.375458,1025753682.188958,1507810456.353058,0.9999026463623655,0.9999077517311882,0.9999057095836591
1025753692.231929,1507810466.395069,1025753687.211847,1507810461.375458,0.9999061539009534,0.9999071125990943,0.9999067291198379
1025753697.254268,1507810471.416921,1025753692.231929,1507810466.395069,0.9999030154780746,0.9999054737506864,0.9999044904416416
1025753702.276579,1507810476.438765,1025753697.254268,1507810471.416921,0.9999070500451956,0.99990610426849,0.9999064825791723
1025753707.29895,1507810481.460592,1025753702.276579,1507810476.438765,0.9998916941828241,0.9999003402342237,0.9998968818136638
1025753712.32126,1507810486.482511,1025753707.29895,1507810481.460592,0.9999221460904876,0.9999090625767293,0.9999142959822327
1025753717.343537,1507810491.504307,1025753712.32126,1507810486.482511,0.9999042248200227,0.9999071274740468,0.9999059664124372
1025753722.365814,1507810496.526112,1025753717.343537,1507810491.504307,0.9999060287639331,0.9999066879900014,0.9999064242995741
1025753727.388121,1507810501.547937,1025753722.365814,1507810496.526112,0.9999039880332773,0.9999056080073117,0.9999049600176979
1025753732.410432,1507810506.569759,1025753727.388121,1507810501.547937,0.9999026351597018,0.9999044188682676,0.9999037053848413
1025753737.432769,1507810511.591649,1025753732.410432,1507810506.569759,0.9999110381440335,0.999907066578574,0.9999086552047578
1025753742.455083,1507810516.613466,1025753737.432769,1507810511.591649,0.999901021176626,0.9999046484177949,0.9999031975213273
1025753747.477331,1507810521.635266,1025753742.455083,1507810516.613466,0.9999107992063551,0.999907108733219,0.9999085849224734
1025753752.496192,1507810526.653655,1025753747.477331,1507810521.635266,0.9999059648029036,0.9999066511610928,0.9999063766178171
1025753757.518804,1507810531.675807,1025753752.496192,1507810526.653655,0.9999084084833539,0.9999073540899972,0.9999077758473399
1025753762.541052,1507810536.697589,1025753757.518804,1507810531.675807,0.9999071912977244,0.9999072889730881,0.9999072499029427
1025753767.563361,1507810541.719416,1025753762.541052,1507810536.697589,0.9999040118079717,0.9999059781070416,0.9999051915874138
1025753772.585762,1507810546.741213,1025753767.563361,1507810541.719416,0.9998797796005232,0.9998954987044343,0.9998892110628699
1025753777.606485,1507810551.761554,1025753772.585762,1507810546.741213,0.99992390223995,0.9999068601186406,0.9999136769671644
1025753782.624583,1507810556.779231,1025753777.606485,1507810551.761554,0.9999161180188829,0.9999105632787375,0.9999127851747958
1025753787.646983,1507810561.801066,1025753782.624583,1507810556.779231,0.9998874698870391,0.9999013259220582,0.9998957835080505
1025753792.669324,1507810566.822983,1025753787.646983,1507810561.801066,0.999915595489723,0.999907033749124,0.9999104584453635
1025753797.691664,1507810571.84487,1025753792.669324,1507810566.822983,0.9999098276706859,0.9999081513177488,0.9999088218589236
1025753802.713911,1507810576.866663,1025753797.691664,1507810571.84487,0.9999095649046508,0.9999087167525096,0.999909056013366
