network_time,rpi_time,network_reference,rpi_reference,instant_drift_coefficient,ema_drift_coefficient,drift_coefficient
1025747807.477466,1507804582.024917,1025747802.453053,1507804577.000004,1.0000994831738792,1.0000397932695517,1.0000636692312828
1025747812.499406,1507804587.047427,1025747807.477466,1507804582.024917,1.0001135136667179,1.0000692814284182,1.0000869743237382
1025747817.521103,1507804592.069626,1025747812.499406,1507804587.047427,1.0000999880166308,1.0000815640637033,1.0000889336448742
1025747822.536364,1507804597.085373,1025747817.521103,1507804592.069626,1.000096883705658,1.000087691920485,1.0000913686345543
1025747827.557939,1507804602.107378,1025747822.536364,1507804597.085373,1.0000856280946562,1.0000868663901534,1.0000863710719545
1025747832.579364,1507804607.129476,1025747827.557939,1507804602.107378,1.0001340605252291,1.0001057440441836,1.0001170706366018
1025747837.599716,1507804612.151677,1025747832.579364,1507804607.129476,1.0003682643905145,1.000210752182716,1.0002737570658353
1025747842.622725,1507804617.175917,1025747837.599716,1507804612.151677,1.000245063289505,1.0002244766254316,1.000232711291061
1025747847.643445,1507804622.197762,1025747842.622725,1507804617.175917,1.0002240908223625,1.000224322304204,1.0002242297114674
1025747852.664256,1507804627.219724,1025747847.643445,1507804622.197762,1.0002292390013061,1.0002262889830449,1.0002274689903494
1025747857.685072,1507804632.241575,1025747852.664256,1507804627.219724,1.0002061605658643,1.0002182376161728,1.0002134067960493
1025747862.705854,1507804637.263386,1025747857.685072,1507804632.241575,1.0002049273111122,1.0002129134941486,1.000209719020934
1025747867.726791,1507804642.28526,1025747862.705854,1507804637.263386,1.0001866155704056,1.0002023943246514,1.000196082822953
1025747872.747721,1507804647.307133,1025747867.726791,1507804642.28526,1.0001878266979018,1.0001965672739517,1.0001930710435318
1025747877.768715,1507804652.328963,1025747872.747721,1507804647.307133,1.0001665038310008,1.0001845418967714,1.0001773266704632
1025747882.789741,1507804657.350821,1025747877.768715,1507804652.328963,1.0001656955429514,1.0001770033552435,1.0001724802303267
1025747887.810735,1507804662.372665,1025747882.789741,1507804657.350821,1.0001692816687897,1.000173914680662,1.000172061475913
1025747892.831795,1507804667.3945,1025747887.810735,1507804662.372665,1.0001543695558734,1.0001660966307466,1.0001614058007973
1025747897.85285,1507804672.416303,1025747892.831795,1507804667.3945,1.0001489565609525,1.000159240602829,1.0001551269860784
1025747902.873969,1507804677.438143,1025747897.85285,1507804672.416303,1.0001436128067676,1.0001529894844046,1.0001492388133497
1025747907.895083,1507804682.459953,1025747902.873969,1507804677.438143,1.000138627213569,1.0001472445760704,1.0001437976310699
1025747912.916231,1507804687.481805,1025747907.895083,1507804682.459953,1.0001401932073697,1.0001444240285902,1.000142731700102
1025747917.937348,1507804692.503571,1025747912.916231,1507804687.481805,1.000129249204099,1.0001383540987936,1.0001347121409156
1025747922.958529,1507804697.52535,1025747917.937348,1507804692.503571,1.0001191100275377,1.0001306564702912,1.0001260378931898
1025747927.979738,1507804702.547192,1025747922.958529,1507804697.52535,1.0001260655207382,1.0001288200904699,1.0001277182625774
1025747933.000948,1507804707.569023,1025747927.979738,1507804702.547192,1.000123643899681,1.0001267496141544,1.000125507328365
1025747938.022217,1507804712.590805,1025747933.000948,1507804707.569023,1.0001021806984933,1.0001169220478898,1.0001110255081311
1025747943.043483,1507804717.612713,1025747938.022217,1507804712.590805,1.0001278683972568,1.0001213005876366,1.0001239277114846
1025747948.064751,1507804722.634542,1025747943.043483,1507804717.612713,1.0001117008106726,1.000117460676851,1.0001151567303797
