network_time,rpi_time,network_reference,rpi_reference,instant_drift_coefficient,ema_drift_coefficient,drift_coefficient
1025665698.8465,1508254672.655069,1025665693.829926,1508254667.638596,0.9999798726645429,0.9999919490658171,0.9999871185053075
1025665703.856306,1508254677.664922,1025665698.8465,1508254672.655069,1.000009375305322,0.9999989195616191,1.0000031018591002
1025665708.869278,1508254682.677911,1025665703.856306,1508254677.664922,1.0000034005632616,1.0000007119622762,1.0000017874026703
1025665713.881122,1508254687.689835,1025665708.869278,1508254682.677911,1.0000159600802951,1.0000068112094838,1.0000104707578084
1025665718.891082,1508254692.69983,1025665713.881122,1508254687.689835,1.0000069717765117,1.000006875436295,1.0000069139723817
1025665723.901033,1508254697.709825,1025665718.891082,1508254692.69983,1.00000878017128,1.000007637330289,1.0000080944666854
1025665728.911015,1508254702.719827,1025665723.901033,1508254697.709825,1.0000039736572697,1.0000061718610813,1.0000052925795566
1025665733.920946,1508254707.729826,1025665728.911015,1508254702.719827,1.0000135867150195,1.0000091378026565,1.0000109173676017
1025665738.930958,1508254712.739836,1025665733.920946,1508254707.729826,0.999999595498392,1.0000053208809507,1.0000030307279273
1025665743.94091,1508254717.749835,1025665738.930958,1508254712.739836,1.0000093988265457,1.0000069520591888,1.0000079307661314
1025665748.952181,1508254722.759864,1025665743.94091,1508254717.749835,0.9997521741732661,0.9999050409048197,0.9998438942121983
1025665753.96082,1508254727.769833,1025665748.952181,1508254722.759864,1.0002655448015636,1.0000492424635172,1.0001357633987358
1025665758.970771,1508254732.779833,1025665753.96082,1508254727.769833,1.0000097795403688,1.0000334572942577,1.0000239861927023
1025665763.980722,1508254737.78983,1025665758.970771,1508254732.779833,1.0000091608833137,1.00002373872988,1.0000179075912534
1025665768.990683,1508254742.799833,1025665763.980722,1508254737.78983,1.0000083994424578,1.000017603014911,1.0000139215859298
1025665774.000664,1508254747.809831,1025665768.990683,1508254742.799833,1.0000033550046807,1.0000119038108188,1.0000084842883636
1025665779.010585,1508254752.819831,1025665774.000664,1508254747.809831,1.0000157758494967,1.00001345262629,1.0000143819155727
1025665784.020546,1508254757.829832,1025665779.010585,1508254752.819831,1.000008018731185,1.000011279068248,1.0000099749334228
1025665789.030528,1508254762.839832,1025665784.020546,1508254757.829832,1.0000035929475912,1.0000082046199854,1.0000063599510278
1025665794.040479,1508254767.849832,1025665789.030528,1508254762.839832,1.0000097795403688,1.0000088345881388,1.0000092125690307
1025665799.050441,1508254772.859829,1025665794.040479,1508254767.849832,1.0000069479792422,1.00000807994458,1.0000076271584448
1025665804.060392,1508254777.869828,1025665799.050441,1508254772.859829,1.000009589184352,1.000008683640489,1.0000090458580342
1025665809.070374,1508254782.879831,1025665804.060392,1508254777.869828,1.0000042116008188,1.0000068948246208,1.0000058215351
1025665814.080328,1508254787.889833,1025665809.070374,1508254782.879831,1.0000095653841596,1.0000079630484364,1.0000086039827256
1025665819.090248,1508254792.89983,1025665814.080328,1508254787.889833,1.0000153951381108,1.0000109358843061,1.000012719585828
1025665824.100199,1508254797.909826,1025665819.090248,1508254792.89983,1.000008970527297,1.0000101497415024,1.0000096780558203
1025665829.110181,1508254802.919834,1025665824.100199,1508254797.909826,1.000005163375015,1.0000081551949074,1.0000069584669504
1025665834.120142,1508254807.929837,1025665829.110181,1508254802.919834,1.0000083994424578,1.0000082528939276,1.0000083115133396
1025665839.130094,1508254812.939828,1025665834.120142,1508254807.929837,1.000007757006028,1.0000080545387677,1.000007935525672
1025665844.140046,1508254817.949831,1025665839.130094,1508254812.939828,1.0000102078394637,1.0000089158590462,1.0000094326512132
1025665849.150004,1508254822.959831,1025665844.140046,1508254817.949831,1.0000083756529856,1.000008699776622,1.0000085701271675
1025665854.160079,1508254827.969842,1025665849.150004,1508254822.959831,0.9999872226685563,1.0000001089333956,0.9999949544274599
1025665859.170001,1508254832.979858,1025665854.160079,1508254827.969842,1.0000187501760804,1.0000075654304696,1.000012039328714
1025665864.179893,1508254837.989831,1025665859.170001,1508254832.979858,1.0000161804520151,1.0000110114390879,1.0000130790442587
1025665869.189849,1508254842.999831,1025665864.179893,1508254837.989831,1.0000087801625053,1.000010118928455,1.000009583422075
1025665874.199895,1508254848.009846,1025665869.189849,1508254842.999831,0.9999938135467716,1.0000035967757817,0.9999996834841777
1025665879.209756,1508254853.01983,1025665874.199895,1508254848.009846,1.000024556367333,1.0000119806124022,1.0000170109143744
1025665884.219739,1508254858.029827,1025665879.209756,1508254853.01983,1.000002831527695,1.0000083209785193,1.0000061251981895
1025665889.229759,1508254863.039868,1025665884.219739,1508254858.029827,1.000004187774677,1.0000066676969825,1.0000056757280604
1025665894.239712,1508254868.049846,1025665889.229759,1508254863.039868,1.0000049492544376,1.0000059803199646,1.0000055678937538
1025665899.249604,1508254873.059828,1025665894.239712,1508254868.049846,1.0000179888554757,1.000010783734169,1.0000136657826917
1025665904.25962,1508254878.069845,1025665899.249604,1508254873.059828,1.0000001903535485,1.0000065463819208,1.000004003970572
1025665909.269512,1508254883.07983,1025665904.25962,1508254878.069845,1.0000185361350293,1.0000113422831642,1.0000142198239104
1025665914.279464,1508254888.089828,1025665909.269512,1508254883.07983,1.0000092084705652,1.0000104887581247,1.000009976643101
1025665919.289478,1508254893.099844,1025665914.279464,1508254888.089828,1.0000004045014539,1.0000064550554564,1.0000040348338555
1025665924.299406,1508254898.10983,1025665919.289478,1508254893.099844,1.000011540386248,1.0000084891877732,1.0000097096671632
1025665929.309419,1508254903.119844,1025665924.299406,1508254898.10983,1.0000002141478694,1.0000051791718116,1.0000031931622346
1025665934.319374,1508254908.129845,1025665929.309419,1508254903.119844,1.0000091846706038,1.0000067813713285,1.0000077426910385
1025665939.329268,1508254913.139829,1025665934.319374,1508254908.129845,1.0000179650534262,1.0000112548441678,1.000013938927871
1025665944.339222,1508254918.149827,1025665939.329268,1508254913.139829,1.000008803960545,1.0000102744907187,1.0000096862786492
1025665949.349206,1508254923.159832,1025665944.339222,1508254918.149827,1.0000041878047699,1.0000078398163392,1.0000063790117115
1025665954.35913,1508254928.169831,1025665949.349206,1508254923.159832,1.0000149668223144,1.0000106906187294,1.0000124011001634
1025665959.369112,1508254933.17983,1025665954.35913,1508254928.169831,1.0000034025927518,1.0000077754083383,1.0000060262821036
1025665964.379126,1508254938.189845,1025665959.369112,1508254933.17983,1.0000002141478286,1.0000047509041345,1.000002936201612
1025665969.389053,1508254943.19983,1025665964.379126,1508254938.189845,1.0000115641833351,1.0000074762158149,1.000009111402823
1025665974.398976,1508254948.209829,1025665969.389053,1508254943.19983,1.0000151809772362,1.0000105581203833,1.0000124072631245
1025665979.40896,1508254953.21983,1025665974.398976,1508254948.209829,1.0000033787970302,1.000007686391042,1.0000059633534373
1025665984.418912,1508254958.229831,1025665979.40896,1508254953.21983,1.0000097557437775,1.0000085141321362,1.0000090107767927
1025665989.428897,1508254963.239829,1025665984.418912,1508254958.229831,1.000002617377483,1.0000061554302748,1.000004740209158
1025665994.43882,1508254968.249832,1025665989.428897,1508254963.239829,1.0000159424055615,1.0000100702203896,1.0000124190944584
1025665999.448806,1508254973.259833,1025665994.43882,1508254968.249832,1.0000030218806286,1.0000072508844853,1.0000055592829427
1025666004.458729,1508254978.269827,1025665999.448806,1508254973.259833,1.0000141340132889,1.0000100041360067,1.0000116560869197
1025666009.468714,1508254983.27983,1025666004.458729,1508254978.269827,1.0000036167397945,1.000007449177522,1.000005916202431
1025666014.478667,1508254988.289832,1025666009.468714,1508254983.27983,1.0000098033309053,1.0000083908388753,1.0000089558356873
1025666019.488621,1508254993.29984,1025666014.478667,1508254988.289832,1.0000107551085575,1.0000093365467482,1.0000099039714718
1025666024.498573,1508254998.309831,1025666019.488621,1508254993.29984,1.00000778080071,1.000008714248333,1.0000083408692837
