network_time,rpi_time,network_reference,rpi_reference,instant_drift_coefficient,ema_drift_coefficient,drift_coefficient
1025665573.545387,1508943079.90367,1025665568.524042,1508943074.88024,1.0004152452531148,1.000166098101246,1.0002657569619935
1025665578.559741,1508943084.919976,1025665573.545387,1508943079.90367,1.0003892690685143,1.0002553664881533,1.0003089275202977
1025665583.573515,1508943089.935458,1025665578.559741,1508943084.919976,1.0003406438899454,1.0002894774488702,1.0003099440253003
1025665588.587124,1508943094.950511,1025665583.573515,1508943089.935458,1.000288036293429,1.0002889009866938,1.0002885551093879
1025665593.601014,1508943099.965643,1025665588.587124,1508943094.950511,1.0002476963737945,1.000272419141534,1.000262530034438
1025665598.615125,1508943104.980727,1025665593.601014,1508943099.965643,1.000194073375237,1.000241080835015,1.0002222778511038
1025665603.628586,1508943109.995967,1025665598.615125,1508943104.980727,1.0003548129682451,1.000286573688307,1.0003138694002822
1025665608.64266,1508943115.011646,1025665603.628586,1508943109.995967,1.0003201295182453,1.0002999960202823,1.0003080494194676
1025665613.663056,1508943120.033403,1025665608.64266,1508943115.011646,1.000271072889686,1.0002884267680439,1.0002814852167008
1025665618.677006,1508943125.048587,1025665613.663056,1508943120.033403,1.0002461480024958,1.0002715152618247,1.0002613683580932
1025665623.69105,1508943130.06366,1025665618.677006,1508943125.048587,1.000205178925295,1.000244980727213,1.0002290600064458
1025665628.700122,1508943135.074973,1025665623.69105,1508943130.06366,1.0004474389421716,1.0003259640131965,1.0003745539847866
1025665633.71267,1508943140.090158,1025665628.700122,1508943135.074973,1.0005260616957166,1.0004060030862045,1.0004540265300093
1025665638.725128,1508943145.105222,1025665633.71267,1508943140.090158,1.0005198876528965,1.0004515569128811,1.0004788892088872
1025665643.744333,1508943150.126937,1025665638.725128,1508943145.105222,1.0005000695537254,1.000470961969219,1.0004826050030216
1025665648.764054,1508943155.148932,1025665643.744333,1508943150.126937,1.0004530442342587,1.0004637948752348,1.0004594946188443
1025665653.783988,1508943160.17081,1025665648.764054,1508943155.148932,1.0003872453028608,1.0004331750462852,1.0004148031489155
1025665658.804348,1508943165.192818,1025665653.783988,1508943160.17081,1.0003282531971918,1.0003912063066478,1.0003660250628654
1025665663.817876,1508943170.207792,1025665658.804348,1508943165.192818,1.000288445161691,1.0003501018486651,1.0003254391738754
