Sample#,group1,SampleTime,units
0,2,8,ns
1,0,899.98,ms
2,1,24,ns
3,3,100.00,ms
4,2,24,ns
5,0,899.98,ms
6,1,32,ns
7,3,100.00,ms
8,2,24,ns
9,0,899.98,ms
10,1,32,ns
11,3,100.00,ms
12,2,32,ns
13,0,899.98,ms
14,1,32,ns
15,3,100.00,ms
16,2,32,ns
17,0,899.98,ms
18,1,32,ns
19,3,100.00,ms
20,2,24,ns
21,0,899.98,ms
22,1,40,ns
23,3,100.00,ms
24,2,32,ns
25,0,899.98,ms
26,1,40,ns
27,3,100.00,ms
28,2,40,ns
29,0,899.98,ms
30,1,40,ns
31,3,100.00,ms
32,2,48,ns
33,0,899.98,ms
34,1,40,ns
35,3,100.00,ms
36,2,32,ns
37,0,899.98,ms
38,1,32,ns
39,3,100.00,ms
40,2,40,ns
41,0,899.98,ms
42,1,40,ns
43,3,100.00,ms
44,2,40,ns
45,0,899.98,ms
46,1,48,ns
47,3,100.00,ms
48,2,48,ns
49,0,899.98,ms
50,1,48,ns
51,3,100.00,ms
52,2,48,ns
53,0,899.98,ms
54,1,40,ns
55,3,100.00,ms
56,2,40,ns
57,0,899.98,ms
58,1,40,ns
59,3,100.00,ms
60,2,48,ns
61,0,899.98,ms
62,1,32,ns
63,3,100.00,ms
64,2,40,ns
65,0,899.98,ms
66,1,48,ns
67,3,100.00,ms
68,2,48,ns
69,0,899.98,ms
70,1,40,ns
71,3,100.00,ms
72,2,40,ns
73,0,899.98,ms
74,1,48,ns
75,3,100.00,ms
76,2,48,ns
77,0,899.98,ms
78,1,40,ns
79,3,100.00,ms
80,2,40,ns
81,0,899.98,ms
82,1,40,ns
83,3,100.00,ms
84,2,40,ns
85,0,899.98,ms
86,1,40,ns
87,3,100.00,ms
88,2,48,ns
89,0,899.98,ms
90,1,48,ns
91,3,100.00,ms
92,2,48,ns
93,0,899.98,ms
94,1,56,ns
95,3,100.00,ms
96,2,48,ns
97,0,899.98,ms
98,1,48,ns
99,3,100.00,ms
100,2,56,ns
101,0,899.98,ms
102,1,56,ns
103,3,100.00,ms
104,2,48,ns
105,0,899.98,ms
106,1,56,ns
107,3,100.00,ms
108,2,56,ns
109,0,899.98,ms
110,1,56,ns
111,3,100.00,ms
112,2,48,ns
113,0,899.98,ms
114,1,64,ns
115,3,100.00,ms
116,2,64,ns
117,0,899.98,ms
118,1,56,ns
119,3,100.00,ms
120,2,56,ns
121,0,899.98,ms
122,1,64,ns
123,3,100.00,ms
124,2,56,ns
125,0,899.98,ms
126,1,48,ns
127,3,100.00,ms
128,2,56,ns
129,0,899.98,ms
130,1,40,ns
131,3,100.00,ms
132,2,48,ns
133,0,899.98,ms
134,1,56,ns
135,3,100.00,ms
136,2,56,ns
137,0,899.98,ms
138,1,48,ns
139,3,100.00,ms
140,2,56,ns
141,0,899.98,ms
142,1,48,ns
143,3,100.00,ms
144,2,56,ns
145,0,899.98,ms
146,1,48,ns
147,3,100.00,ms
148,2,40,ns
149,0,899.98,ms
150,1,48,ns
151,3,100.00,ms
152,2,48,ns
153,0,899.98,ms
154,1,48,ns
155,3,100.00,ms
156,2,40,ns
157,0,899.98,ms
158,1,48,ns
159,3,100.00,ms
160,2,48,ns
161,0,899.98,ms
162,1,40,ns
163,3,100.00,ms
164,2,40,ns
165,0,899.98,ms
166,1,40,ns
167,3,100.00,ms
168,2,48,ns
169,0,899.98,ms
170,1,48,ns
171,3,100.00,ms
172,2,40,ns
173,0,899.98,ms
174,1,48,ns
175,3,100.00,ms
176,2,48,ns
177,0,899.98,ms
178,1,40,ns
179,3,100.00,ms
180,2,40,ns
181,0,899.98,ms
182,1,40,ns
183,3,100.00,ms
184,2,40,ns
185,0,899.98,ms
186,1,48,ns
187,3,100.00,ms
188,2,48,ns
189,0,899.98,ms
190,1,48,ns
191,3,100.00,ms
192,2,48,ns
193,0,899.98,ms
194,1,48,ns
195,3,100.00,ms
196,2,40,ns
197,0,899.98,ms
198,1,40,ns
199,3,100.00,ms
200,2,40,ns
201,0,899.98,ms
202,1,48,ns
203,3,100.00,ms
204,2,48,ns
205,0,899.98,ms
206,1,40,ns
207,3,100.00,ms
208,2,40,ns
209,0,899.98,ms
210,1,56,ns
211,3,100.00,ms
212,2,56,ns
213,0,899.98,ms
214,1,48,ns
215,3,100.00,ms
216,2,48,ns
217,0,899.98,ms
218,1,48,ns
219,3,100.00,ms
220,2,40,ns
221,0,899.98,ms
222,1,56,ns
223,3,100.00,ms
224,2,48,ns
225,0,899.98,ms
226,1,56,ns
227,3,100.00,ms
228,2,56,ns
229,0,899.98,ms
230,1,56,ns
231,3,100.00,ms
232,2,56,ns
233,0,899.98,ms
234,1,64,ns
235,3,100.00,ms
236,2,56,ns
237,0,899.98,ms
238,1,72,ns
239,3,100.00,ms
240,2,72,ns
241,0,899.98,ms
242,1,64,ns
243,3,100.00,ms
244,2,64,ns
245,0,899.98,ms
246,1,56,ns
247,3,100.00,ms
248,2,56,ns
249,0,899.98,ms
250,1,72,ns
251,3,100.00,ms
252,2,64,ns
253,0,899.98,ms
254,1,72,ns
255,3,100.00,ms
256,2,72,ns
257,0,899.98,ms
258,1,56,ns
259,3,100.00,ms
260,2,64,ns
261,0,899.98,ms
262,1,80,ns
263,3,100.00,ms
264,2,72,ns
265,0,899.98,ms
266,1,64,ns
267,3,100.00,ms
268,2,64,ns
269,0,899.98,ms
270,1,72,ns
271,3,100.00,ms
272,2,72,ns
273,0,899.98,ms
274,1,64,ns
275,3,100.00,ms
276,2,56,ns
277,0,899.98,ms
278,1,80,ns
279,3,100.00,ms
280,2,72,ns
281,0,899.98,ms
282,1,64,ns
283,3,100.00,ms
284,2,64,ns
285,0,899.98,ms
286,1,72,ns
287,3,100.00,ms
288,2,72,ns
289,0,899.98,ms
290,1,72,ns
291,3,100.00,ms
292,2,72,ns
293,0,899.98,ms
294,1,72,ns
295,3,100.00,ms
296,2,80,ns
297,0,899.98,ms
298,1,72,ns
299,3,100.00,ms
300,2,80,ns
301,0,899.98,ms
302,1,80,ns
303,3,100.00,ms
304,2,80,ns
305,0,899.98,ms
306,1,88,ns
307,3,100.00,ms
308,2,80,ns
309,0,899.98,ms
310,1,80,ns
311,3,100.00,ms
312,2,72,ns
313,0,899.98,ms
314,1,88,ns
315,3,100.00,ms
316,2,88,ns
317,0,899.98,ms
318,1,80,ns
319,3,100.00,ms
320,2,80,ns
321,0,899.98,ms
322,1,88,ns
323,3,100.00,ms
324,2,88,ns
325,0,899.98,ms
326,1,80,ns
327,3,100.00,ms
328,2,88,ns
329,0,899.98,ms
330,1,80,ns
331,3,100.00,ms
332,2,88,ns
333,0,899.98,ms
334,1,72,ns
335,3,100.00,ms
336,2,80,ns
337,0,899.98,ms
338,1,88,ns
339,3,100.00,ms
340,2,88,ns
341,0,899.98,ms
342,1,80,ns
343,3,100.00,ms
344,2,80,ns
345,0,899.98,ms
346,1,88,ns
347,3,100.00,ms
348,2,96,ns
349,0,899.98,ms
350,1,88,ns
351,3,100.00,ms
352,2,80,ns
353,0,899.98,ms
354,1,88,ns
355,3,100.00,ms
356,2,88,ns
357,0,899.98,ms
358,1,80,ns
359,3,100.00,ms
360,2,88,ns
361,0,899.98,ms
362,1,88,ns
363,3,100.00,ms
364,2,88,ns
365,0,899.98,ms
366,1,80,ns
367,3,100.00,ms
368,2,80,ns
369,0,899.98,ms
370,1,96,ns
371,3,100.00,ms
372,2,88,ns
373,0,899.98,ms
374,1,80,ns
375,3,100.00,ms
376,2,88,ns
377,0,899.98,ms
378,1,80,ns
379,3,100.00,ms
380,2,80,ns
381,0,899.98,ms
382,1,80,ns
383,3,100.00,ms
384,2,88,ns
385,0,899.98,ms
386,1,88,ns
387,3,100.00,ms
388,2,88,ns
389,0,899.98,ms
390,1,88,ns
391,3,100.00,ms
392,2,88,ns
393,0,899.98,ms
394,1,80,ns
395,3,100.00,ms
396,2,80,ns
397,0,899.98,ms
398,1,80,ns
399,3,100.00,ms
400,2,80,ns
401,0,899.98,ms
402,1,80,ns
403,3,100.00,ms
404,2,80,ns
405,0,899.98,ms
406,1,80,ns
407,3,100.00,ms
408,2,80,ns
409,0,899.98,ms
410,1,88,ns
411,3,100.00,ms
412,2,88,ns
413,0,899.98,ms
414,1,88,ns
415,3,100.00,ms
416,2,88,ns
417,0,899.98,ms
418,1,80,ns
419,3,100.00,ms
420,2,80,ns
421,0,899.98,ms
422,1,72,ns
423,3,100.00,ms
424,2,72,ns
425,0,899.98,ms
426,1,80,ns
427,3,100.00,ms
428,2,80,ns
429,0,899.98,ms
430,1,80,ns
431,3,100.00,ms
432,2,80,ns
433,0,899.98,ms
434,1,80,ns
435,3,100.00,ms
436,2,80,ns
437,0,899.98,ms
438,1,80,ns
439,3,100.00,ms
440,2,80,ns
441,0,899.98,ms
442,1,80,ns
443,3,100.00,ms
444,2,88,ns
445,0,899.98,ms
446,1,80,ns
447,3,100.00,ms
448,2,88,ns
449,0,899.98,ms
450,1,88,ns
451,3,100.00,ms
452,2,80,ns
453,0,899.98,ms
454,1,80,ns
455,3,100.00,ms
456,2,72,ns
457,0,899.98,ms
458,1,88,ns
459,3,100.00,ms
460,2,80,ns
461,0,899.98,ms
462,1,72,ns
463,3,100.00,ms
464,2,80,ns
465,0,899.98,ms
466,1,88,ns
467,3,100.00,ms
468,2,88,ns
469,0,899.98,ms
470,1,80,ns
471,3,100.00,ms
472,2,80,ns
473,0,899.98,ms
474,1,96,ns
475,3,100.00,ms
476,2,88,ns
477,0,899.98,ms
478,1,80,ns
479,3,100.00,ms
480,2,80,ns
481,0,899.98,ms
482,1,96,ns
483,3,100.00,ms
484,2,96,ns
485,0,899.98,ms
486,1,88,ns
487,3,100.00,ms
488,2,80,ns
489,0,899.98,ms
490,1,80,ns
491,3,100.00,ms
492,2,80,ns
493,0,899.98,ms
494,1,80,ns
495,3,100.00,ms
496,2,88,ns
497,0,899.98,ms
498,1,88,ns
499,3,100.00,ms
500,2,80,ns
501,0,899.98,ms
502,1,88,ns
503,3,100.00,ms
504,2,88,ns
505,0,899.98,ms
506,1,88,ns
507,3,100.00,ms
508,2,88,ns
509,0,899.98,ms
510,1,88,ns
511,3,100.00,ms
512,2,88,ns
513,0,899.98,ms
514,1,88,ns
515,3,100.00,ms
516,2,88,ns
517,0,899.98,ms
518,1,88,ns
519,3,100.00,ms
520,2,88,ns
521,0,899.98,ms
522,1,88,ns
523,3,100.00,ms
524,2,88,ns
525,0,899.98,ms
526,1,88,ns
527,3,100.00,ms
528,2,88,ns
529,0,899.98,ms
530,1,88,ns
531,3,100.00,ms
532,2,88,ns
533,0,899.98,ms
534,1,88,ns
535,3,100.00,ms
536,2,88,ns
537,0,899.98,ms
538,1,88,ns
539,3,100.00,ms
540,2,88,ns
541,0,899.98,ms
542,1,88,ns
543,3,100.00,ms
544,2,88,ns
545,0,899.98,ms
546,1,88,ns
547,3,100.00,ms
548,2,88,ns
549,0,899.98,ms
550,1,96,ns
551,3,100.00,ms
552,2,88,ns
553,0,899.98,ms
554,1,88,ns
555,3,100.00,ms
556,2,88,ns
557,0,899.98,ms
558,1,96,ns
559,3,100.00,ms
560,2,96,ns
561,0,899.98,ms
562,1,96,ns
563,3,100.00,ms
564,2,88,ns
565,0,899.98,ms
566,1,96,ns
567,3,100.00,ms
568,2,88,ns
569,0,899.98,ms
570,1,88,ns
571,3,100.00,ms
572,2,96,ns
573,0,899.98,ms
574,1,88,ns
575,3,100.00,ms
576,2,88,ns
577,0,899.98,ms
578,1,88,ns
579,3,100.00,ms
580,2,88,ns
581,0,899.98,ms
582,1,88,ns
583,3,100.00,ms
584,2,96,ns
585,0,899.98,ms
586,1,88,ns
587,3,100.00,ms
588,2,88,ns
589,0,899.98,ms
590,1,96,ns
591,3,100.00,ms
592,2,88,ns
593,0,899.98,ms
594,1,96,ns
595,3,100.00,ms
596,2,88,ns
597,0,899.98,ms
598,1,88,ns
599,3,100.00,ms
600,2,88,ns
601,0,899.98,ms
602,1,96,ns
603,3,100.00,ms
604,2,88,ns
605,0,899.98,ms
606,1,88,ns
607,3,100.00,ms
608,2,96,ns
609,0,899.98,ms
610,1,88,ns
611,3,100.00,ms
612,2,96,ns
613,0,899.98,ms
614,1,88,ns
615,3,100.00,ms
616,2,88,ns
617,0,899.98,ms
618,1,80,ns
619,3,100.00,ms
620,2,88,ns
621,0,899.98,ms
622,1,96,ns
623,3,100.00,ms
624,2,96,ns
625,0,899.98,ms
626,1,88,ns
627,3,100.00,ms
628,2,80,ns
629,0,899.98,ms
630,1,96,ns
631,3,100.00,ms
632,2,88,ns
633,0,899.98,ms
634,1,80,ns
635,3,100.00,ms
636,2,80,ns
637,0,899.98,ms
638,1,88,ns
639,3,100.00,ms
640,2,80,ns
641,0,899.98,ms
642,1,88,ns
643,3,100.00,ms
644,2,80,ns
645,0,899.98,ms
646,1,88,ns
647,3,100.00,ms
648,2,80,ns
649,0,899.98,ms
650,1,72,ns
651,3,100.00,ms
652,2,72,ns
653,0,899.98,ms
654,1,88,ns
655,3,100.00,ms
656,2,80,ns
657,0,899.98,ms
658,1,72,ns
659,3,100.00,ms
660,2,80,ns
661,0,899.98,ms
662,1,64,ns
663,3,100.00,ms
664,2,72,ns
665,0,899.98,ms
666,1,72,ns
667,3,100.00,ms
668,2,80,ns
669,0,899.98,ms
670,1,72,ns
671,3,100.00,ms
672,2,72,ns
673,0,899.98,ms
674,1,72,ns
675,3,100.00,ms
676,2,72,ns
677,0,899.98,ms
678,1,72,ns
679,3,100.00,ms
680,2,72,ns
681,0,899.98,ms
682,1,72,ns
683,3,100.00,ms
684,2,72,ns
685,0,899.98,ms
686,1,64,ns
687,3,100.00,ms
688,2,64,ns
689,0,899.98,ms
690,1,64,ns
691,3,100.00,ms
692,2,72,ns
693,0,899.98,ms
694,1,72,ns
695,3,100.00,ms
696,2,64,ns
697,0,899.98,ms
698,1,72,ns
699,3,100.00,ms
700,2,72,ns
701,0,899.98,ms
702,1,72,ns
703,3,100.00,ms
704,2,72,ns
705,0,899.98,ms
706,1,64,ns
707,3,100.00,ms
708,2,64,ns
709,0,899.98,ms
710,1,80,ns
711,3,100.00,ms
712,2,80,ns
713,0,899.98,ms
714,1,80,ns
715,3,100.00,ms
716,2,72,ns
717,0,899.98,ms
718,1,64,ns
719,3,100.00,ms
720,2,64,ns
721,0,899.98,ms
722,1,80,ns
723,3,100.00,ms
724,2,80,ns
725,0,899.98,ms
726,1,72,ns
727,3,100.00,ms
728,2,72,ns
729,0,899.98,ms
730,1,72,ns
731,3,100.00,ms
732,2,72,ns
733,0,899.98,ms
734,1,80,ns
735,3,100.00,ms
736,2,72,ns
737,0,899.98,ms
738,1,80,ns
739,3,100.00,ms
740,2,80,ns
741,0,899.98,ms
742,1,72,ns
743,3,100.00,ms
744,2,72,ns
745,0,899.98,ms
746,1,80,ns
747,3,100.00,ms
748,2,80,ns
749,0,899.98,ms
750,1,64,ns
751,3,100.00,ms
752,2,64,ns
753,0,899.98,ms
754,1,72,ns
755,3,100.00,ms
756,2,72,ns
757,0,899.98,ms
758,1,72,ns
759,3,100.00,ms
760,2,72,ns
761,0,899.98,ms
762,1,72,ns
763,3,100.00,ms
764,2,72,ns
765,0,899.98,ms
766,1,80,ns
767,3,100.00,ms
768,2,80,ns
769,0,899.98,ms
770,1,72,ns
771,3,100.00,ms
772,2,72,ns
773,0,899.98,ms
774,1,72,ns
775,3,100.00,ms
776,2,72,ns
777,0,899.98,ms
778,1,72,ns
779,3,100.00,ms
780,2,72,ns
781,0,899.98,ms
782,1,72,ns
783,3,100.00,ms
784,2,80,ns
785,0,899.98,ms
786,1,72,ns
787,3,100.00,ms
788,2,72,ns
789,0,899.98,ms
790,1,64,ns
791,3,100.00,ms
792,2,64,ns
793,0,899.98,ms
794,1,64,ns
795,3,100.00,ms
796,2,64,ns
797,0,899.98,ms
798,1,64,ns
799,3,100.00,ms
800,2,72,ns
801,0,899.98,ms
802,1,64,ns
803,3,100.00,ms
804,2,64,ns
805,0,899.98,ms
806,1,72,ns
807,3,100.00,ms
808,2,72,ns
809,0,899.98,ms
810,1,72,ns
811,3,100.00,ms
812,2,72,ns
813,0,899.98,ms
814,1,64,ns
815,3,100.00,ms
816,2,64,ns
817,0,899.98,ms
818,1,72,ns
819,3,100.00,ms
820,2,72,ns
821,0,899.98,ms
822,1,72,ns
823,3,100.00,ms
824,2,72,ns
825,0,899.98,ms
826,1,80,ns
827,3,100.00,ms
828,2,80,ns
829,0,899.98,ms
830,1,80,ns
831,3,100.00,ms
832,2,72,ns
833,0,899.98,ms
834,1,80,ns
835,3,100.00,ms
836,2,72,ns
837,0,899.98,ms
838,1,80,ns
839,3,100.00,ms
840,2,72,ns
841,0,899.98,ms
842,1,72,ns
843,3,100.00,ms
844,2,72,ns
845,0,899.98,ms
846,1,72,ns
847,3,100.00,ms
848,2,80,ns
849,0,899.98,ms
850,1,80,ns
851,3,100.00,ms
852,2,72,ns
853,0,899.98,ms
854,1,88,ns
855,3,100.00,ms
856,2,88,ns
857,0,899.98,ms
858,1,80,ns
859,3,100.00,ms
860,2,80,ns
861,0,899.98,ms
862,1,80,ns
863,3,100.00,ms
864,2,72,ns
865,0,899.98,ms
866,1,80,ns
867,3,100.00,ms
868,2,72,ns
869,0,899.98,ms
870,1,72,ns
871,3,100.00,ms
872,2,80,ns
873,0,899.98,ms
874,1,80,ns
875,3,100.00,ms
876,2,72,ns
877,0,899.98,ms
878,1,80,ns
879,3,100.00,ms
880,2,72,ns
881,0,899.98,ms
882,1,80,ns
883,3,100.00,ms
884,2,80,ns
885,0,899.98,ms
886,1,88,ns
887,3,100.00,ms
888,2,88,ns
889,0,899.98,ms
890,1,88,ns
891,3,100.00,ms
892,2,88,ns
893,0,899.98,ms
894,1,80,ns
895,3,100.00,ms
896,2,80,ns
897,0,899.98,ms
898,1,72,ns
899,3,100.00,ms
900,2,80,ns
901,0,899.98,ms
902,1,80,ns
903,3,100.00,ms
904,2,80,ns
905,0,899.98,ms
906,1,80,ns
907,3,100.00,ms
908,2,80,ns
909,0,899.98,ms
910,1,80,ns
911,3,100.00,ms
912,2,80,ns
913,0,899.98,ms
914,1,80,ns
915,3,100.00,ms
916,2,72,ns
917,0,899.98,ms
918,1,72,ns
919,3,100.00,ms
920,2,80,ns
921,0,899.98,ms
922,1,72,ns
923,3,100.00,ms
924,2,80,ns
925,0,899.98,ms
926,1,80,ns
927,3,100.00,ms
928,2,72,ns
929,0,899.98,ms
930,1,72,ns
931,3,100.00,ms
932,2,80,ns
933,0,899.98,ms
934,1,88,ns
935,3,100.00,ms
936,2,80,ns
937,0,899.98,ms
938,1,72,ns
939,3,100.00,ms
940,2,80,ns
941,0,899.98,ms
942,1,80,ns
943,3,100.00,ms
944,2,72,ns
945,0,899.98,ms
946,1,80,ns
947,3,100.00,ms
948,2,88,ns
949,0,899.98,ms
950,1,72,ns
951,3,100.00,ms
952,2,72,ns
953,0,899.98,ms
954,1,72,ns
955,3,100.00,ms
956,2,72,ns
957,0,899.98,ms
958,1,72,ns
959,3,100.00,ms
960,2,72,ns
961,0,899.98,ms
962,1,64,ns
963,3,100.00,ms
964,2,72,ns
965,0,899.98,ms
966,1,80,ns
967,3,100.00,ms
968,2,80,ns
969,0,899.98,ms
970,1,64,ns
971,3,100.00,ms
972,2,72,ns
973,0,899.98,ms
974,1,80,ns
975,3,100.00,ms
976,2,80,ns
977,0,899.98,ms
978,1,80,ns
979,3,100.00,ms
980,2,72,ns
981,0,899.98,ms
982,1,80,ns
983,3,100.00,ms
984,2,72,ns
985,0,899.98,ms
986,1,72,ns
987,3,100.00,ms
988,2,80,ns
989,0,899.98,ms
990,1,80,ns
991,3,100.00,ms
992,2,72,ns
993,0,899.98,ms
994,1,80,ns
995,3,100.00,ms
996,2,88,ns
997,0,899.98,ms
998,1,80,ns
999,3,100.00,ms
1000,2,72,ns
1001,0,899.98,ms
1002,1,80,ns
1003,3,100.00,ms
1004,2,88,ns
1005,0,899.98,ms
1006,1,80,ns
1007,3,100.00,ms
1008,2,80,ns
1009,0,899.98,ms
1010,1,64,ns
1011,3,100.00,ms
1012,2,72,ns
1013,0,899.98,ms
1014,1,80,ns
1015,3,100.00,ms
1016,2,80,ns
1017,0,899.98,ms
1018,1,80,ns
1019,3,100.00,ms
1020,2,80,ns
1021,0,899.98,ms
1022,1,80,ns
