Sample#,group1,SampleTime,units
0,2,8,ns
1,3,499.96,ms
2,1,23.55,us
3,0,499.96,ms
4,2,32.58,us
5,3,499.95,ms
6,1,36.41,us
7,0,499.94,ms
8,2,42.99,us
9,3,499.94,ms
10,1,47.93,us
11,0,499.93,ms
12,2,54.58,us
13,3,499.93,ms
14,1,54.20,us
15,0,499.93,ms
16,2,68.55,us
17,3,499.91,ms
18,1,70.97,us
19,0,499.91,ms
20,2,72.36,us
21,3,499.92,ms
22,1,81.06,us
23,0,499.89,ms
24,2,89.66,us
25,3,499.89,ms
26,1,97.36,us
27,0,499.89,ms
28,2,98.50,us
29,3,499.88,ms
30,1,101.45,us
31,0,499.87,ms
32,2,110.76,us
33,3,499.88,ms
34,1,116.16,us
35,0,499.87,ms
36,2,125.32,us
37,3,500.02,ms
38,1,7.41,us
39,0,499.98,ms
40,2,19.70,us
41,3,499.97,ms
42,1,8.77,us
43,0,499.96,ms
44,2,30.19,us
45,3,499.97,ms
46,1,23.00,us
47,0,499.95,ms
48,2,38.29,us
49,3,499.95,ms
50,1,38.10,us
51,0,499.95,ms
52,2,49.58,us
53,3,499.93,ms
54,1,50.50,us
55,0,499.93,ms
56,2,63.25,us
57,3,499.93,ms
58,1,64.98,us
59,0,499.91,ms
60,2,71.61,us
61,3,499.92,ms
62,1,65.10,us
63,0,499.92,ms
64,2,82.15,us
65,3,499.89,ms
66,1,89.66,us
67,0,499.89,ms
68,2,97.82,us
69,3,499.89,ms
70,1,103.19,us
71,0,499.88,ms
72,2,109.41,us
73,3,499.87,ms
74,1,118.34,us
75,0,499.87,ms
76,2,127.19,us
77,3,499.94,ms
78,1,9.32,us
79,0,499.96,ms
80,2,24.42,us
81,3,499.97,ms
82,1,31.69,us
83,0,499.95,ms
84,2,27.38,us
85,3,499.96,ms
86,1,34.00,us
87,0,499.95,ms
88,2,48.23,us
89,3,499.94,ms
90,1,47.28,us
91,0,499.93,ms
92,2,58.38,us
93,3,499.94,ms
94,1,61.66,us
95,0,499.91,ms
96,2,71.88,us
97,3,499.95,ms
98,1,39.55,us
99,0,499.91,ms
100,2,88.70,us
101,3,499.89,ms
102,1,94.60,us
103,0,499.89,ms
104,2,94.49,us
105,3,499.89,ms
106,1,102.46,us
107,0,499.87,ms
108,2,110.86,us
109,3,499.87,ms
110,1,113.87,us
