delay_us,accumulated_us
18.22,18.227999999999998
13.7,500001.928
29.02,1000000.9480000001
9.06,1499990.0080000001
21.39,1999981.398
-13.41,2499974.808
-11.88,2999956.688
-18.26,3499944.948
-6.96,3999931.908
-14.01,4499915.918
-21.81,4999917.727999999
-11.94,5499899.668
-13.11,5999892.778
-19.46,6499882.238
-10.52,6999872.757999999
1.56,7499864.317999999
-6.1,7999860.417999999
3.38,8499843.797999999
6.15,8999829.947999999
-1.98,9499821.928
8.37,9999810.297999999
3.53,10499793.827999998
-2.14,10999785.967999998
6.06,11499772.027999999
9.89,11999761.918
5.67,12499727.588
8.96,12999716.548
8.13,13499704.678000001
12.58,13999707.258000001
14.94,14499692.198
14.89,14999677.088000001
6.92,15499664.008000001
17.74,15999651.748000002
11.0,16499632.748000002
12.86,16999625.608000003
-41.57,17499647.178000003
-41.29,17999628.468000002
-50.54,18499619.008
-4.4,18999603.408
-50.74,19499594.148
-57.59,19999591.737999998
-53.71,20499575.448
-55.15,20999560.597999997
-61.65,21499552.247999996
-55.93,21999538.177999996
16.93,22499505.107999995
13.96,22999489.067999996
24.9,23499483.967999995
26.54,23999470.507999994
25.5,24499456.007999994
30.85,24999446.857999995
26.5,25499433.357999995
18.41,25999421.767999995
37.87,26499409.637999997
38.19,26999397.827999998
-4.53,27499362.358
2.02,27999344.378
-4.04,28499328.417999998
-11.44,28999319.858
-4.66,29499304.518
-6.38,29999290.898
-13.1,30499283.998
-0.136,30999264.134
-7.51,31499251.644
-18.82,31999250.464
-26.74,32499247.204
-32.43,32999239.634
-35.5,33499235.134
-21.5,33999216.634
-33.06,34499209.694000006
-43.81,34999203.50400001
-36.14,35499189.64400001
-35.39,35999175.03400001
-46.26,36499171.29400001
-38.07,36999159.36400001
7.97,37499147.33400001
1.11,37999138.444000006
12.97,38499131.414000005
11.5,38999122.914000005
7.55,39499110.464
18.69,39999109.154
20.08,40499099.234
11.42,40999090.654
21.72,41499082.374
13.64,41999066.014
-3.66,42499029.673999995
10.68,42999030.353999995
-5.34,43499005.694
-13.98,43998999.673999995
-3.32,44498982.993999995
-10.01,44998973.00399999
-8.62,45498961.62399999
-5.09,45998956.713999994
-8.12,46498934.83399999
9.86,46998944.69399999
-8.06,47498952.75399999
-1.33,47998944.08399999
-6.23,48498940.31399999
3.95,48998924.26399999
-5.14,49498909.40399999
-12.87,49998912.27399999
1.1,50498893.37399999
-2.24,50998885.61399999
-13.22,51498878.83399999
-3.18,51998862.01399999
11.41,52498823.42399999
-0.056,52998803.47999999
10.93,53498794.40999999
8.91,53998783.319999985
4.48,54498767.79999998
15.68,54998763.47999998
12.98,55498746.45999998
0.8160000000000001,55998737.27599998
13.26,56498730.535999976
11.43,56998711.965999976
7.17,57498699.13599998
11.49,57998690.62599998
7.65,58498678.27599998
1.54,58998669.81599998
15.03,59498664.84599998
14.08,59998648.92599998
10.98,60498639.90599997
16.01,60998625.91599997
12.79,61498618.70599997
1.54,61998600.24599997
-20.85,62498611.09599997
-20.18,62998601.27599997
-26.75,63498598.02599997
-21.54,63998579.56599997
-24.9,64498564.46599997
-35.32,64998559.78599997
-26.59,65498546.37599997
-28.06,65998534.435999975
-35.82,66498530.255999975
-25.58,66998515.83599997
12.98,67498498.81599997
6.3,67998485.11599997
14.16,68498479.27599996
17.49,68998466.76599996
10.07,69498456.83599995
21.88,69998448.71599995
15.38,70498434.09599994
11.51,70998425.60599995
23.37,71498418.97599995
24.59,71998403.56599995
8.11,72498371.67599995
12.91,72998354.58599995
12.16,73498336.74599995
3.42,73998330.16599995
15.27,74498325.43599994
12.64,74998308.07599995
6.87,75498294.94599995
16.67,75998281.61599995
12.63,76498264.24599995
4.14,76998248.38599995
-44.2,77498272.58599995
-46.91,77998259.49599995
-49.66,78498249.15599994
-42.94,78998232.09599994
-48.11,79498220.20599994
-61.13,79998221.33599994
-54.18,80498205.51599994
-60.03,80998195.54599994
-64.88,81498190.42599994
-55.74,81998176.16599993
14.06,82498140.22599994
7.86,82998128.08599994
17.32,83498115.40599993
18.27,83998103.67599992
14.36,84498088.03599992
21.27,84998079.30599992
19.38,85498058.68599992
14.62,85998053.30599992
25.18,86498048.48599993
23.71,86998032.19599992
1.83,87498004.02599992
10.46,87997994.48599991
5.33,88497979.81599991
-3.28,88997973.09599991
8.54,89497961.63599992
4.37,89997946.00599992
-2.97,90497938.97599992
7.13,90997926.10599992
2.17,91497908.27599992
-3.72,91997901.99599992
-43.84,92497925.83599992
-50.3,92997916.13599992
-51.22,93497907.35599992
-43.08,93997890.43599992
-49.99,94497880.42599991
-63.11,94997883.53599991
-55.66,95497869.1959999
-60.97,95997860.1659999
-68.14,96497858.3059999
-64.24,96997842.5459999
14.0,97497806.5459999
6.06,97997792.6059999
16.54,98497779.14599991
16.01,98997765.15599991
11.72,99497756.87599991
22.28,99997749.15599991
17.31,100497736.46599992
9.64,100997726.10599992
29.04,101497725.14599992
25.99,101997711.13599992
-5.39,102497686.52599992
5.2,102997671.72599992
3.57,103497655.29599991
-8.47,103997653.76599991
4.74,104497638.50599991
-2.58,104997631.0859999
-5.3,105497626.3859999
-1.01,105997617.39599991
2.65,106497600.04599991
4.19,106997604.23599991
-23.75,107497627.98599991
-6.65,107997604.63599992
-17.16,108497601.79599991
-2.75,108997584.54599991
-12.2,109497576.74599992
-22.26,109997579.00599992
-3.89,110497552.89599992
-9.53,110997542.42599992
-21.78,111497544.20599993
-8.02,111997522.22599992
14.48,112497486.70599993
-0.88,112997467.58599992
16.42,113497464.00599992
14.93,113997448.93599993
6.52,114497435.45599993
17.07,114997422.52599992
15.77,115497408.29599991
4.26,115997392.55599992
15.83,116497388.38599992
17.21,116997375.59599991
-5.34,117497360.93599992
7.41,117997348.34599991
-1.62,118497329.96599992
-17.52,118997327.48599991
-0.736,119497308.22199991
-3.77,119997291.99199991
-14.66,120497286.6519999
-0.912,120997267.5639999
-3.98,121497251.54399991
-21.13,121997252.6739999
-45.25,122497267.9239999
-48.59,122997256.51399991
-60.18,123497256.69399992
-50.56,123997237.25399992
-57.87,124497225.12399992
-77.82,124997232.94399992
-57.72,125497200.66399992
-63.24,125997193.90399991
-83.24,126497197.1439999
-65.42,126997172.5639999
