delay_us,accumulated_us
4.4,4.408
23.18,499977.588
28.1,999965.688
33.55,1499959.2380000001
26.26,1999945.4980000001
28.19,2499933.688
36.42,2999930.108
29.58,3499909.688
32.35,3999902.038
30.25,4499892.288000001
31.54,4999883.828000001
32.99,5499866.818000001
42.1,5999868.9180000005
31.87,6499850.788000001
35.47,6999836.258
46.34,7499832.598
35.74,7999818.338
35.85,8499804.188
47.56,8999801.748
35.62,9499787.367999999
40.0,9999777.367999999
-3.07,10499750.438
-5.44,10999735.877999999
-7.27,11499723.147999998
-0.728,11999713.875999998
-12.45,12499706.325999998
-12.24,12999688.565999998
-4.18,13499672.745999997
-14.9,13999667.645999998
-13.89,14499651.535999998
-6.49,14999638.025999999
-15.38,15499623.406
-16.3,15999609.706
-10.79,16499600.496
-14.59,16999595.086
-14.79,17499579.876
-8.71,17999568.586
-18.78,18499567.366
-18.14,18999555.506
-11.94,19499547.446000002
-17.3,19999534.746000003
-11.03,20499535.776000004
-13.45,20999529.226000004
-12.59,21499511.816000003
-15.88,21999497.696000002
-37.14,22499514.836000003
-13.95,22999478.786000002
-10.68,23499469.466000002
-5.74,23999455.206
-13.07,24499448.276
-7.89,24999436.166
-7.08,25499423.246
-14.18,25999417.426
-10.45,26499397.876
-10.08,26999387.955999997
-14.46,27499372.415999997
-14.23,27999356.645999998
-10.13,28499346.775999997
-16.92,28999333.696
-17.41,29499321.106
-7.11,29999308.216
32.99,30499301.205999997
42.63,30999293.835999995
49.63,31499283.465999994
42.68,31999266.145999994
51.1,32499257.245999996
54.1,32999251.345999997
40.86,33499232.205999997
58.71,33999230.916
57.29,34499218.206
49.34,34999197.546000004
51.85,35499189.396000005
59.41,35999188.806
53.08,36499171.886
53.62,36999155.506
59.31,37499144.816
55.82,37999130.636
55.9,38499116.536
64.2,38999110.736
53.73,39499094.466
58.32,39999082.786
-14.9,40499037.686
-13.44,40999031.125999995
-12.83,41499013.95599999
-9.37,41999003.32599999
-15.15,42498988.47599999
-16.5,42998974.97599999
-11.6,43498956.57599999
-21.62,43998948.19599999
-19.96,44498928.15599999
-12.13,44998920.28599999
-21.94,45498912.22599999
-24.68,45998896.90599999
-14.7,46498881.60599999
-24.25,46998875.85599999
-24.72,47498860.57599999
-19.92,47998850.49599999
-24.08,48498844.57599999
-27.37,48998831.94599999
-23.22,49498825.165999986
-26.34,49998821.50599999
5.54,50498827.04599999
10.98,50998818.025999986
9.22,51498807.245999984
9.07,51998796.315999985
13.22,52498789.53599998
8.99,52998778.525999986
7.71,53498766.23599999
14.47,53998760.705999985
7.0,54498747.705999985
6.49,54998734.19599999
13.74,55498727.93599999
5.48,55998713.415999986
1.5,56498694.915999986
14.8,56998699.71599998
6.98,57498686.69599998
8.49,57998675.18599998
11.19,58498666.37599998
6.32,58998652.69599998
9.31,59498642.00599998
14.98,59998636.98599998
36.31,60498613.29599998
39.44,60998602.73599998
43.96,61498596.69599998
36.25,61998582.94599998
36.08,62498569.02599998
44.91,62998563.935999975
40.57,63498544.505999975
40.2,63998534.70599998
43.78,64498528.48599998
38.82,64998517.30599998
41.23,65498498.535999976
50.02,65998498.55599998
41.86,66498480.41599998
45.54,66998465.95599998
54.42,67498460.37599997
45.38,67998445.75599997
47.33,68498433.08599997
56.5,68998429.58599997
44.55,69498414.13599996
51.14,69998405.27599996
5.27,70498370.54599996
-4.95,70998355.49599996
0.432,71498335.92799996
5.83,71998331.75799996
-2.67,72498314.42799996
-3.77,72998298.19799995
2.71,73498290.90799995
-3.27,73998274.17799994
-6.49,74498260.66799994
-1.06,74998251.72799994
-4.88,75498236.60799994
-6.9,75998223.50799994
-3.18,76498206.68799995
-14.28,76998200.96799995
-7.25,77498178.21799995
0.88,77998169.09799995
-12.63,78498161.72799994
-12.15,78998153.87799995
-5.31,79498139.18799995
-16.07,79998135.25799994
-14.53,80498139.78799994
-13.84,80998133.62799995
-13.02,81498116.64799994
-19.18,81998105.82799995
-41.61,82498117.43799995
-20.46,82998077.89799994
-19.01,83498066.90799995
-10.29,83998057.19799995
-17.19,84498044.38799995
-11.03,84998035.41799995
-12.54,85498017.95799996
-20.53,85998008.48799996
-18.64,86497997.12799996
-10.27,86997987.39799996
-65.5,87498022.89799996
-58.97,87998001.86799996
-57.48,88497989.34799996
-63.29,88997972.63799997
-61.97,89497964.60799997
-54.05,89997948.65799996
-38.61,90497957.26799996
-33.22,90997940.48799996
-32.92,91497933.40799996
-27.85,91997921.25799996
-28.8,92497910.05799995
-25.1,92997895.15799995
-43.28,93497888.43799995
-17.89,93997866.32799995
-30.38,94497856.70799994
-30.22,94997846.92799994
