delay_us,accumulated_us
22.22,22.227999999999998
28.58,500010.808
23.59,999994.3979999999
25.66,1499980.058
-2.19,1999942.248
0.504,2499932.752
-0.9520000000000001,2999913.704
1.82,3499905.5239999997
-6.26,3999891.7839999995
-0.808,4499872.592
-1.09,4999863.682
-14.58,5499858.262
-12.4,5999840.6620000005
5.46,6499836.122
-8.28,6999824.402000001
-7.06,7499811.462
-7.1,7999798.562
-10.53,8499789.091999998
-6.26,8999775.351999998
-4.71,9499760.061999999
-15.9,9999755.962
-7.77,10499733.731999999
-3.74,10999717.472
-9.93,11499707.401999999
3.78,11999701.181999998
6.85,12499698.031999998
1.05,12999679.081999999
3.9,13499672.981999999
8.02,13999661.001999998
3.9,14499644.901999999
3.9,14999628.802
11.17,15499619.972
2.13,15999602.102
7.34,16499589.442
9.65,16999579.092
6.73,17499565.822
4.74,17999550.562
13.61,18499544.172
3.39,18999527.562
4.26,19499521.822
12.85,19999514.672000002
4.83,20499499.502
3.97,20999483.472
6.37,21499479.842
-2.93,21999462.772
-2.83,22499445.601999998
2.45,22999438.051999997
-3.19,23499421.242
-6.78,23999408.022
1.86,24499399.882
-4.5,24999384.382
-4.72,25499369.101999998
-4.61,25999353.711999997
-6.11,26499339.821999997
-2.79,26999322.611999996
-0.44,27499313.051999997
-3.55,27999306.601999998
2.66,28499299.262
-0.808,28999280.069999997
-6.02,29499276.089999996
-4.9,29999260.989999995
1.59,30499252.579999994
-1.86,30999244.439999994
-0.5760000000000001,31499235.015999995
-9.41,31999194.425999995
-4.45,32499188.875999995
-6.82,32999175.695999995
0.632,33499156.327999994
-6.36,33999142.68799999
-4.78,34499127.467999995
-1.38,34999108.848
-3.71,35499102.558
0.5760000000000001,35999083.133999996
0.888,36499074.02199999
-7.41,36999061.43199999
-2.03,37499043.46199999
-5.11,37999038.57199999
-5.74,38499024.31199999
-6.58,38999010.89199999
-1.2,39499002.09199999
-8.71,39998990.80199999
-2.19,40498972.99199999
-4.33,40998967.32199999
-8.18,41498955.50199999
-5.69,41998961.19199999
-0.6880000000000001,42498951.87999999
-8.5,42998940.37999999
-3.59,43498923.96999999
-3.94,43998907.90999999
-7.77,44498895.67999999
-5.88,44998881.559999995
1.29,45498872.849999994
-6.17,45998859.019999996
-1.46,46498850.48
-4.12,46998834.599999994
-5.19,47498829.78999999
-5.54,47998815.32999999
-1.99,48498807.31999999
-7.4,48998794.71999999
-4.16,49498778.87999999
-2.03,49998770.90999999
-10.14,50498761.04999999
-5.41,50998746.459999986
-2.02,51498738.47999999
19.9,51998718.37999999
20.97,52498709.34999999
21.03,52998700.37999999
19.4,53498689.77999999
16.87,53998676.64999998
26.81,54498663.459999986
20.26,54998643.719999984
13.68,55498627.39999998
23.3,55998620.69999998
25.82,56498606.51999998
26.0,56998592.51999998
29.74,57498582.25999998
18.42,57998560.679999985
27.88,58498558.55999999
27.56,58998546.11999999
26.54,59498532.65999999
23.57,59998516.22999999
33.91,60498510.139999986
28.5,60998488.639999986
28.96,61498477.59999999
-5.69,61998453.289999984
-6.53,62498439.819999985
-11.62,62998431.43999998
-1.79,63498413.22999998
-8.22,63998401.44999998
0.24,64498391.68999998
-0.888,64998372.57799998
-6.62,65498359.19799998
-6.78,65998345.97799998
5.91,66498341.887999974
-8.78,66998330.667999975
-6.98,67498317.64799999
-4.58,67998302.22799999
-9.78,68498292.00799999
-9.3,68998281.30799998
-8.86,69498270.16799998
-13.9,69998254.06799999
-9.88,70498243.94799998
-9.04,70998232.98799999
-11.62,71498224.608
-1.49,71998216.09799999
-0.6880000000000001,72498206.78599998
-4.5,72998201.28599998
-0.72,73498192.00599998
-3.06,73998185.06599998
-5.54,74498170.60599999
-3.16,74998153.76599999
-0.52,75498144.28599998
-7.78,75998132.06599998
-3.82,76498115.88599998
2.31,76998108.19599998
-4.31,77498102.50599998
-4.46,77998086.96599998
0.584,78498077.54999998
-3.55,78998061.09999998
0.872,79498051.97199997
-3.13,79998045.10199997
-6.92,80498042.02199997
-2.61,80998024.63199997
-3.8,81498018.43199997
-0.488,81997998.91999997
1.7,82497990.61999997
2.74,82997983.35999997
-1.39,83497974.74999997
-5.22,83997959.96999997
5.58,84497955.54999997
-1.77,84997937.31999996
2.82,85497930.13999996
2.02,85997922.15999995
-2.22,86497914.37999995
0.008,86997894.38799995
4.74,87497889.12799995
-1.62,87997870.74799995
1.32,88497862.06799994
3.6,88997855.66799994
1.81,89497847.47799994
0.592,89997828.06999993
3.2,90497821.26999994
-1.84,90997813.10999994
4.74,91497807.84999993
5.01,91997762.85999994
0.08,92497752.93999994
-0.632,92997743.57199994
7.94,93497741.51199993
0.984,93997722.49599993
6.21,94497708.70599993
7.22,94997695.92599992
5.78,95497681.70599993
4.98,95997666.68599993
6.84,96497663.52599993
3.37,96997646.89599994
4.86,97497631.75599994
8.05,97997619.80599993
0.328,98497600.13399993
4.13,98997584.26399992
11.25,99497575.51399992
2.99,99997558.50399992
4.22,100497542.72399992
5.34,100997538.06399992
3.79,101497521.85399993
-10.08,101997531.93399993
-8.14,102497520.07399993
-13.9,102997513.97399993
-9.71,103497503.68399993
-4.28,103997487.96399993
-12.23,104497480.19399993
-12.82,104997473.01399992
-8.03,105497461.04399993
-13.1,105997454.14399992
-11.18,106497445.32399993
-5.91,106997431.23399992
-9.88,107497421.11399992
-11.62,107997412.73399992
-7.9,108497400.63399993
-12.18,108997392.81399994
-10.43,109497383.24399994
-14.97,109997378.21399994
-10.32,110497368.53399993
-12.46,110997350.99399993
-6.75,111497337.74399993
12.22,111997299.96399993
20.17,112497290.13399993
19.85,112997279.98399992
18.09,113497268.07399993
10.22,113997248.29399993
26.05,114497244.34399992
13.94,114997228.28399992
8.02,115497216.30399992
21.02,115997207.32399991
21.72,116497199.04399991
20.19,116997179.23399991
21.58,117497170.8139999
18.26,117997159.07399991
21.89,118497150.96399991
20.18,118997141.14399992
16.9,119497128.04399993
17.23,119997115.27399993
27.38,120497112.65399992
19.5,120997092.15399992
22.26,121497084.41399993
-4.11,121997068.52399993
-3.64,122497062.16399993
-5.98,122997048.14399993
-0.352,123497038.49599993
-10.59,123997029.08599994
3.09,124497012.17599994
-1.02,124996993.19599994
-5.67,125496978.86599994
-5.44,125996964.30599993
6.15,126496960.45599994
-4.65,126996945.10599995
-4.14,127496929.24599995
-5.34,127996924.58599995
-10.22,128496914.80599995
-5.77,128996900.57599995
0.32,129496890.89599994
-11.55,129996882.44599994
-11.46,130496863.90599993
-6.69,130996850.59599993
-10.01,131496840.60599993
-1.31,131996841.91599993
4.21,132496836.12599993
-0.592,132996826.71799992
