delay_us,accumulated_us
35.48,35.519999999999996
62.48,500038.0
75.56,1000033.56
48.84,1500002.4000000001
74.24,2000006.6400000001
91.84,2499998.48
84.44,3000002.92
27.92,3500010.84
46.04,4000006.88
54.6,4500011.4799999995
83.48,5000014.96
223.48,5500138.44
107.92,6000006.36
66.0,6499942.36
83.56,6999935.92
90.92,7499926.84
123.04,7999929.88
2.4,8499922.28
12.12,8999914.399999999
37.4,9499911.799999999
55.16,9999906.959999999
52.08,10499899.04
89.84,10999908.879999999
92.84,11499891.719999999
96.48,11999888.2
127.28,12499885.479999999
151.44,12999876.919999998
2.72,13499869.639999999
37.12,13999876.759999998
46.84,14499873.599999998
56.44,14999870.039999997
88.0,15499868.039999997
106.24,15999864.279999997
70.12,16499824.399999997
108.48,16999822.88
245.24,17499938.119999997
126.16,17999814.279999997
-4.48,18499818.759999998
12.92,18999811.68
11.08,19499802.759999998
44.16,19999806.919999998
54.92,20499801.84
58.28,20999800.12
47.76,21499757.880000003
81.28,21999769.160000004
72.68,22499751.840000004
98.68,22999750.520000003
47.88,23499738.400000002
67.0,23999745.400000002
83.96,24499739.360000003
196.24,24999835.6
119.36,25499744.96
148.0,25999732.96
176.08,26499739.04
194.08,26999743.119999997
221.68,27499734.799999997
240.24,27999735.039999995
28.8,28499733.839999996
44.32,28999728.159999996
52.52,29499720.679999996
51.52,29999722.199999996
78.52,30499720.719999995
95.24,30999725.959999993
27.48,31499663.439999994
46.0,31999659.439999994
44.4,32499643.839999992
64.92,32999658.759999994
-1.8,33499650.559999995
-3.16,33999643.71999999
-4.04,34499637.75999999
29.52,34999637.279999994
35.76,35499623.03999999
13.2,35999616.239999995
62.56,36499618.8
72.6,36999611.4
31.6,37499603.0
99.52,37999612.52
101.28,38499603.800000004
-16.32,38999620.120000005
18.44,39499608.56
27.04,39999605.6
27.8,40499603.4
47.0,40999610.4
29.04,41499579.44
38.0,41999577.44
42.12,42499569.559999995
51.56,42999561.12
-28.08,43499579.199999996
-12.4,43999571.599999994
-10.44,44499562.03999999
-2.48,44999544.51999999
6.4,45499540.91999999
14.64,45999535.55999999
7.04,46499512.59999999
11.4,46999513.999999985
15.24,47499499.23999999
24.6,47999493.83999999
31.0,48499494.83999999
-7.2,48999492.03999999
1.8,49499473.83999999
12.56,49999476.39999999
14.48,50499460.87999999
23.76,50999454.639999986
34.0,51499458.639999986
38.32,51999446.959999986
47.76,52499444.719999984
58.4,52999443.11999998
1.68,53499434.79999998
10.68,53999435.47999998
21.92,54499437.39999998
30.4,54999427.79999998
35.8,55499423.59999998
46.36,55999429.95999998
49.2,56499419.15999998
58.68,56999417.83999998
63.0,57499420.83999998
70.72,57999411.55999998
69.84,58499401.39999998
46.88,58999418.27999999
51.6,59499409.87999999
44.28,59999404.15999999
59.28,60499403.43999999
66.24,60999399.67999999
48.12,61499367.79999999
50.88,61999368.67999999
54.0,62499352.67999999
61.68,62999344.35999999
2.48,63499346.83999999
8.44,63999335.27999999
13.12,64499328.39999998
18.08,64999326.47999998
18.36,65499314.83999998
25.8,65999310.63999998
48.76,66499329.399999976
55.64,66999325.03999998
59.16,67499314.19999997
68.4,67999322.59999998
67.56,68499310.15999998
3.0,68999303.15999998
7.32,69499300.47999997
16.32,69999296.79999997
17.36,70499294.15999997
22.56,70999296.71999997
2.68,71499269.39999998
3.2,71999262.59999998
2.32,72499254.91999997
7.32,72999252.23999996
-3.32,73499245.55999996
7.64,73999243.19999996
12.76,74499235.95999996
17.72,74999233.67999996
21.76,75499235.43999997
20.08,75999225.51999997
54.72,76499250.23999996
58.8,76999249.03999996
60.76,77499239.79999997
65.76,77999235.55999997
67.32,78499232.87999997
31.24,78999224.11999996
35.24,79499219.35999995
42.8,79999222.15999995
45.2,80499207.35999995
50.6,80999207.95999995
25.92,81499183.87999995
25.44,81999169.31999995
29.8,82499159.11999995
33.08,82999162.19999994
-1.68,83499153.87999995
2.88,83999146.75999995
5.16,84499141.91999994
9.36,84999131.27999994
8.8,85499120.07999994
14.2,85999124.27999994
10.88,86499105.15999994
8.72,86999093.87999994
9.36,87499093.23999994
24.16,87999097.39999993
11.92,88499089.31999993
41.52,88999130.83999993
-9.76,89499090.59999993
-6.36,89999086.95999993
-5.28,90499082.23999994
32.8,90999115.03999993
-45.4,91499070.43999994
-45.08,91999065.51999994
-50.2,92499055.71999994
-53.64,92999059.35999994
-48.88,93499048.23999994
-30.04,93999028.27999994
804.48,94499822.75999995
-29.68,94999012.43999995
-102.8,95499075.23999995
7.88,95999013.11999995
4.72,96498987.83999994
3.0,96998990.83999994
6.4,97498987.23999995
-66.16,97999053.39999995
18.72,98498982.11999995
