network_time,rpi_time,network_reference,rpi_reference,instant_drift_coefficient,ema_drift_coefficient,drift_coefficient
1025665348.896245,1508346786.693525,1025665343.88262,1508346781.679751,1.0000297451086713,1.0000118980434685,1.0000190368695496
1025665353.908164,1508346791.705708,1025665348.896245,1508346786.693525,1.0000526603414635,1.0000282029626664,1.0000379859141852
1025665358.920003,1508346796.717988,1025665353.908164,1508346791.705708,1.0000879827063913,1.0000521148601562,1.0000664619986503
1025665363.932672,1508346801.731024,1025665358.920003,1508346796.717988,1.0000732235471612,1.0000605583349582,1.0000656244198394
1025665368.943358,1508346806.742103,1025665363.932672,1508346801.731024,1.0000784627580255,1.0000677201041852,1.0000720171657214
1025665373.956079,1508346811.75512,1025665368.943358,1508346806.742103,1.0000590253183894,1.000064242189867,1.0000621554412759
1025665378.967313,1508346816.76662,1025665373.956079,1508346811.75512,1.0000530481540693,1.0000597645755478,1.0000570780069564
1025665383.976161,1508346821.775708,1025665378.967313,1508346816.76662,1.0000479326806206,1.000055031817577,1.0000521921627945
1025665388.985991,1508346826.785708,1025665383.976161,1508346821.775708,1.0000339317795148,1.0000465918023522,1.000041527793217
1025665393.995846,1508346831.795708,1025665388.985991,1508346826.785708,1.0000289346688016,1.0000395289489319,1.0000352912368797
1025665399.005703,1508346836.805707,1025665393.995846,1508346831.795708,1.0000283635790135,1.0000350628009644,1.0000323831121842
1025665404.015622,1508346841.815719,1025665399.005703,1508346836.805707,1.0000185360353495,1.0000284520947185,1.0000244856709708
1025665409.02551,1508346846.82571,1025665404.015622,1508346841.815719,1.000020606298208,1.0000253137761144,1.0000234307849518
1025665414.035429,1508346851.835706,1025665409.02551,1508346846.82571,1.0000153475517335,1.000021327286362,1.0000189353925106
1025665419.045377,1508346856.845708,1025665414.035429,1508346851.835706,1.0000107551213533,1.0000170984203587,1.0000145611007565
1025665424.055296,1508346861.855708,1025665419.045377,1508346856.845708,1.0000161803650034,1.0000167311982167,1.0000165108649313
1025665429.065277,1508346866.865711,1025665424.055296,1508346861.855708,1.000004401956496,1.0000117995015283,1.0000088404835155
