delay_us,accumulated_us
-0.04,0.04
-38.88,499998.92
-48.32,999997.2399999999
-34.96,1499992.1999999997
-3.96,1999966.1599999997
-13.24,2499969.4
-0.12,2999959.52
0.12,3499949.64
-4.24,3999943.8800000004
11.8,4499945.680000001
11.64,4999937.32
-0.2,5499927.5200000005
13.44,5999930.960000001
-8.4,6499929.360000001
3.16,6999922.520000001
14.24,7499926.760000002
138.56,8000045.320000001
9.16,8499914.48
23.0,8999917.48
18.8,9499906.280000001
9.84,9999896.120000001
25.08,10499901.200000001
18.8,10999890.000000002
15.4,11499885.400000002
22.04,11999867.440000001
20.88,12499858.320000002
13.68,12999852.000000002
37.48,13499859.480000002
23.04,13999832.520000001
17.04,14499829.56
30.6,14999830.16
30.2,15499820.36
15.76,15999806.12
-24.0,16499830.12
-14.04,16999814.159999996
-40.0,17499814.159999996
-43.84,17999807.999999996
-40.28,18499798.279999997
-55.8,18999794.08
-53.12,19499787.2
-57.64,19999784.84
-58.96,20499773.8
-58.68,20999762.48
-66.92,21499769.400000002
9.64,21999709.040000003
20.64,22499709.680000003
13.88,22999703.560000002
11.6,23499695.160000004
20.8,23999685.960000005
18.88,24499684.840000004
11.4,24999666.240000002
21.0,25499667.240000002
17.12,25999664.360000003
-14.16,26499668.520000003
-9.6,26999658.120000005
23.68,27499681.800000004
17.84,27999669.640000004
26.56,28499666.200000003
47.92,28999684.120000005
21.4,29499645.520000003
28.56,29999634.080000002
11.32,30499625.400000002
18.92,30999624.320000004
17.76,31499622.080000006
1390.0,31999632.080000006
1490.0,32499622.080000006
1610.0,32999642.080000006
1630.0,33499602.080000006
1740.0,33999592.080000006
1830.0,34499592.080000006
1910.0,34999582.080000006
1990.0,35499582.080000006
2070.0,35999572.080000006
-96.76,36499668.84
-37.64,36999606.480000004
-126.56,37499663.04000001
-192.92,37999715.96000001
-260.08,38499786.04000001
-317.96,38999834.00000001
-391.24,39499895.24000001
-458.96,39999964.20000001
-515.84,40500020.040000014
-583.32,41000073.360000014
-658.04,41500141.40000001
-41.68,41999513.08000001
-41.48,42499504.56000001
-61.44,42999516.00000001
-68.56,43499514.56000001
-87.28,43999511.84000001
-100.76,44499522.60000001
-103.16,44999515.760000005
-116.52,45499512.28000001
-129.6,45999521.88000001
-74.72,46499456.60000001
-71.12,46999447.720000006
9.64,47499457.36000001
13.84,47999451.20000001
4.24,48499445.44000001
-0.76,48999446.20000001
2.24,49499438.44000001
-9.92,49999448.360000014
-11.24,50499449.60000002
-14.6,50999444.20000002
-34.36,51499458.56000002
6.2,51999404.76000002
-17.72,52499402.48000002
13.76,52999406.24000002
-15.6,53499391.84000002
-12.4,53999384.24000002
-22.12,54499386.360000014
-29.12,54999395.48000001
-29.32,55499384.80000001
-38.76,55999383.56000001
-42.12,56499395.68000001
5.12,56999340.800000004
39.0,57499359.800000004
35.4,57999355.2
39.64,58499344.84
29.76,58999334.6
44.76,59499349.36
39.32,59999328.68
30.56,60499309.24
14.08,60999303.32
31.56,61499304.88
102.08,61999416.96
110.64,62499427.6
5.68,62999313.28
-11.76,63499305.04
-29.24,63999314.28
-16.2,64499300.480000004
-23.8,64999294.28
-47.52,65499311.800000004
-27.56,65999299.36000001
-36.24,66499295.60000001
-26.76,66999282.36000001
-10.16,67499262.52000001
-17.0,67999259.52000001
-26.12,68499265.64000002
-16.64,68999262.28000002
-20.2,69499252.48000002
-32.16,69999254.64000002
-26.04,70499250.68000002
-28.84,70999239.52000003
-39.8,71499239.32000002
0.96,71999200.28000002
17.84,72499208.12000002
0.92,72999189.04000002
11.76,73499190.80000003
10.4,73999181.20000003
1.88,74499173.08000003
10.04,74999173.12000003
7.84,75499160.96000004
0.24,75999151.20000003
7.92,76499149.12000003
-21.6,76999150.72000003
20.6,77499171.32000002
25.28,77999166.60000002
22.6,78499149.20000002
13.56,78999142.76000002
20.48,79499143.24000002
18.92,79999132.16000003
11.2,80499123.36000003
21.52,80999124.88000003
21.6,81499116.48000002
28.0,81999114.48000002
6.2,82499090.68000002
9.52,82999080.20000002
0.48,83499070.68000002
7.16,83999067.84000002
-2.2,84499050.04000002
-8.68,84999048.72000003
6.16,85499054.88000003
-4.72,85999039.60000002
-17.44,86499037.04000002
-26.24,86999043.28000002
-40.04,87499033.32000002
-55.08,87999028.40000002
-53.76,88499022.16000003
-49.28,88999011.44000003
-65.08,89499016.52000003
-67.16,89999013.68000002
-61.96,90498995.64000002
-79.12,90998994.76000002
-74.12,91498988.88000003
-54.12,91998953.00000003
29.08,92498972.08000003
29.44,92998971.52000003
39.04,93498970.56000003
30.44,93998961.00000003
36.12,94498967.12000003
42.12,94998959.24000004
37.12,95498946.36000004
36.68,95998943.04000005
52.88,96498935.92000005
23.96,96998929.88000004
17.2,97498937.08000004
36.4,97998933.48000005
31.68,98498925.16000006
45.92,98998921.08000006
40.64,99498921.72000006
31.68,99998913.40000007
44.04,100498917.44000007
36.52,100998913.96000007
32.68,101498906.64000008
3.04,101998909.68000008
-12.32,102498902.00000007
-25.24,102998897.24000007
-14.08,103498891.32000007
-21.04,103998892.36000007
-31.36,104498893.72000007
-22.56,104998886.28000008
-32.56,105498888.84000008
-44.08,105998882.92000008
-35.12,106498878.04000008
-23.24,106998861.28000008
-0.28,107498861.56000008
3.64,107998855.20000008
1.12,108498856.32000008
-7.28,108998843.60000008
5.56,109498839.16000009
-3.0,109998842.16000009
-12.12,110498834.28000009
-7.24,110998831.52000009
-2.6,111498824.12000008
12.44,111998806.56000008
-9.56,112498796.12000008
-5.12,112998781.24000008
-13.76,113498775.00000009
1.76,113998756.7600001
-2.96,114498759.72000009
-14.28,114998754.00000009
-6.12,115498740.1200001
-11.04,115998741.1600001
-19.56,116498730.7200001
-22.44,116998733.1600001
5.72,117498738.8800001
-14.2,117998723.0800001
-3.52,118498706.6000001
4.64,118998711.2400001
-13.88,119498705.1200001
-9.08,119998694.20000009
-24.04,120498698.2400001
-19.28,120998687.5200001
-11.4,121498678.9200001
-27.52,121998676.4400001
-54.36,122498670.8000001
-50.64,122998661.4400001
-70.44,123498661.8800001
-68.12,123998650.0000001
-65.36,124498635.3600001
-81.52,124998636.8800001
-80.96,125498627.8400001
-82.16,125998620.00000009
-100.4,126498620.4000001
-101.28,126998621.6800001
16.44,127498628.1200001
-5.88,127998624.00000009
12.96,128498626.96000008
24.72,128998621.68000008
-4.32,129498626.00000007
21.04,129998627.04000008
29.84,130498626.88000008
24.76,130998611.64000009
27.16,131498618.80000009
35.84,131998614.64000009
-0.92,132498565.56000009
-8.84,132998564.4000001
-2.92,133498557.3200001
-11.64,133998548.9600001
-20.6,134498559.5600001
-14.12,134998543.6800001
-19.96,135498533.6400001
-24.64,135998538.2800001
-18.12,136498526.4000001
83.32,136998489.7200001
123.56,137498513.2800001
135.92,137998509.20000008
137.88,138498497.08000007
143.12,138998500.20000008
155.76,139498495.96000007
154.68,139998480.64000008
161.8,140498482.4400001
173.6,140998476.04000008
176.12,141498462.1600001
48.76,141998460.92000008
29.6,142498430.52000007
27.08,142998417.60000008
27.08,143498414.6800001
-97.92,143998502.60000008
-106.2,144498498.80000007
-106.72,144998505.52000007
-105.48,145498491.00000006
-117.48,145998488.48000005
-116.72,146498485.20000005
-25.12,146998380.32000005
1.44,147498371.76000005
-5.92,147998377.68000004
-3.2,148498370.88000003
-13.76,148998364.64000002
-9.64,149498374.28
-10.88,149998365.16
-18.96,150498364.12
-9.96,150998374.08
-20.52,151498364.60000002
-18.16,151998342.76000002
-4.88,152498337.64000002
-0.44,152998328.08
-3.6,153498321.68
-17.24,153998328.92000002
-1.44,154498320.36
-7.32,154998317.68
-18.6,155498316.28
-5.64,155998301.92
-11.68,156498293.6
49.88,156998273.48
43.68,157498247.16
35.0,157998232.16
26.52,158498218.68
48.28,158998216.96
45.92,159498202.88
39.8,159998202.68
51.16,160498193.84
45.0,160998178.84
33.92,161498172.76
-81.88,161998254.64
0.56,162498245.2
-21.24,162998256.44
-5.52,163498241.96
-11.24,163998233.20000002
-36.52,164498259.72000003
-13.76,164998243.48000002
-19.96,165498243.44000003
-41.84,165998265.28000003
-25.52,166498250.80000004
36.48,166998217.28000003
12.44,167498189.72000003
13.28,167998183.00000003
15.84,168498168.84000003
5.4,168998164.24000004
13.32,169498167.56000003
12.4,169998159.96000004
8.56,170498148.52000004
11.32,170998149.84000003
4.48,171498134.32000002
14.48,171998128.8
45.76,172498164.56
50.24,172998154.8
47.12,173498151.92000002
56.16,173998158.08
56.56,174498144.64000002
59.16,174998143.8
62.64,175498136.44
58.28,175998124.72
53.88,176498118.6
66.52,176998125.12
51.52,177498096.64000002
42.48,177998089.12
45.92,178498085.04
44.44,178998069.48
35.92,179498065.39999998
45.08,179998070.48
44.68,180498055.16
36.0,180998051.16
47.56,181498058.72
-30.52,181998069.24
22.12,182498091.36
30.88,182998102.24
23.08,183498085.32000002
12.8,183998078.12000003
37.6,184498105.72000003
23.84,184998079.56000003
7.64,185498067.20000002
10.16,185998067.36
16.8,186498064.16000003
72.64,186998056.8
38.96,187498015.76000002
45.24,187998011.00000003
31.72,188497992.72000003
34.96,188997987.68000004
44.24,189497981.92000005
28.36,189997970.28000006
35.72,190497966.00000006
43.56,190997959.56000006
31.8,191497941.36000007
-44.08,191997985.4400001
-15.32,192497970.76000008
-32.56,192997973.32000008
-31.72,193497975.04000008
-26.84,193997961.88000008
-42.12,194497964.0000001
-45.24,194997969.2400001
-39.4,195497958.6400001
-55.6,195997964.2400001
-93.24,196498007.4800001
-32.32,196997939.8000001
0.6,197497930.4000001
-4.0,197997934.4000001
-0.36,198497924.7600001
-9.12,198997923.8800001
5.96,199497919.84000012
0.88,199997920.72000012
-6.76,200497917.4800001
6.56,200997914.0400001
0.2,201497914.2400001
45.96,201997910.2000001
38.64,202497888.8400001
35.12,202997883.9600001
32.88,203497876.8400001
41.88,203997868.7200001
36.28,204497865.0000001
37.72,204997852.7200001
42.92,205497845.64000008
40.2,205997845.84000006
34.6,206497830.44000006
1.04,206997831.48000005
-4.6,207497826.08000004
-14.72,207997820.80000004
-3.56,208497814.36000004
-7.12,208997811.48000005
-20.36,209497811.84000006
-9.08,209997800.92000008
-13.24,210497804.1600001
-26.2,210997800.36000007
-17.0,211497787.36000007
25.12,211997762.48000008
48.32,212497780.80000007
64.2,212997775.00000006
68.96,213497783.96000007
54.24,213997758.20000008
69.68,214497757.88000008
86.6,214997774.48000008
68.36,215497742.8400001
75.84,215997738.6800001
63.48,216497722.1600001
40.12,216997722.2800001
55.72,217497728.0000001
47.36,217997715.3600001
53.04,218497718.4000001
61.16,218997709.5600001
36.32,219497695.88000008
45.8,219997691.6800001
60.88,220497692.5600001
41.6,220997674.1600001
54.2,221497678.36000007
5.08,221997673.4400001
-0.52,222497673.9600001
2.36,222997666.3200001
7.08,223497663.40000013
-21.8,223997675.20000014
-8.12,224497663.32000014
-4.2,224997657.52000013
-37.08,225497674.60000014
-15.6,225997650.20000014
-11.64,226497641.84000012
-3.4,226997615.24000013
-17.88,227497613.12000012
-12.92,227997596.0400001
-24.04,228497590.0800001
-26.32,228997596.4000001
-23.92,229497590.32000008
-33.92,229997594.24000007
-36.68,230497590.92000008
-38.48,230997589.40000007
-47.32,231497586.72000006
-18.16,231997554.88000005
-19.12,232497554.00000006
-14.36,232997538.36000007
-15.48,233497543.84000006
-10.52,233997534.36000007
-16.6,234497530.96000007
-18.44,234997529.40000007
-14.2,235497513.60000005
-19.72,235997503.32000005
-20.88,236497504.20000005
-65.84,236997540.04000005
-3.6,237497533.64000005
-9.36,237997533.00000006
-4.76,238497527.76000005
-12.48,238997520.24000004
-9.64,239497519.88000003
-7.16,239997507.04000002
-13.2,240497500.24
-11.52,240997501.76000002
-5.36,241497497.12000003
23.44,241997480.56000003
26.96,242497477.52000004
29.76,242997467.28000003
25.2,243497452.48000002
39.04,243997471.52
33.2,244497454.72
36.04,244997450.76
19.84,245497440.6
35.16,245997445.76
31.44,246497437.2
52.04,246997429.23999998
35.36,247497394.6
26.44,247997371.04
18.36,248497359.4
29.24,248997358.64000002
25.8,249497344.44000003
11.88,249997336.32000002
29.8,250497336.12000003
143.76,250997439.88000003
13.68,251497313.56000003
-20.0,251997333.56000003
39.16,252497362.72000003
26.12,252997348.84000003
43.56,253497352.40000004
38.12,253997340.52000004
28.8,254497339.32000005
43.04,254997342.36000004
44.6,255497336.96000004
31.12,255997328.08000004
48.4,256497336.48000005
5.56,256997322.04000005
-19.32,257497351.36000004
-19.28,257997310.64000005
-26.2,258497306.84000003
-49.28,258997316.12000003
-29.68,259497305.80000004
-40.64,259997296.44000003
-49.28,260497295.72000003
-41.0,260997286.72000003
-47.52,261497284.24000004
-56.2,261997290.44000003
-3.6,262497234.04000002
5.72,262997219.76000002
-4.08,263497213.84000003
0.12,263997203.96000004
-3.32,264497197.28000003
-10.96,264997198.24000004
-2.24,265497190.48000005
-2.24,265997172.72000006
-12.16,266497174.88000005
-19.8,266997184.68000007
-21.6,267497176.28000006
22.2,267997198.48000005
33.4,268497201.88
28.84,268997190.71999997
22.28,269497182.99999994
40.6,269997193.59999996
35.32,270497178.91999996
24.12,270997173.03999996
32.52,271497175.55999994
32.88,271997168.43999994
51.72,272497150.15999997
58.2,272997148.35999995
63.96,273497142.31999993
52.2,273997124.5199999
61.92,274497126.43999994
65.12,274997121.55999994
55.36,275497106.91999996
65.44,275997112.35999995
71.36,276497103.71999997
5.16,276997088.88
12.96,277497091.84
-11.76,277997073.59999996
-26.32,278497069.91999996
