delay_us,accumulated_us
0.008,0.008
92.0,500002.008
89.72,999991.7279999999
-126.62,1499908.348
-132.46,1999900.808
-215.53,2499966.338
-172.84,2999909.178
-165.06,3499894.238
-185.06,3999899.298
-117.31,4499826.608
-124.39,4999830.998
-126.59,5499817.5879999995
-136.55,5999814.137999999
-19.3,6499803.437999999
-23.78,6999797.217999999
-27.62,7499794.8379999995
-17.74,7999782.578
-24.81,8499787.388
-45.05,8999802.438000001
-32.35,9499794.788
-40.15,9999794.938000001
-40.06,10499784.998000002
-27.98,10999772.978000002
-19.26,11499772.238000002
-31.5,11999773.738000002
-24.41,12499768.148000002
-26.58,12999764.728000002
-32.67,13499767.398000002
-37.42,13999774.818000002
-5.55,14499740.368000003
-0.176,14999730.544000003
0.088,15499730.632000003
0.616,15999721.248000003
-61.57,16499752.818000004
-29.4,16999712.218000002
-33.7,17499705.918
-42.72,17999708.638
-38.02,18499706.658
-36.29,18999702.948
-25.13,19499688.077999998
-16.36,19999674.437999997
-31.07,20499675.507999998
-30.18,20999665.687999997
-60.34,21499656.027999997
-68.26,21999654.288
-75.75,22499660.038
-70.14,22999650.178
-74.88,23499645.058
-85.69,23999640.748
-55.16,24499605.908
-50.22,24999586.128
-61.02,25499587.148
-44.58,25999571.727999996
37.22,26499598.947999995
28.3,26999587.247999996
40.18,27499587.427999996
38.18,27999575.607999995
36.07,28499571.677999996
46.32,28999567.997999996
31.71,29499569.707999997
32.93,29999562.637999997
38.18,30499560.817999996
43.3,30999554.117999997
14.4,31499528.517999995
19.98,31999518.497999996
40.39,32499548.887999997
7.35,32999506.237999998
13.5,33499509.737999998
12.97,33999502.708
15.82,34499498.528
29.66,34999498.18799999
19.61,35499497.79799999
15.18,35999492.97799999
-17.58,36499460.55799999
-18.84,36999449.397999994
-30.42,37499449.817999996
-21.99,37999441.808
-28.23,38499440.037999995
-38.13,38999438.168
-28.58,39499436.747999996
-30.98,39999427.72799999
-39.18,40499426.90799999
-26.9,40999413.80799999
-22.95,41499406.757999994
-35.29,41999402.04799999
-32.59,42499394.638
-36.54,42999391.177999996
-40.64,43499391.817999996
-34.03,43999375.848
-26.14,44499361.988
-26.19,44999358.177999996
-22.09,45499350.268
-23.9,45999344.168
23.18,46499357.348
26.9,46999354.247999996
25.56,47499349.808
19.37,47999339.177999996
28.04,48499347.217999995
30.24,48999337.458
1.86,49499329.317999996
17.38,49999326.698
11.34,50499318.038
8.35,50999306.388000004
-75.81,51499292.19800001
-91.74,51999283.93800001
-101.74,52499285.67800001
-92.02,52999277.698000014
-102.51,53499280.20800001
-114.75,53999274.95800001
-88.53,54499243.48800001
-82.78,54999226.268000014
-95.22,55499231.48800001
-84.65,55999216.13800001
8.5,56499214.63800001
2.14,56999206.77800001
9.27,57499206.048000015
9.46,57999195.508000016
9.13,58499194.63800002
19.54,58999194.17800002
-13.94,59499218.118000016
-19.4,59999207.518000014
-18.44,60499205.95800001
-16.94,60999192.89800001
15.9,61499208.79800001
12.49,61999191.28800001
-2.74,62499184.02800001
-6.19,62999180.21800001
4.22,63499174.43800001
6.61,63999161.04800001
86.07,64499157.11800001
107.99,64999155.10800001
105.26,65499150.36800001
110.11,65999140.47800001
93.03,66499113.50800001
80.23,66999093.738000005
78.71,67499092.448
92.61,67999095.058
90.54,68499085.598
87.05,68999072.648
-14.09,69499086.738
-14.37,69999071.10800001
-20.32,70499071.428
-16.54,70999057.96800001
-13.36,71499051.32800001
-6.11,71999057.43800001
-2.26,72499049.69800001
-7.43,72999047.12800002
-14.2,73499051.32800002
-6.87,73999038.19800003
-8.22,74499036.41800003
-10.58,74999026.99800003
-6.41,75499023.40800002
-4.67,75999008.07800002
20.63,76499028.70800002
23.44,76999022.14800002
19.66,77499011.80800001
16.55,77999008.35800001
24.6,78499012.958
28.29,78999011.24800001
93.25,79499014.49800001
96.96,79999001.458
93.86,80498995.318
93.7,80998989.018
109.86,81498998.878
52.98,81998931.85800001
48.06,82498919.91800001
57.94,82998917.85800001
55.13,83498912.988
48.71,83998901.698
-23.26,84498924.958
-23.93,84998918.88800001
-39.94,85498928.82800001
-30.26,85998919.08800001
18.52,86498937.60800001
8.15,86998925.75800002
17.84,87498923.59800002
11.04,87998914.63800003
7.45,88498912.08800003
15.34,88998907.42800003
14.14,89498901.56800003
17.86,89998889.42800003
23.7,90498893.12800004
23.89,90998887.01800004
21.12,91498898.13800004
6.66,91998864.79800004
1.75,92498856.54800004
-6.38,92998852.92800003
0.24,93498843.16800003
-5.01,93998838.17800003
121.35,94498839.52800003
135.42,94998834.94800003
134.62,95498829.56800003
139.74,95998819.30800003
152.98,96498822.28800003
123.56,96998775.84800003
121.77,97498767.61800003
110.21,97998767.82800002
101.42,98498769.24800003
140.33,98998759.57800002
-41.39,99498810.96800002
-13.82,99998804.78800002
-67.98,100498812.76800002
-71.14,100998803.90800002
-78.22,101498802.12800002
-112.85,101998804.97800002
-113.97,102498798.94800001
-129.26,102998798.20800002
-135.58,103498803.78800002
-138.31,103998802.09800002
-59.93,104498712.02800003
-59.67,104998701.69800003
-63.14,105498704.83800003
-67.07,105998691.90800002
-104.87,106498726.77800003
-9.75,106998706.52800003
29.75,107498696.27800003
24.73,107998691.00800003
31.73,108498692.73800004
35.73,108998678.46800004
6.46,109498674.92800003
23.22,109998668.14800003
14.54,110498662.68800004
18.78,110998661.46800004
28.98,111498670.44800004
15.98,111998656.42800005
6.28,112498642.70800005
18.69,112998641.39800005
18.89,113498640.28800005
5.31,113998635.59800005
-62.45,114498698.04800005
-21.71,114998649.75800005
-35.03,115498654.78800005
-22.8,115998637.58800004
-25.42,116498633.00800005
-58.46,116998631.46800004
-68.78,117498640.24800004
-68.73,117998628.97800004
-75.35,118498634.32800004
-65.62,118998619.94800004
-24.22,119498584.16800004
-32.19,119998566.35800004
-30.37,120498556.72800004
-23.25,120998539.97800004
-32.82,121498542.79800004
16.38,121998549.17800003
1.93,122498541.10800004
6.49,122998537.59800003
14.58,123498542.17800003
16.54,123998528.71800004
9.99,124498528.70800003
40.62,124998529.32800004
43.22,125498532.54800004
41.66,125998524.20800003
95.1,126498569.30800003
-1400.0,126998449.30800003
-1490.0,127498459.30800003
-1530.0,127998439.30800003
-1610.0,128498439.30800003
-1680.0,128998439.30800003
-1800.0,129498499.30800003
-1860.0,129998479.30800003
-1940.0,130498479.30800003
-1990.0,130998459.30800003
-2070.0,131498459.30800003
31.02,131998490.32800002
68.54,132498538.86800003
129.24,132998578.10800003
160.85,133498618.95800002
189.88,133998658.83800001
234.89,134498693.728
305.29,134998729.01799998
361.96,135498780.978
464.56,135998875.538
445.49,136498851.028
-8.7,136998399.728
-42.83,137498432.558
21.66,137998414.218
15.02,138498399.238
23.17,138998402.408
12.82,139498405.228
45.28,139998410.508
44.58,140498405.088
58.96,140998414.048
72.69,141498416.738
26.68,141998363.418
15.25,142498348.668
31.59,142998350.25800002
31.67,143498341.928
-28.04,143998369.968
1.54,144498341.508
16.44,144998337.94799998
-23.74,145498361.688
-3.69,145998345.378
-4.3,146498339.678
-63.14,146998372.818
-23.1,147498335.91799998
19.48,147998305.39799997
11.42,148498306.81799996
30.15,148998316.96799996
27.27,149498314.23799998
44.18,149998318.41799998
55.5,150498323.91799998
62.63,150998316.54799998
62.82,151498319.36799997
35.97,151998275.33799997
24.35,152498259.68799996
-33.24,152998232.92799997
-18.66,153498221.58799997
-26.02,153998217.60799998
-27.35,154498214.95799997
-50.06,154998235.01799998
-57.73,155498232.74799997
-54.11,155998216.85799998
-53.22,156498220.07799998
1.28,156998211.35799998
-1.87,157498203.228
10.58,157998203.808
9.7,158498193.508
2.5,158998186.008
18.74,159498194.748
125.88,159998200.628
121.86,160498192.488
145.87,160998198.358
148.45,161498186.808
96.64,161998133.44799998
110.25,162498133.69799998
108.64,162998122.33799997
109.36,163498121.69799998
120.3,163998121.998
120.64,164498112.63799998
-25.86,164998138.498
-21.67,165498130.16799998
-19.93,165998120.098
-29.24,166498119.338
-30.48,166998119.818
-34.49,167498114.308
-45.74,167998120.048
-33.73,168498113.778
-39.52,168998113.298
-48.25,169498121.548
1.14,169998072.688
1.21,170498063.898
0.656,170998064.554
8.39,171498062.94399998
-21.67,171998044.61399996
