network_time,rpi_time,network_reference,rpi_reference,instant_drift_coefficient,ema_drift_coefficient,drift_coefficient
1025666483.475954,1507890793.843802,1025666478.453095,1507890788.820922,1.0000041770701822,1.0000016708280728,1.0000026733249165
1025666488.490909,1507890798.858845,1025666483.475954,1507890793.843802,1.0000175665915851,1.0000080291334776,1.0000118441167207
1025666493.505862,1507890803.873955,1025666488.490909,1507890798.858845,1.0000313061027288,1.000017339921178,1.0000229263937983
1025666498.527658,1507890808.895853,1025666493.505862,1507890803.873955,1.000020320051252,1.0000185319732076,1.0000192472044254
1025666503.54261,1507890813.910925,1025666498.527658,1507890808.895853,1.0000238896273543,1.0000206750348664,1.0000219608718615
1025666508.565439,1507890818.933874,1025666503.54261,1507890813.910925,1.0000238996302868,1.0000219648730346,1.0000227387759355
1025666513.587256,1507890823.955807,1025666508.565439,1507890818.933874,1.0000231210832138,1.0000224273571063,1.0000227048475492
1025666518.6089,1507890828.977533,1025666513.587256,1507890823.955807,1.0000163562372326,1.0000199989091567,1.000018541840387
1025666523.630567,1507890833.999241,1025666518.6089,1507890828.977533,1.0000081662116536,1.0000152658301555,1.0000124259827547
1025666528.652175,1507890839.021019,1025666523.630567,1507890833.999241,1.0000338284545065,1.000022690879896,1.00002714590974
1025666533.673784,1507890844.042741,1025666528.652175,1507890839.021019,1.0000225048196636,1.000022616455803,1.0000225718013471
1025666538.695392,1507890849.06446,1025666533.673784,1507890844.042741,1.0000221012569444,1.0000224103762596,1.0000222867285333
1025666543.716998,1507890854.0862,1025666538.695392,1507890849.06446,1.0000266829461124,1.0000241194042006,1.0000251448209654
1025666548.738671,1507890859.107956,1025666543.716998,1507890854.0862,1.000016522315595,1.0000210805687584,1.000019257267493
1025666553.760338,1507890864.129702,1025666548.738671,1507890859.107956,1.0000157626876105,1.000018953416299,1.0000176771248235
1025666558.781977,1507890869.151511,1025666553.760338,1507890864.129702,1.0000338045057893,1.0000248938520953,1.0000284581135728
1025666563.803676,1507890874.173271,1025666558.781977,1507890869.151511,1.0000121542842049,1.000019798024939,1.0000167405286455
1025666568.818599,1507890879.188356,1025666563.803676,1507890874.173271,1.000032304668538,1.0000248006823786,1.0000278022768425
1025666573.840268,1507890884.210069,1025666568.818599,1507890879.188356,1.0000087596828027,1.0000183842825483,1.00001453444265
1025666578.861941,1507890889.231911,1025666573.840268,1507890884.210069,1.0000336618441288,1.0000244953071804,1.0000281619219598
1025666583.883577,1507890894.253635,1025666578.861941,1507890889.231911,1.000017519480808,1.0000217049766316,1.0000200307783023
1025666588.898533,1507890899.268731,1025666583.883577,1507890894.253635,1.0000279544076922,1.0000242047490557,1.0000257046125105
1025666593.92014,1507890904.290443,1025666588.898533,1507890899.268731,1.0000208668190584,1.000022869577057,1.0000220684738577
1025666598.94175,1507890909.312153,1025666593.92014,1507890904.290443,1.0000199409756616,1.0000216981364987,1.000020995272164
1025666603.95707,1507890914.327525,1025666598.94175,1507890909.312153,1.0000103395279942,1.000017154693097,1.0000144286270558
1025666608.979441,1507890919.349956,1025666603.95707,1507890914.327525,1.0000119627724218,1.000015077924827,1.000013831863865
1025666614.001387,1507890924.372105,1025666608.979441,1507890919.349956,1.0000404015122224,1.000025207359785,1.00003128502076
1025666619.019485,1507890929.390293,1025666614.001387,1507890924.372105,1.0000179356827368,1.0000222986889657,1.0000205534864741
1025666624.041122,1507890934.412072,1025666619.019485,1507890929.390293,1.0000282970422185,1.0000246980302667,1.0000261376350474
1025666629.059192,1507890939.430245,1025666624.041122,1507890934.412072,1.0000205251872794,1.0000230288930718,1.0000220274107547
1025666634.080859,1507890944.451999,1025666629.059192,1507890939.430245,1.0000173294607766,1.0000207491201536,1.0000193812564029
1025666639.102498,1507890949.473781,1025666634.080859,1507890944.451999,1.0000284869430809,1.0000238442493243,1.0000257013268268
1025666644.124139,1507890954.495528,1025666639.102498,1507890949.473781,1.0000211040694842,1.0000227481773882,1.0000220905342267
1025666649.145839,1507890959.517299,1025666644.124139,1507890954.495528,1.000014124604603,1.000019298748274,1.0000172290908056
1025666654.167474,1507890964.539067,1025666649.145839,1507890959.517299,1.0000264928784484,1.0000221764003439,1.0000239029915856
1025666659.189083,1507890969.560796,1025666654.167474,1507890964.539067,1.0000239054366447,1.0000228680148642,1.0000232829835762
1025666664.206053,1507890974.577877,1025666659.189083,1507890969.560796,1.0000221216885334,1.0000225694843319,1.0000223903660124
1025666669.227845,1507890979.599674,1025666664.206053,1507890974.577877,1.000000997012665,1.0000139404956652,1.0000087631024652
1025666674.249453,1507890984.621513,1025666669.227845,1507890979.599674,1.0000459829588626,1.0000267574809443,1.0000344476721117
1025666679.271059,1507890989.64322,1025666674.249453,1507890984.621513,1.0000201071662107,1.000024097355051,1.0000225012795148
1025666684.290075,1507890994.662359,1025666679.271059,1507890989.64322,1.0000245353269162,1.000024272543797,1.0000243776570448
1025666689.311683,1507890999.684049,1025666684.290075,1507890994.662359,1.0000162851363092,1.000021077580802,1.0000191606030049
1025666694.328317,1507891004.700788,1025666689.311683,1507890999.684049,1.000020958793017,1.000021030065688,1.0000210015566195
1025666699.349925,1507891009.722523,1025666694.328317,1507891004.700788,1.0000252823186313,1.0000227309668652,1.0000237515075716
1025666704.370709,1507891014.743403,1025666699.349925,1507891009.722523,1.0000191369892169,1.000021293375806,1.0000204308211704
1025666709.392319,1507891019.765122,1025666704.370709,1507891014.743403,1.0000216976806604,1.0000214550977478,1.0000215521309128
1025666714.412948,1507891024.785874,1025666709.392319,1507891019.765122,1.0000244799558669,1.0000226650409954,1.0000233910069438
1025666719.434556,1507891029.807596,1025666714.412948,1507891024.785874,1.0000227184778687,1.0000226864157447,1.0000226992405943
1025666724.456438,1507891034.829323,1025666719.434556,1507891029.807596,0.9999691643752205,1.000001277599535,0.9999884323098093
1025666729.478112,1507891039.851353,1025666724.456438,1507891034.829323,1.000070860778037,1.0000291108709358,1.0000458108337764
1025666734.496421,1507891044.869646,1025666729.478112,1507891039.851353,0.9999968406019798,1.0000162027633535,1.000008457898804
1025666739.516871,1507891049.89035,1025666734.496421,1507891044.869646,1.0000506000450629,1.000029961676037,1.0000382170236475
1025666744.538599,1507891054.912148,1025666739.516871,1507891049.89035,1.0000139108775181,1.0000235413566294,1.0000196891649848
1025666749.5603,1507891059.933982,1025666744.538599,1507891054.912148,1.0000264687918345,1.0000247123307116,1.0000254149151608
1025666754.581999,1507891064.955791,1025666749.5603,1507891059.933982,1.0000219346847758,1.0000236012723374,1.0000229346373128
1025666759.603672,1507891069.977578,1025666754.581999,1507891064.955791,1.0000226707054864,1.000023229045597,1.000023005709553
1025666764.62546,1507891074.999398,1025666759.603672,1507891069.977578,1.000006385633739,1.0000164916808538,1.000012449262008
1025666769.647161,1507891080.021284,1025666764.62546,1507891074.999398,1.0000368663979542,1.0000246415676939,1.000029531499798
1025666774.66883,1507891085.04307,1025666769.647161,1507891080.021284,1.000023287937207,1.0000241001154992,1.0000237752441823
1025666779.690561,1507891090.064869,1025666774.66883,1507891085.04307,1.0000135073116216,1.0000198629939483,1.0000173207210177
1025666784.71223,1507891095.086694,1025666779.690561,1507891090.064869,1.0000310980616365,1.0000243570210237,1.0000270534372688
1025666789.733897,1507891100.108472,1025666784.71223,1507891095.086694,1.0000221247362242,1.000023464107104,1.000022928358752
1025666794.751448,1507891105.126134,1025666789.733897,1507891100.108472,1.0000220716099486,1.0000229071082418,1.0000225729089245
1025666799.773088,1507891110.147872,1025666794.751448,1507891105.126134,1.000019537291883,1.000021559181698,1.0000207504257719
1025666804.792192,1507891115.167109,1025666799.773088,1507891110.147872,1.0000265062383715,1.0000235380043674,1.000024725297969
1025666809.813862,1507891120.188858,1025666804.792192,1507891115.167109,1.0000157389392823,1.0000204183783334,1.000018546602713
1025666814.832934,1507891125.208052,1025666809.813862,1507891120.188858,1.000024273788574,1.0000219605424296,1.0000228858408875
1025666819.854634,1507891130.229819,1025666814.832934,1507891125.208052,1.0000133649620027,1.000018522310259,1.0000164593709564
1025666824.876307,1507891135.251637,1025666819.854634,1507891130.229819,1.0000288665743728,1.0000226600159046,1.0000251426392919
1025666829.897977,1507891140.273418,1025666824.876307,1507891135.251637,1.0000221009841206,1.0000224364031909,1.0000223022355628
1025666834.918637,1507891145.294172,1025666829.897977,1507891140.273418,1.0000187338175965,1.0000209553689532,1.0000200667484105
1025666839.940218,1507891150.315888,1025666834.918637,1507891145.294172,1.0000268729942883,1.0000233224190873,1.0000247426491677
1025666844.961304,1507891155.337074,1025666839.940218,1507891150.315888,1.0000199430568746,1.0000219706742022,1.0000211596272712
1025666849.982853,1507891160.35874,1025666844.961304,1507891155.337074,1.000023288493369,1.000022497801869,1.000022814078469
1025666854.999578,1507891165.375576,1025666849.982853,1507891160.35874,1.0000221227692982,1.0000223477888408,1.0000222577810238
1025666860.021217,1507891170.397328,1025666854.999578,1507891165.375576,1.0000224809464484,1.000022401051884,1.0000224330097096
1025666865.042886,1507891175.419123,1025666860.021217,1507891170.397328,1.0000250920995186,1.0000234774709378,1.0000241233223701
1025666870.06468,1507891180.441006,1025666865.042886,1507891175.419123,1.0000177325752464,1.0000211795126612,1.0000198007376953
1025666875.085187,1507891185.461616,1025666870.06468,1507891180.441006,1.0000205389686565,1.0000209232950594,1.0000207695644983
1025666880.106796,1507891190.483344,1025666875.085187,1507891185.461616,1.0000236917827259,1.000022030690126,1.000022695127166
1025666885.127518,1507891195.50418,1025666880.106796,1507891190.483344,1.0000226749998913,1.0000222884140322,1.0000224430483757
1025666890.149097,1507891200.52588,1025666885.127518,1507891195.50418,1.0000241429736931,1.0000230302378965,1.0000234753322153
1025666895.170794,1507891205.547617,1025666890.149097,1507891200.52588,1.0000079287743482,1.0000169896524773,1.0000133653012258
1025666900.192525,1507891210.569451,1025666895.170794,1507891205.547617,1.0000205339623072,1.0000184073764093,1.0000192580107685
1025666905.214165,1507891215.591274,1025666900.192525,1507891210.569451,1.000036439541969,1.0000256202426332,1.0000299479623675
1025666910.235896,1507891220.613055,1025666905.214165,1507891215.591274,1.0000099465089094,1.0000193507491437,1.00001558905305
1025666915.250912,1507891225.628243,1025666910.235896,1507891220.613055,1.0000343007891106,1.0000253307651306,1.0000289187747227
1025666920.272583,1507891230.649937,1025666915.250912,1507891225.628243,1.0000045578818952,1.0000170216118365,1.00001203611986
1025666925.28949,1507891235.667022,1025666920.272583,1507891230.649937,1.0000354996972072,1.0000244128459848,1.0000288475864738
1025666930.31116,1507891240.688814,1025666925.28949,1507891235.667022,1.000024284969662,1.0000243616954556,1.0000243310051382
1025666935.332799,1507891245.710565,1025666930.31116,1507891240.688814,1.0000223385117295,1.0000235524219652,1.000023066857871
1025666940.354499,1507891250.73234,1025666935.332799,1507891245.710565,1.000014931724866,1.0000201041431256,1.0000180351758219
1025666945.369393,1507891255.747384,1025666940.354499,1507891250.73234,1.000029903979226,1.0000240240775657,1.00002637603823
1025666950.391066,1507891260.769154,1025666945.369393,1507891255.747384,1.0000193235127792,1.0000221438516512,1.0000210157161025
1025666955.412092,1507891265.790289,1025666950.391066,1507891260.769154,1.0000216764623462,1.0000219568959292,1.000021844722496
1025666960.433732,1507891270.812036,1025666955.412092,1507891265.790289,1.0000213177250237,1.000021701227567,1.0000215478265497
1025666965.455338,1507891275.833746,1025666960.433732,1507891270.812036,1.0000207006485855,1.0000213009959744,1.0000210608570188
1025666970.476947,1507891280.855472,1025666965.455338,1507891275.833746,1.000023335694361,1.0000221148753292,1.0000226032029418
1025666975.498553,1507891285.877172,1025666970.476947,1507891280.855472,1.0000186828096904,1.0000207420490737,1.0000199183533205
1025666980.520131,1507891290.898867,1025666975.498553,1507891285.877172,1.000023288359578,1.0000217605732755,1.0000223716877965
1025666985.54174,1507891295.92059,1025666980.520131,1507891290.898867,1.0000227184735542,1.000022143733387,1.0000223736294538
1025666990.563348,1507891300.942297,1025666985.54174,1507891295.92059,1.0000197035905782,1.0000211676762634,1.0000205820419894
1025666995.578365,1507891305.957443,1025666990.563348,1507891300.942297,1.0000257434147906,1.0000229979716742,1.0000240961489206
1025667000.599976,1507891310.979164,1025666995.578365,1507891305.957443,1.0000218875905575,1.0000225538192273,1.0000222873277593
1025667005.621643,1507891316.000918,1025667000.599976,1507891310.979164,1.0000173294607766,1.0000204640758472,1.0000192102298189
1025667010.643343,1507891321.02267,1025667005.621643,1507891316.000918,1.0000103738692632,1.0000164279932136,1.0000140063436334
1025667015.664921,1507891326.044447,1025667010.643343,1507891321.02267,1.0000395973321654,1.0000256957287943,1.0000312563701428
1025667020.686591,1507891331.066199,1025667015.664921,1507891326.044447,1.0000163561525877,1.0000219598983118,1.0000197184000221
