Sample#,group1,SampleTime,units
0,1,40,ns
1,0,499.88,ms
2,1,499.98,ms
3,0,120.84,ms
4,2,379.14,ms
5,3,499.99,ms
6,2,110.80,us
7,0,499.87,ms
8,1,13.44,us
9,3,499.97,ms
10,2,21.40,us
11,0,500.00,ms
12,2,31.56,us
13,3,499.93,ms
14,2,38.16,us
15,0,499.95,ms
16,1,40.96,us
17,3,499.94,ms
18,2,52.72,us
19,0,499.93,ms
20,1,55.32,us
21,3,499.93,ms
22,2,74.04,us
23,0,499.99,ms
24,2,76.16,us
25,3,499.84,ms
26,2,78.28,us
27,0,499.90,ms
28,1,83.88,us
29,3,499.91,ms
30,2,90.56,us
31,0,499.99,ms
32,2,37.84,us
33,3,499.86,ms
34,2,97.52,us
35,0,500.00,ms
36,2,22.16,us
37,3,499.85,ms
38,2,119.24,us
39,0,499.86,ms
40,1,127.96,us
41,3,499.86,ms
42,2,141.28,us
43,0,499.84,ms
44,1,144.88,us
45,3,499.84,ms
46,2,152.28,us
47,0,499.84,ms
48,1,161.32,us
49,3,499.82,ms
50,2,165.80,us
51,0,499.82,ms
52,1,175.48,us
53,3,499.82,ms
54,2,182.24,us
55,0,499.80,ms
56,1,183.36,us
57,3,499.80,ms
58,2,195.76,us
59,0,499.80,ms
60,1,200.24,us
61,3,499.77,ms
62,2,219.84,us
63,0,499.77,ms
64,1,223.20,us
65,3,499.77,ms
66,2,226.56,us
67,0,499.76,ms
68,1,231.88,us
69,3,499.75,ms
70,2,241.08,us
71,0,499.76,ms
72,1,247.00,us
73,3,499.74,ms
74,2,256.84,us
75,0,499.72,ms
76,1,258.20,us
77,3,499.73,ms
78,2,275.92,us
79,0,499.71,ms
80,1,270.52,us
81,3,499.71,ms
82,2,296.12,us
83,0,499.70,ms
84,1,294.96,us
85,3,499.69,ms
86,2,297.88,us
87,0,499.68,ms
88,1,303.80,us
89,3,499.69,ms
90,2,314.48,us
91,0,499.67,ms
92,1,312.12,us
93,3,499.72,ms
94,2,276.96,us
95,0,499.66,ms
96,1,331.12,us
97,3,499.64,ms
98,2,346.48,us
99,0,499.64,ms
100,1,349.00,us
101,3,499.65,ms
102,2,359.40,us
103,0,499.62,ms
104,1,365.96,us
105,3,499.62,ms
106,2,373.44,us
107,0,499.62,ms
108,1,376.56,us
109,3,499.60,ms
110,2,393.56,us
111,0,499.59,ms
112,1,398.24,us
113,3,499.61,ms
114,2,393.92,us
115,0,499.58,ms
116,1,396.32,us
117,3,499.59,ms
118,2,411.88,us
119,0,499.58,ms
120,1,420.04,us
121,3,499.70,ms
122,2,288.40,us
123,0,499.57,ms
124,1,423.00,us
125,3,499.81,ms
126,2,191.60,us
127,0,499.54,ms
128,1,453.84,us
129,3,499.52,ms
130,2,460.72,us
131,0,499.53,ms
132,1,467.64,us
133,3,499.51,ms
134,2,477.12,us
135,0,499.51,ms
136,1,476.76,us
137,3,499.51,ms
138,2,488.36,us
139,0,499.49,ms
140,1,495.40,us
141,3,499.49,ms
142,2,501.88,us
143,0,499.63,ms
144,1,373.72,us
145,3,499.48,ms
146,2,507.64,us
147,0,499.47,ms
148,1,522.32,us
149,3,499.47,ms
150,2,529.52,us
151,0,499.45,ms
152,1,538.24,us
153,3,499.45,ms
154,2,546.52,us
155,0,499.45,ms
156,1,556.28,us
157,3,499.42,ms
158,2,558.44,us
159,0,499.43,ms
160,1,564.64,us
161,3,499.42,ms
162,2,580.72,us
163,0,499.41,ms
164,1,577.76,us
165,3,499.40,ms
166,2,592.28,us
167,0,499.41,ms
168,1,593.00,us
169,3,499.38,ms
170,2,607.92,us
171,0,499.38,ms
172,1,608.12,us
173,3,499.38,ms
174,2,625.72,us
175,0,499.36,ms
176,1,617.56,us
177,3,499.35,ms
178,2,636.88,us
179,0,499.36,ms
180,1,640.80,us
181,3,499.33,ms
182,2,650.92,us
183,0,499.34,ms
184,1,655.20,us
185,3,499.34,ms
186,2,668.36,us
187,0,499.31,ms
188,1,671.56,us
189,3,499.31,ms
190,2,679.88,us
191,0,499.32,ms
192,1,685.00,us
193,3,499.29,ms
194,2,696.24,us
195,0,499.29,ms
196,1,708.24,us
197,3,499.28,ms
198,2,713.36,us
199,0,499.27,ms
200,1,715.68,us
201,3,499.26,ms
202,2,723.44,us
203,0,499.27,ms
204,1,729.16,us
205,3,499.25,ms
206,2,749.88,us
207,0,499.23,ms
208,1,746.52,us
209,3,499.25,ms
210,2,752.80,us
211,0,499.23,ms
212,1,763.28,us
213,3,499.22,ms
214,2,772.12,us
215,0,499.22,ms
216,1,774.16,us
217,3,499.21,ms
218,2,776.48,us
219,0,499.20,ms
220,1,787.16,us
221,3,499.21,ms
222,2,794.00,us
223,0,499.18,ms
224,1,808.16,us
225,3,499.18,ms
226,2,812.28,us
227,0,499.58,ms
228,1,426.32,us
229,3,499.16,ms
230,2,822.12,us
231,0,499.17,ms
232,1,817.52,us
233,3,499.16,ms
234,2,840.08,us
235,0,499.20,ms
236,1,786.88,us
237,3,499.15,ms
238,2,841.08,us
239,0,499.14,ms
240,1,862.52,us
241,3,499.11,ms
242,2,868.60,us
243,0,499.12,ms
244,1,873.72,us
245,3,499.12,ms
246,2,887.40,us
247,0,499.10,ms
248,1,887.24,us
249,3,499.09,ms
250,2,901.52,us
251,0,499.24,ms
252,1,767.16,us
253,3,499.07,ms
254,2,908.52,us
255,0,499.08,ms
256,1,910.92,us
257,3,499.08,ms
258,2,928.16,us
259,0,499.05,ms
260,1,930.40,us
261,3,499.05,ms
262,2,943.28,us
263,0,499.06,ms
264,1,948.36,us
265,3,499.03,ms
266,2,959.64,us
267,0,499.03,ms
268,1,962.28,us
269,3,499.03,ms
270,2,971.00,us
271,0,499.01,ms
272,1,973.52,us
273,3,499.01,ms
274,2,985.84,us
275,0,499.05,ms
276,1,947.08,us
277,3,499.00,ms
278,2,998.24,us
279,0,499.07,ms
280,1,921.52,us
281,3,498.98,ms
282,2,1.01,ms
283,0,498.96,ms
284,1,1.02,ms
285,3,498.96,ms
286,2,1.03,ms
287,0,498.97,ms
288,1,1.04,ms
289,3,498.94,ms
290,2,1.05,ms
291,0,498.94,ms
292,1,1.06,ms
293,3,498.94,ms
294,2,1.06,ms
295,0,498.92,ms
296,1,1.06,ms
297,3,498.94,ms
298,2,1.06,ms
299,0,498.93,ms
300,1,1.07,ms
301,3,498.91,ms
302,2,1.08,ms
303,0,498.90,ms
304,1,1.10,ms
305,3,498.89,ms
306,2,1.10,ms
307,0,498.87,ms
308,1,1.11,ms
309,3,498.88,ms
310,2,1.11,ms
311,0,498.88,ms
