network_time,rpi_time,network_reference,rpi_reference,instant_drift_coefficient,ema_drift_coefficient,drift_coefficient
1025665451.309278,1508433190.783228,1025665446.286138,1508433185.760211,0.9999755085488454,0.9999902034195381,0.999984325471261
1025665456.325115,1508433195.799198,1025665451.309278,1508433190.783228,1.0000265235031274,1.0000047314529739,1.0000134482730352
1025665461.340048,1508433200.814188,1025665456.325115,1508433195.799198,1.0000113862438058,1.0000073933693066,1.0000089905191063
1025665466.354973,1508433205.829177,1025665461.340048,1508433200.814188,1.0000127412033402,1.00000953250292,1.000010815983088
1025665471.369901,1508433210.844193,1025665466.354973,1508433205.829177,1.0000175666859568,1.0000127461761346,1.0000146743800635
1025665476.384799,1508433215.859143,1025665471.369901,1508433210.844193,1.0000103641688434,1.000011793373218,1.000011221691468
1025665481.399694,1508433220.874035,1025665476.384799,1508433215.859143,0.9999993819528521,1.0000068288050716,1.000003850064184
1025665486.414528,1508433225.889014,1025665481.399694,1508433220.874035,1.0000289297121385,1.0000156691678983,1.0000209733855945
1025665491.429426,1508433230.903934,1025665486.414528,1508433225.889014,1.0000043976405542,1.0000111605569608,1.000008455390398
1025665496.444262,1508433235.918914,1025665491.429426,1508433230.903934,1.000028715758538,1.0000181826375916,1.0000223958859702
1025665501.459249,1508433240.933864,1025665496.444262,1508433235.918914,0.9999926311115421,1.0000079620271718,1.0000018296609199
1025665506.474145,1508433245.948889,1025665501.459249,1508433240.933864,1.0000256964932275,1.000015055813594,1.0000193120854473
1025665511.489256,1508433250.963851,1025665506.474145,1508433245.948889,0.9999702874746255,0.9999971484780066,0.9999864040766542
1025665516.504183,1508433255.979018,1025665511.489256,1508433250.963851,1.0000478508058939,1.0000174294091615,1.0000295979678544
1025665521.519079,1508433260.993992,1025665516.504183,1508433255.979018,1.0000155938019961,1.0000166951662952,1.0000162546205755
1025665526.533976,1508433266.009021,1025665521.519079,1508433260.993992,1.0000263145352388,1.0000205429138727,1.0000228515624192
1025665531.555617,1508433271.030705,1025665526.533976,1508433266.009021,1.0000085460796782,1.0000157441801947,1.000012864939988
1025665536.570483,1508433276.045654,1025665531.555617,1508433271.030705,1.0000165685134774,1.0000160739135078,1.0000162717534957
1025665541.585479,1508433281.060714,1025665536.570483,1508433276.045654,1.000012741022832,1.0000147407572375,1.0000139408634752
1025665546.600375,1508433286.075674,1025665541.585479,1508433281.060714,1.0000127650479769,1.0000139504735333,1.0000134763033106
1025665551.622046,1508433291.097425,1025665546.600375,1508433286.075674,1.0000159288480435,1.0000147418233374,1.00001521663322
1025665556.643902,1508433296.119275,1025665551.622046,1508433291.097425,0.9999988368333848,1.0000083798273565,1.0000045626297678
1025665561.658736,1508433301.134231,1025665556.643902,1508433296.119275,1.000024318073556,1.0000147551258363,1.0000185803049242
1025665566.680466,1508433306.156048,1025665561.658736,1508433301.134231,1.0000173055044679,1.000015775277289,1.0000163873681605
1025665571.695488,1508433311.171081,1025665566.680466,1508433306.156048,1.0000022106511406,1.0000103494268295,1.000007093916554
1025665576.717187,1508433316.192903,1025665571.695488,1508433311.171081,1.000024474739683,1.0000159995519708,1.0000193896270557
1025665581.738916,1508433321.214682,1025665576.717187,1508433316.192903,1.0000099702516179,1.0000135878318297,1.000012140799745
1025665586.760563,1508433326.236402,1025665581.738916,1508433321.214682,1.0000145283182085,1.0000139640263812,1.000014189743112
1025665591.775549,1508433331.251464,1025665586.760563,1508433326.236402,1.0000151181095176,1.0000144256596357,1.0000147026395885
1025665596.796546,1508433336.272533,1025665591.775549,1508433331.251464,1.0000143640040433,1.0000144009973988,1.0000143862000566
1025665601.818245,1508433341.29427,1025665596.796546,1508433336.272533,1.000007572688612,1.000011669673884,1.0000100308797752
1025665606.839923,1508433346.316045,1025665601.818245,1508433341.29427,1.0000193234935129,1.0000147312017356,1.0000165681184465
1025665611.861591,1508433351.337792,1025665606.839923,1508433346.316045,1.0000157152066511,1.0000151248037017,1.0000153609648814
1025665616.881246,1508433356.357504,1025665611.861591,1508433351.337792,1.0000113517842417,1.0000136155959178,1.0000127100712475
1025665621.902983,1508433361.379304,1025665616.881246,1508433356.357504,1.0000125577493266,1.0000131924572813,1.0000129385740995
1025665626.924682,1508433366.401092,1025665621.902983,1508433361.379304,1.000017732910323,1.000015008638498,1.000016098347228
1025665631.946381,1508433371.422861,1025665626.924682,1508433366.401092,1.0000139584357663,1.0000145885574052,1.0000143365087497
1025665636.96812,1508433376.444667,1025665631.946381,1508433371.422861,1.0000133411196095,1.0000140895822869,1.000013790197216
1025665641.989911,1508433381.466436,1025665636.96812,1508433376.444667,0.9999955846573585,1.0000066876123155,1.0000022464303326
1025665647.011518,1508433386.488191,1025665641.989911,1508433381.466436,1.0000294604350985,1.0000157967414287,1.0000212622188966
1025665652.033225,1508433391.509966,1025665647.011518,1508433386.488191,1.00001353111487,1.0000148904908053,1.0000143467404312
1025665657.054985,1508433396.531754,1025665652.033225,1508433391.509966,1.0000056022972836,1.0000111752133964,1.0000089460469512
1025665662.076744,1508433401.553573,1025665657.054985,1508433396.531754,1.0000119404921006,1.0000114813248782,1.0000116649917672
1025665667.097447,1508433406.574406,1025665662.076744,1508433401.553573,1.0000258804640723,1.0000172409805559,1.0000206967739624
1025665672.119115,1508433411.596137,1025665667.097447,1508433406.574406,1.000012581660914,1.0000153772526992,1.000014259015985
1025665677.140753,1508433416.617851,1025665672.119115,1508433411.596137,1.0000151218221829,1.0000152750804927,1.0000152137771687
1025665682.162421,1508433421.63959,1025665677.140753,1508433416.617851,1.0000141484337826,1.0000148244218088,1.0000145540265983
1025665687.1841,1508433426.66135,1025665682.162421,1508433421.63959,1.000016118733774,1.000015342146595,1.0000156527814665
1025665692.207782,1508433431.685084,1025665687.1841,1508433426.66135,1.000010369776501,1.0000133531985576,1.0000121598297351
1025665697.229481,1508433436.706831,1025665692.207782,1508433431.685084,1.0000095430122076,1.0000118291240176,1.0000109146792937
1025665702.251371,1508433441.728752,1025665697.229481,1508433436.706831,1.0000061481246547,1.0000095567242724,1.0000081932844251
1025665707.273039,1508433446.750543,1025665702.251371,1508433441.728752,1.000024546108274,1.000015552477873,1.0000191499300335
1025665712.294768,1508433451.772357,1025665707.273039,1508433446.750543,1.0000169019503615,1.0000160922668684,1.0000164161402656
1025665717.316563,1508433456.794179,1025665712.294768,1508433451.772357,1.0000053648743634,1.0000118013098662,1.000009226735665
1025665722.338323,1508433461.816016,1025665717.316563,1508433456.794179,1.0000153351018868,1.0000132148266745,1.0000140629367593
1025665727.353308,1508433466.831125,1025665722.338323,1508433461.816016,1.0000247452128532,1.000017826981146,1.000020594273829
1025665732.374986,1508433471.852839,1025665727.353308,1508433466.831125,1.0000071454194217,1.0000135543564563,1.0000109907816426
1025665737.396625,1508433476.874586,1025665732.374986,1508433471.852839,1.0000215313816565,1.0000167451665365,1.0000186596525844
1025665742.418294,1508433481.896296,1025665737.396625,1508433476.874586,1.0000081662085518,1.0000133135833427,1.0000112546334263
1025665747.439906,1508433486.917993,1025665742.418294,1508433481.896296,1.0000169260832248,1.0000147585832955,1.0000156255832673
1025665752.461575,1508433491.939725,1025665747.439906,1508433486.917993,1.0000125104412927,1.0000138593264944,1.0000133197724137
1025665757.480284,1508433496.95847,1025665752.461575,1508433491.939725,1.0000072209057,1.0000112039581768,1.000009610737186
1025665762.499329,1508433501.9776,1025665757.480284,1508433496.95847,1.00001693474028,1.000013496271018,1.000014871658723
1025665767.521069,1508433506.999413,1025665762.499329,1508433501.9776,1.0000145043102133,1.0000138994866963,1.000014141416103
1025665772.542801,1508433512.021214,1025665767.521069,1508433506.999413,1.000013744695859,1.0000138375703613,1.0000138004205605
1025665777.564532,1508433517.04302,1025665772.542801,1508433512.021214,1.0000149316327067,1.0000142751952996,1.0000145377702623
1025665782.586205,1508433522.064768,1025665777.564532,1508433517.04302,1.0000149555442885,1.0000145473348951,1.0000147106186525
1025665787.607906,1508433527.086536,1025665782.586205,1508433522.064768,1.0000133174818109,1.0000140553936614,1.0000137602289212
1025665792.629546,1508433532.108252,1025665787.607906,1508433527.086536,1.0000151455551949,1.0000144914582747,1.0000147530970427
1025665797.651281,1508433537.130034,1025665792.629546,1508433532.108252,1.0000093530344638,1.0000124360887503,1.0000112028670358
1025665802.672981,1508433542.151804,1025665797.651281,1508433537.130034,1.000013934693953,1.0000130355308312,1.00001339519608
1025665807.694743,1508433547.173575,1025665802.672981,1508433542.151804,1.0000017803903674,1.0000085334746456,1.0000058322409342
1025665812.716416,1508433552.195401,1025665807.694743,1508433547.173575,1.0000304808235976,1.0000173124142264,1.000022579777975
1025665817.738147,1508433557.217222,1025665812.716416,1508433552.195401,1.000017922706985,1.0000175565313298,1.0000177030015918
1025665822.753165,1508433562.232228,1025665817.738147,1508433557.217222,0.9999976229538982,1.0000095831003573,1.0000047990417738
1025665827.770627,1508433567.249834,1025665822.753165,1508433562.232228,1.0000287007298396,1.0000172301521504,1.0000218183832261
1025665832.792419,1508433572.271647,1025665827.770627,1508433567.249834,1.000004177957835,1.0000120092744242,1.0000088767477884
1025665837.814242,1508433577.293507,1025665832.792419,1508433572.271647,1.0000073825956612,1.0000101586029189,1.000009048200016
1025665842.835882,1508433582.315302,1025665837.814242,1508433577.293507,1.0000308371107607,1.0000184300060555,1.0000233928479376
1025665847.855756,1508433587.335176,1025665842.835882,1508433582.315302,1.0,1.0000110580036332,1.0000066348021799
1025665852.877395,1508433592.356956,1025665847.855756,1508433587.335176,1.0000280833787205,1.0000178681536682,1.0000219542436892
1025665857.899127,1508433597.378731,1025665852.877395,1508433592.356956,1.0000085696635665,1.0000141487576275,1.0000119171200033
1025665862.920891,1508433602.400556,1025665857.899127,1508433597.378731,1.0000121541266702,1.0000133509052447,1.0000128721938149
1025665867.942622,1508433607.422377,1025665862.920891,1508433602.400556,1.0000179464460957,1.000015189121585,1.0000162920513893
1025665872.964384,1508433612.444191,1025665867.942622,1508433607.422377,1.000010326264131,1.0000132439786034,1.0000120768928145
1025665877.986058,1508433617.465918,1025665872.964384,1508433612.444191,1.0000105638345818,1.0000121719209947,1.0000115286864295
1025665883.001015,1508433622.480961,1025665877.986058,1508433617.465918,1.000017162481731,1.0000141681452892,1.0000153658798658
1025665888.02293,1508433627.50296,1025665883.001015,1508433622.480961,1.0000166876837322,1.0000151759606664,1.0000157806498926
1025665893.044877,1508433632.524959,1025665888.02293,1508433627.50296,1.0000103733590302,1.0000132549200118,1.0000121022956192
1025665898.059803,1508433637.539989,1025665893.044877,1508433632.524959,1.0000207282223876,1.0000162442409621,1.0000180378335324
1025665903.081565,1508433642.561786,1025665898.059803,1508433637.539989,1.0000069553917021,1.0000125287012582,1.0000102993774358
1025665908.10336,1508433647.583594,1025665903.081565,1508433642.561786,1.0000026112220353,1.000008561709569,1.0000061815145556
1025665913.125,1508433652.605389,1025665908.10336,1508433647.583594,1.0000308845889914,1.000017490861338,1.0000228483523994
1025665918.14667,1508433657.62712,1025665913.125,1508433652.605389,1.0000121306153444,1.0000153467629405,1.000014060303902
1025665923.16828,1508433662.648801,1025665918.14667,1508433657.62712,1.000014148597017,1.0000148674965712,1.0000145799367495
1025665928.189892,1508433667.670493,1025665923.16828,1508433662.648801,1.0000158815563498,1.0000152731204826,1.0000155164948294
1025665933.211593,1508433672.692252,1025665928.189892,1508433667.670493,1.0000115608086309,1.0000137881957418,1.0000128972408975
1025665938.233385,1508433677.714026,1025665933.211593,1508433672.692252,0.9999964392404814,1.0000068486136375,1.000002684864375
1025665943.255118,1508433682.735923,1025665938.233385,1508433677.714026,1.0000326644170316,1.000017174934995,1.0000233707278097
1025665948.274317,1508433687.755196,1025665943.255118,1508433682.735923,1.0000147491598976,1.000016204624956,1.0000156224389327
1025665953.296109,1508433692.77702,1025665948.274317,1508433687.755196,1.0000063618903399,1.0000122675311096,1.0000099052748017
1025665958.317814,1508433697.798832,1025665953.296109,1508433692.77702,1.0000212937104147,1.0000158780028316,1.0000180442858648
1025665963.339545,1508433702.820615,1025665958.317814,1508433697.798832,1.000010373805235,1.000013676323793,1.00001235531637
1025665968.361337,1508433707.842502,1025665963.339545,1508433702.820615,1.0000189432406388,1.0000157830905314,1.0000170471505743
1025665973.383102,1508433712.864318,1025665968.361337,1508433707.842502,1.000010088872522,1.0000135054033277,1.0000121387910055
1025665978.405566,1508433717.886112,1025665973.383102,1508433712.864318,0.9998666317948804,0.9999547559599489,0.9999195062939215
1025665983.426534,1508433722.907899,1025665978.405566,1508433717.886112,1.000163085802767,1.0000380878970763,1.0000880870593525
1025665988.448269,1508433727.929712,1025665983.426534,1508433722.907899,1.0000155725649957,1.000029081764244,1.0000236780845448
1025665993.470061,1508433732.95154,1025665988.448269,1508433727.929712,1.0000071689958308,1.0000203166568788,1.0000150575924596
1025665998.490633,1508433737.972188,1025665993.470061,1508433732.95154,1.000015125032853,1.0000182400072686,1.0000169940175025
1025666003.512428,1508433742.994004,1025665998.490633,1508433737.972188,1.0000041779552564,1.000012615186464,1.000009240293981
1025666008.532786,1508433748.014484,1025666003.512428,1508433742.994004,1.0000242913162818,1.000017285638391,1.0000200879095473
1025666013.554487,1508433753.036273,1025666008.532786,1508433748.014484,1.0000175429929736,1.0000173885802242,1.0000174503453239
1025666018.576188,1508433758.058035,1025666013.554487,1508433753.036273,1.000012130540473,1.0000152853643236,1.0000140234347832
1025666023.597892,1508433763.079804,1025666018.576188,1508433758.058035,1.0000129376525975,1.0000143462796331,1.000013782828819
1025666028.619501,1508433768.101502,1025666023.597892,1508433763.079804,1.0000177332285736,1.0000157010592092,1.000016513926955
1025666033.641141,1508433773.123197,1025666028.619501,1508433768.101502,1.0000109674710034,1.0000138076239269,1.0000126715627573
1025666038.662876,1508433778.144977,1025666033.641141,1508433773.123197,1.0000089732158055,1.0000118738606782,1.0000107136027292
1025666043.684546,1508433783.166729,1025666038.662876,1508433778.144977,1.000016308674641,1.0000136477862633,1.0000147121416143
1025666048.706216,1508433788.188487,1025666043.684546,1508433783.166729,1.0000175431012515,1.0000152059122587,1.0000161407878556
1025666053.72792,1508433793.210262,1025666048.706216,1508433788.188487,1.0000141245932028,1.0000147733846363,1.000014513868063
1025666058.748705,1508433798.231118,1025666053.72792,1508433793.210262,1.0000141271788472,1.0000145149023207,1.0000143598129314
1025666063.770437,1508433803.252907,1025666058.748705,1508433798.231118,1.0000113708278349,1.0000132572725264,1.0000125026946498
1025666068.79211,1508433808.274661,1025666063.770437,1508433803.252907,1.000016142492248,1.000014411360415,1.0000151038131482
1025666073.81375,1508433813.296376,1025666068.79211,1508433808.274661,1.0000149081640477,1.000014610081868,1.00001472931474
1025666078.828829,1508433818.311519,1025666073.81375,1508433813.296376,1.0000127408120443,1.0000138623739385,1.0000134137491807
1025666083.850594,1508433823.333242,1025666078.828829,1508433818.311519,0.9999916440395011,1.0000049750401636,0.9999996426398986
1025666088.872294,1508433828.35513,1025666083.850594,1508433823.333242,1.0000374598766264,1.0000179689747486,1.0000257653354998
1025666093.893995,1508433833.376902,1025666088.872294,1508433828.35513,1.0000141483404115,1.0000164407210137,1.0000155237687727
1025666098.90944,1508433838.392356,1025666093.893995,1508433833.376902,1.0000017588643555,1.0000105679783504,1.0000070443327524
1025666103.932273,1508433843.415297,1025666098.90944,1508433838.392356,1.0000215262633347,1.0000149512923442,1.0000175812807404
1025666108.954005,1508433848.437079,1025666103.932273,1508433843.415297,1.0000099465070205,1.0000129493782146,1.000011748229737
1025666113.975614,1508433853.458799,1025666108.954005,1508433848.437079,1.000022101252747,1.0000166101280277,1.0000188065779154
1025666118.997258,1508433858.480525,1025666113.975614,1508433853.458799,1.0000163562372326,1.0000165085717097,1.0000164476379187
1025666124.018989,1508433863.502273,1025666118.997258,1508433858.480525,1.000003394631919,1.0000112629957933,1.0000081156502436
1025666129.040781,1508433868.524077,1025666124.018989,1508433863.502273,1.0000023501012265,1.0000076978379666,1.0000055587432706
1025666134.062484,1508433873.545928,1025666129.040781,1508433868.524077,1.0000294836109342,1.0000164121471538,1.0000216407326659
1025666139.077411,1508433878.560938,1025666134.062484,1508433873.545928,1.0000165207700429,1.0000164555963094,1.0000164816658028
1025666144.099081,1508433883.582686,1025666139.077411,1508433878.560938,1.0000155490274962,1.000016092968784,1.000015875392269
1025666149.120786,1508433888.604453,1025666144.099081,1508433883.582686,1.00001239165786,1.0000146124444145,1.0000137241297926
1025666154.142426,1508433893.626156,1025666149.120786,1508433888.604453,1.0000125342525752,1.0000137811676788,1.0000132824016374
1025666159.157474,1508433898.641297,1025666154.142426,1508433893.626156,1.0000185408485318,1.0000156850400201,1.000016827363425
1025666164.179116,1508433903.663003,1025666159.157474,1508433898.641297,1.00001272416066,1.0000145006882761,1.0000137900772297
1025666169.20103,1508433908.68499,1025666164.179116,1508433903.663003,1.0000145275456984,1.000014511431245,1.0000145178770263
1025666174.222945,1508433913.706978,1025666169.20103,1508433908.68499,1.00001457501857,1.0000145368661753,1.000014552127133
1025666179.238023,1508433918.722112,1025666174.222945,1508433913.706978,1.0000111244424823,1.000013171896698,1.0000123529150118
1025666184.259881,1508433923.743958,1025666179.238023,1508433918.722112,0.9999976261915391,1.0000069536146343,1.0000032226453963
1025666189.276577,1508433928.760827,1025666184.259881,1508433923.743958,1.0000345031648812,1.000017973434733,1.0000245853267922
1025666194.298309,1508433933.782622,1025666189.276577,1508433928.760827,1.000012557761847,1.0000158071655787,1.000014507404086
1025666199.320039,1508433938.804426,1025666194.298309,1508433933.782622,1.0000146942486496,1.000015361998807,1.000015094898744
1025666204.341739,1508433943.826186,1025666199.320039,1508433938.804426,1.0000119406321266,1.0000139934521348,1.0000131723241314
1025666209.36347,1508433948.847958,1025666204.341739,1508433943.826186,1.0000082135851178,1.000011681505328,1.000010294337244
1025666214.385209,1508433953.869769,1025666209.36347,1508433948.847958,1.0000143381427833,1.0000127441603102,1.0000133817532995
1025666219.40691,1508433958.891562,1025666214.385209,1508433953.869769,1.00001830263543,1.000014967550358,1.0000163015843868
1025666224.428733,1508433963.913344,1025666219.40691,1508433958.891562,0.9999918103038484,1.000005704651754,1.0000001469125919
1025666229.450497,1508433968.935267,1025666224.428733,1508433963.913344,1.0000316671972227,1.0000160896699415,1.000022320680854
1025666234.472228,1508433973.957093,1025666229.450497,1508433968.935267,1.0000189197317444,1.0000172216946628,1.0000179009094954
1025666239.494051,1508433978.978914,1025666234.472228,1508433973.957093,0.9999996201879956,1.000010181091996,1.0000059567303958
1025666244.515848,1508433984.000843,1025666239.494051,1508433978.978914,1.0000262783784233,1.000016620006567,1.0000204833553095
1025666249.53764,1508433989.022679,1025666244.515848,1508433984.000843,1.0000087832068125,1.0000134852866651,1.000011604454724
1025666254.559372,1508433994.044472,1025666249.53764,1508433989.022679,1.0000121304656027,1.00001294335824,1.000012618201185
1025666259.581104,1508433999.066306,1025666254.559372,1508433994.044472,1.000020320309803,1.0000158941388653,1.0000176646072403
1025666264.602746,1508434004.088008,1025666259.581104,1508433999.066306,1.000011917031066,1.0000143032957456,1.0000133487898737
1025666269.624385,1508434009.109721,1025666264.602746,1508434004.088008,1.0000147419933942,1.000014478774805,1.0000145840622408
1025666274.646086,1508434014.131442,1025666269.624385,1508434009.109721,1.000004011861722,1.0000102920095717,1.0000077799504319
1025666279.665349,1508434019.150814,1025666274.646086,1508434014.131442,1.0000217078264315,1.0000148583363155,1.000017598132362
1025666284.687111,1508434024.172641,1025666279.665349,1508434019.150814,1.0000129375033366,1.000014090003124,1.0000136290032091
1025666289.70634,1508434029.191976,1025666284.687111,1508434024.172641,1.0000211379614417,1.000016909186451,1.0000186006964473
1025666294.728135,1508434034.213778,1025666289.70634,1508434029.191976,1.000001376826164,1.0000106962423363,1.0000069684758675
1025666299.749866,1508434039.235624,1025666294.728135,1508434034.213778,1.000022907830782,1.0000155808777147,1.0000185116589417
