Sample#,SampleTime,units,arduino,gps
0,8,ns,0,1
1,1.90 ,s,0,0
2,100.00,ms,0,1
3,899.98,ms,0,0
4,100.00,ms,0,1
5,899.98,ms,0,0
6,100.00,ms,0,1
7,899.98,ms,0,0
8,100.00,ms,0,1
9,899.98,ms,0,0
10,100.00,ms,0,1
11,899.98,ms,0,0
12,100.00,ms,0,1
13,899.98,ms,0,0
14,100.00,ms,0,1
15,899.98,ms,0,0
16,100.00,ms,0,1
17,899.98,ms,0,0
18,100.00,ms,0,1
19,899.98,ms,0,0
20,100.00,ms,0,1
21,899.98,ms,0,0
22,100.00,ms,0,1
23,899.98,ms,0,0
24,100.00,ms,0,1
25,500.01,ms,0,0
26,32,ns,2,0
27,399.97,ms,3,0
28,100.00,ms,3,1
29,17.04,us,3,0
30,40,ns,1,0
31,499.99,ms,0,0
32,32,ns,2,0
33,399.97,ms,3,0
34,100.00,ms,3,1
35,16.86,us,3,0
36,56,ns,1,0
37,499.99,ms,0,0
38,104,ns,2,0
39,399.97,ms,3,0
40,100.00,ms,3,1
41,16.67,us,3,0
42,112,ns,1,0
43,499.99,ms,0,0
44,112,ns,2,0
45,399.97,ms,3,0
46,100.00,ms,3,1
47,16.50,us,3,0
48,80,ns,1,0
49,499.99,ms,0,0
50,120,ns,2,0
51,399.97,ms,3,0
52,100.00,ms,3,1
53,16.32,us,3,0
54,104,ns,1,0
55,499.99,ms,0,0
56,112,ns,2,0
57,399.97,ms,3,0
58,100.00,ms,3,1
59,16.14,us,3,0
60,104,ns,1,0
61,499.99,ms,0,0
62,112,ns,2,0
63,399.97,ms,3,0
64,100.00,ms,3,1
65,16.01,us,3,0
66,88,ns,1,0
67,499.99,ms,0,0
68,128,ns,2,0
69,399.97,ms,3,0
70,100.00,ms,3,1
71,15.82,us,3,0
72,96,ns,1,0
73,499.99,ms,0,0
74,144,ns,2,0
75,399.97,ms,3,0
76,100.00,ms,3,1
77,40.98,us,3,0
78,16,ns,2,0
79,499.96,ms,0,0
80,160,ns,2,0
81,399.97,ms,3,0
82,100.00,ms,3,1
83,2.40,us,3,0
84,8,ns,2,0
85,500.00,ms,0,0
86,8,ns,1,0
87,399.97,ms,3,0
88,100.00,ms,3,1
89,17.43,us,3,0
90,16,ns,1,0
91,499.99,ms,0,0
92,24,ns,2,0
93,399.97,ms,3,0
94,100.00,ms,3,1
95,17.35,us,3,0
96,32,ns,1,0
97,499.99,ms,0,0
98,56,ns,2,0
99,399.97,ms,3,0
100,100.00,ms,3,1
101,17.27,us,3,0
102,56,ns,1,0
103,499.99,ms,0,0
104,64,ns,2,0
105,399.97,ms,3,0
106,100.00,ms,3,1
107,17.21,us,3,0
108,72,ns,1,0
109,499.99,ms,0,0
110,64,ns,2,0
111,399.97,ms,3,0
112,100.00,ms,3,1
113,17.16,us,3,0
114,48,ns,1,0
115,499.99,ms,0,0
116,128,ns,2,0
117,399.97,ms,3,0
118,100.00,ms,3,1
119,17.08,us,3,0
120,80,ns,1,0
121,499.99,ms,0,0
122,152,ns,2,0
123,399.97,ms,3,0
124,100.00,ms,3,1
125,16.99,us,3,0
126,120,ns,1,0
127,499.99,ms,0,0
128,112,ns,2,0
129,399.97,ms,3,0
130,100.00,ms,3,1
131,16.93,us,3,0
132,120,ns,1,0
133,499.99,ms,0,0
134,128,ns,2,0
135,399.97,ms,3,0
136,100.00,ms,3,1
137,40.96,us,3,0
138,16,ns,1,0
139,499.96,ms,0,0
140,152,ns,2,0
141,399.97,ms,3,0
142,100.00,ms,3,1
143,2.39,us,3,0
144,48,ns,1,0
145,500.00,ms,0,0
146,72,ns,2,0
147,399.97,ms,3,0
148,100.00,ms,3,1
149,17.44,us,3,0
150,72,ns,1,0
