Sample#,tsch_arduino,gps_rpi,gps_pure,mote,SampleTime,units
0,10,00,00,00,8,ns
1,00,00,00,00,499.99,ms
2,01,00,00,00,432,ns
3,11,00,00,00,499.99,ms
4,10,00,00,00,376,ns
5,00,00,00,00,499.99,ms
6,01,00,00,00,328,ns
7,11,00,00,00,499.99,ms
8,10,00,00,00,280,ns
9,00,00,00,00,499.99,ms
10,01,00,00,00,224,ns
11,11,00,00,00,499.99,ms
12,10,00,00,00,200,ns
13,00,00,00,00,499.99,ms
14,01,00,00,00,160,ns
15,11,00,00,00,499.99,ms
16,10,00,00,00,120,ns
17,00,00,00,00,499.99,ms
18,01,00,00,00,24,ns
19,11,00,00,00,499.99,ms
20,10,00,00,00,8,ns
21,00,00,00,00,499.99,ms
22,10,00,00,00,72,ns
23,11,00,00,00,499.98,ms
24,01,00,00,00,480,ns
25,00,00,00,00,500.01,ms
26,10,00,00,00,496,ns
27,11,00,00,00,499.99,ms
28,01,00,00,00,504,ns
29,00,00,00,00,499.99,ms
30,10,00,00,00,496,ns
31,11,00,00,00,499.99,ms
32,01,00,00,00,544,ns
33,00,00,00,00,499.99,ms
34,10,00,00,00,512,ns
35,11,00,00,00,499.99,ms
36,01,00,00,00,472,ns
37,00,00,00,00,499.99,ms
38,10,00,00,00,512,ns
39,11,00,00,00,499.99,ms
40,01,00,00,00,536,ns
41,00,00,00,00,499.99,ms
42,10,00,00,00,488,ns
43,11,00,00,00,499.99,ms
44,01,00,00,00,520,ns
45,00,00,00,00,499.99,ms
46,10,00,00,00,528,ns
47,11,00,00,00,499.99,ms
48,01,00,00,00,544,ns
49,00,00,00,00,499.99,ms
50,10,00,00,00,592,ns
51,11,00,00,00,499.99,ms
52,01,00,00,00,560,ns
53,00,00,00,00,499.99,ms
54,10,00,00,00,568,ns
55,11,00,00,00,499.99,ms
56,01,00,00,00,568,ns
57,00,00,00,00,499.99,ms
58,10,00,00,00,568,ns
59,11,00,00,00,499.99,ms
60,01,00,00,00,592,ns
61,00,00,00,00,499.99,ms
62,10,00,00,00,576,ns
63,11,00,00,00,499.98,ms
64,10,00,00,00,2.38,us
65,00,00,00,00,500.01,ms
66,01,00,00,00,2.45,us
67,11,00,00,00,499.99,ms
68,10,00,00,00,2.47,us
