Sample#,jitter_arduino,gps_rpi,gps_pure,mote,SampleTime,units
0,01,00,00,00,8,ns
1,11,00,00,00,499.99,ms
2,01,00,00,00,8,ns
3,00,00,00,00,499.99,ms
4,11,00,00,00,499.99,ms
5,01,00,00,00,32,ns
6,00,00,00,00,499.99,ms
7,10,00,00,00,8,ns
8,11,00,00,00,499.99,ms
9,01,00,00,00,16,ns
10,00,00,00,00,499.99,ms
11,10,00,00,00,24,ns
12,11,00,00,00,499.99,ms
13,01,00,00,00,48,ns
14,00,00,00,00,499.99,ms
15,10,00,00,00,32,ns
16,11,00,00,00,499.99,ms
17,01,00,00,00,40,ns
18,00,00,00,00,499.99,ms
19,10,00,00,00,24,ns
20,11,00,00,00,499.99,ms
21,01,00,00,00,48,ns
22,00,00,00,00,499.99,ms
23,10,00,00,00,48,ns
24,11,00,00,00,499.99,ms
25,01,00,00,00,16,ns
26,00,00,00,00,499.99,ms
27,10,00,00,00,48,ns
28,11,00,00,00,499.99,ms
29,01,00,00,00,40,ns
30,00,00,00,00,499.99,ms
31,10,00,00,00,72,ns
32,11,00,00,00,500.01,ms
33,01,00,00,00,5.03,us
34,00,00,00,00,499.96,ms
35,10,00,00,00,72,ns
36,11,00,00,00,499.97,ms
37,10,00,00,00,8,ns
38,00,00,00,00,500.00,ms
39,01,00,00,00,8,ns
40,11,00,00,00,499.99,ms
41,10,00,00,00,8,ns
42,00,00,00,00,499.99,ms
43,10,00,00,00,32,ns
44,11,00,00,00,499.99,ms
45,00,00,00,00,499.99,ms
46,10,00,00,00,16,ns
47,11,00,00,00,499.99,ms
48,00,00,00,00,499.99,ms
49,10,00,00,00,16,ns
50,11,00,00,00,499.99,ms
51,01,00,00,00,8,ns
52,00,00,00,00,499.99,ms
53,10,00,00,00,16,ns
54,11,00,00,00,499.99,ms
55,01,00,00,00,24,ns
56,00,00,00,00,499.99,ms
57,10,00,00,00,40,ns
58,11,00,00,00,499.99,ms
59,01,00,00,00,40,ns
60,00,00,00,00,499.99,ms
61,10,00,00,00,48,ns
62,11,00,00,00,499.99,ms
63,01,00,00,00,32,ns
