Sample#,SampleTime,units,arduino,gps
0,8,ns,1,0
1,33.26,ms,0,0
2,100.00,ms,0,1
3,899.98,ms,0,0
4,100.00,ms,0,1
5,500.01,ms,0,0
6,120,ns,1,0
7,399.97,ms,3,0
8,100.00,ms,3,1
9,23.34,us,3,0
10,216,ns,2,0
11,499.99,ms,0,0
12,296,ns,1,0
13,399.96,ms,3,0
14,100.00,ms,3,1
15,31.29,us,3,0
16,408,ns,2,0
17,499.99,ms,0,0
18,512,ns,1,0
19,399.95,ms,3,0
20,100.00,ms,3,1
21,39.22,us,3,0
22,648,ns,2,0
23,499.99,ms,0,0
24,712,ns,1,0
25,399.95,ms,3,0
26,100.00,ms,3,1
27,47.16,us,3,0
28,808,ns,2,0
29,499.99,ms,0,0
30,928,ns,1,0
31,399.94,ms,3,0
32,100.00,ms,3,1
33,55.08,us,3,0
34,1.05,us,2,0
35,499.99,ms,0,0
36,1.13,us,1,0
37,399.93,ms,3,0
38,100.00,ms,3,1
39,63.01,us,3,0
40,1.24,us,2,0
41,499.99,ms,0,0
42,1.34,us,1,0
43,399.92,ms,3,0
44,100.00,ms,3,1
45,70.94,us,3,0
46,1.45,us,2,0
47,499.99,ms,0,0
48,1.58,us,1,0
49,399.91,ms,3,0
50,100.00,ms,3,1
51,78.90,us,3,0
52,1.63,us,2,0
53,499.99,ms,0,0
54,1.77,us,1,0
55,399.91,ms,3,0
56,100.00,ms,3,1
57,86.82,us,3,0
58,1.90,us,2,0
59,499.99,ms,0,0
60,1.99,us,1,0
61,399.90,ms,3,0
62,100.00,ms,3,1
63,2.52,us,3,0
64,8,ns,1,0
65,500.01,ms,0,0
66,88,ns,1,0
67,399.97,ms,3,0
68,100.00,ms,3,1
69,23.72,us,3,0
70,168,ns,2,0
71,499.99,ms,0,0
72,312,ns,1,0
73,399.96,ms,3,0
74,100.00,ms,3,1
75,31.62,us,3,0
76,424,ns,2,0
77,499.99,ms,0,0
78,536,ns,1,0
79,399.95,ms,3,0
80,100.00,ms,3,1
81,39.55,us,3,0
82,648,ns,2,0
83,499.99,ms,0,0
84,792,ns,1,0
85,399.95,ms,3,0
86,100.00,ms,3,1
87,47.49,us,3,0
88,904,ns,2,0
89,499.99,ms,0,0
90,984,ns,1,0
91,399.94,ms,3,0
92,100.00,ms,3,1
93,55.42,us,3,0
94,1.10,us,2,0
95,499.99,ms,0,0
96,1.22,us,1,0
97,399.93,ms,3,0
98,100.00,ms,3,1
99,63.34,us,3,0
100,1.34,us,2,0
101,499.99,ms,0,0
102,1.44,us,1,0
103,399.92,ms,3,0
104,100.00,ms,3,1
105,71.29,us,3,0
106,1.57,us,2,0
107,499.99,ms,0,0
108,1.69,us,1,0
109,399.91,ms,3,0
110,100.00,ms,3,1
111,79.21,us,3,0
112,1.79,us,2,0
113,499.99,ms,0,0
114,1.89,us,1,0
115,399.91,ms,3,0
116,100.00,ms,3,1
117,87.15,us,3,0
118,2.02,us,2,0
119,499.99,ms,0,0
120,2.14,us,1,0
121,399.90,ms,3,0
122,100.00,ms,3,1
123,2.53,us,3,0
124,24,ns,1,0
125,500.01,ms,0,0
126,104,ns,1,0
127,399.97,ms,3,0
128,100.00,ms,3,1
129,23.70,us,3,0
130,224,ns,2,0
131,499.99,ms,0,0
132,344,ns,1,0
133,399.96,ms,3,0
134,100.00,ms,3,1
135,31.64,us,3,0
136,464,ns,2,0
137,499.99,ms,0,0
138,560,ns,1,0
139,399.95,ms,3,0
140,100.00,ms,3,1
141,39.60,us,3,0
142,680,ns,2,0
143,499.99,ms,0,0
144,824,ns,1,0
145,399.95,ms,3,0
146,100.00,ms,3,1
147,47.52,us,3,0
148,944,ns,2,0
149,499.99,ms,0,0
150,1.08,us,1,0
151,399.94,ms,3,0
152,100.00,ms,3,1
153,55.45,us,3,0
154,1.20,us,2,0
155,499.99,ms,0,0
156,1.32,us,1,0
157,399.93,ms,3,0
158,100.00,ms,3,1
159,63.42,us,3,0
160,1.40,us,2,0
161,499.99,ms,0,0
162,1.58,us,1,0
163,399.92,ms,3,0
164,100.00,ms,3,1
165,71.32,us,3,0
166,1.68,us,2,0
167,499.99,ms,0,0
168,1.80,us,1,0
169,399.91,ms,3,0
170,100.00,ms,3,1
171,79.26,us,3,0
172,1.94,us,2,0
173,499.99,ms,0,0
174,2.08,us,1,0
175,399.91,ms,3,0
176,100.00,ms,3,1
177,87.20,us,3,0
178,2.18,us,2,0
179,499.99,ms,0,0
180,2.32,us,1,0
181,399.90,ms,3,0
182,100.00,ms,3,1
183,2.52,us,3,0
184,8,ns,1,0
