Sample#,gps_arduino,pps_mirror,gps_rpi,gps_pure,mote,SampleTime,units
0,11,00,11,00,01,8,ns
1,11,00,11,00,11,14.40,ms
2,10,00,11,00,11,342.53,us
3,00,00,11,00,11,400.39,ms
4,00,00,10,00,11,30.21,us
5,00,00,00,00,11,84.82,ms
6,00,00,00,00,10,14.45,us
7,00,00,00,00,00,14.34,ms
8,01,00,00,00,00,375.25,us
9,11,00,00,00,00,300.18,ms
10,11,00,00,01,00,32,ns
11,11,00,00,11,00,100.00,ms
12,11,00,00,10,00,32,ns
13,11,00,00,00,00,121.43,us
14,11,10,00,00,00,22.87,us
15,11,11,00,00,00,2.16,us
16,11,01,00,00,00,23.95,us
17,11,00,00,00,00,66.94,us
18,11,00,01,00,00,24.50,us
19,11,00,11,00,00,84.82,ms
20,11,00,11,00,01,14.05,us
21,11,00,11,00,11,14.30,ms
22,10,00,11,00,11,400.99,us
23,00,00,11,00,11,400.41,ms
24,00,00,10,00,11,41.19,us
25,00,00,00,00,11,84.82,ms
26,00,00,00,00,10,17.87,us
27,00,00,00,00,00,14.26,ms
28,01,00,00,00,00,422.92,us
29,11,00,00,00,00,300.20,ms
30,11,00,00,01,00,32,ns
31,11,00,00,11,00,100.00,ms
32,11,00,00,10,00,32,ns
33,11,00,00,00,00,124.38,us
34,11,10,00,00,00,10.42,us
35,11,11,00,00,00,12.98,us
36,11,01,00,00,00,11.75,us
37,11,00,00,00,00,63.45,us
38,11,00,01,00,00,41.85,us
39,11,00,11,00,00,84.83,ms
40,11,00,11,00,01,16.24,us
41,11,00,11,00,11,14.22,ms
42,10,00,11,00,11,437.93,us
43,00,00,11,00,11,400.45,ms
44,00,00,10,00,11,36.82,us
45,00,00,00,00,11,84.84,ms
46,00,00,00,00,10,14.12,us
47,00,00,00,00,00,14.18,ms
48,01,00,00,00,00,465.77,us
49,11,00,00,00,00,300.23,ms
50,11,00,00,01,00,24,ns
51,11,00,00,11,00,100.00,ms
52,11,00,00,10,00,32,ns
53,11,00,00,00,00,141.74,us
54,11,01,00,00,00,24,ns
55,11,11,00,00,00,38.72,us
56,11,10,00,00,00,46.58,us
57,11,10,01,00,00,107.32,us
58,11,00,01,00,00,523.99,us
59,11,00,11,00,00,84.25,ms
60,11,00,11,00,01,19.11,us
61,11,00,11,00,11,14.88,ms
62,10,00,11,00,11,16.82,us
63,00,00,11,00,11,400.19,ms
64,00,00,10,00,11,18.85,us
65,00,00,00,00,11,84.87,ms
66,00,00,00,00,10,19.38,us
67,00,00,00,00,00,14.85,ms
68,01,00,00,00,00,25.60,us
69,11,00,00,00,00,299.98,ms
70,11,00,00,01,00,32,ns
71,11,00,00,11,00,100.00,ms
72,11,00,00,10,00,24,ns
73,11,00,00,00,00,125.19,us
74,11,10,00,00,00,24.62,us
75,11,00,00,00,00,31.98,us
76,11,01,00,00,00,31.65,us
77,11,00,00,00,00,21.97,us
78,11,00,01,00,00,10.40,us
79,11,00,11,00,00,84.88,ms
80,11,00,11,00,01,13.74,us
81,11,00,11,00,11,14.82,ms
82,10,00,11,00,11,44.31,us
83,00,00,11,00,11,400.22,ms
84,00,00,10,00,11,15.20,us
85,00,00,00,00,11,84.88,ms
86,00,00,00,00,10,19.97,us
87,00,00,00,00,00,14.79,ms
88,01,00,00,00,00,57.08,us
89,11,00,00,00,00,299.99,ms
90,11,00,00,01,00,32,ns
91,11,00,00,11,00,100.00,ms
92,11,00,00,10,00,24,ns
93,11,00,00,00,00,129.04,us
94,11,10,00,00,00,10.43,us
95,11,11,00,00,00,15.74,us
96,11,01,00,00,00,23.44,us
97,11,00,00,00,00,47.42,us
98,11,00,01,00,00,28.92,us
99,11,00,11,00,00,84.88,ms
100,11,00,11,00,01,13.88,us
101,11,00,11,00,11,14.75,ms
102,10,00,11,00,11,80.83,us
103,00,00,11,00,11,400.23,ms
104,00,00,10,00,11,12.97,us
105,00,00,00,00,11,84.90,ms
106,00,00,00,00,10,16.13,us
107,00,00,00,00,00,14.72,ms
108,01,00,00,00,00,93.09,us
109,11,00,00,00,00,300.02,ms
110,11,00,00,01,00,24,ns
111,11,00,00,11,00,100.00,ms
112,11,00,00,10,00,24,ns
113,11,00,00,00,00,136.41,us
114,11,01,00,00,00,9.56,us
115,11,11,00,00,00,30.32,us
116,11,01,00,00,00,51.44,us
117,11,01,01,00,00,30.87,us
118,11,01,11,00,00,49.07,us
119,11,00,11,00,00,84.84,ms
120,11,00,11,00,01,19.11,us
121,11,00,11,00,11,14.69,ms
122,10,00,11,00,11,105.78,us
123,00,00,11,00,11,400.25,ms
124,00,00,10,00,11,25.94,us
125,00,00,00,00,11,84.90,ms
126,00,00,00,00,10,18.78,us
127,00,00,00,00,00,14.66,ms
128,01,00,00,00,00,129.02,us
129,11,00,00,00,00,300.03,ms
130,11,00,00,01,00,32,ns
131,11,00,00,11,00,100.00,ms
132,11,00,00,10,00,32,ns
133,11,00,00,00,00,119.19,us
134,11,10,00,00,00,25.42,us
135,11,00,00,00,00,33.02,us
136,11,01,00,00,00,30.81,us
137,11,00,00,00,00,24.00,us
138,11,00,01,00,00,11.19,us
139,11,00,11,00,00,84.92,ms
140,11,00,11,00,01,25.36,us
141,11,00,11,00,11,14.61,ms
142,10,00,11,00,11,149.58,us
143,00,00,11,00,11,400.27,ms
144,00,00,10,00,11,78.38,us
145,00,00,00,00,11,84.82,ms
146,00,00,00,00,10,45.77,us
147,00,00,00,00,00,14.60,ms
148,01,00,00,00,00,160.22,us
