Sample#,gps_arduino,gps_rpi,gps_pure,mote,SampleTime,units
0,10,11,00,11,8,ns
1,11,11,00,11,88.61,us
2,11,10,00,11,12.38,us
3,11,00,00,11,290.88,ms
4,11,00,00,10,71.46,us
5,11,00,00,00,108.81,ms
6,11,00,01,00,32,ns
7,11,00,11,00,100.00,ms
8,11,00,10,00,24,ns
9,11,00,00,00,126.58,us
10,01,00,00,00,728,ns
11,00,00,00,00,89.10,us
12,00,01,00,00,5.52,us
13,00,11,00,00,290.89,ms
14,00,11,00,01,73.48,us
15,00,11,00,11,208.93,ms
16,10,11,00,11,32,ns
17,11,11,00,11,88.51,us
18,11,10,00,11,5.26,us
19,11,00,00,11,290.90,ms
20,11,00,00,10,76.91,us
21,11,00,00,00,108.79,ms
22,11,00,01,00,24,ns
23,11,00,11,00,100.00,ms
24,11,00,10,00,16,ns
25,11,00,00,00,125.80,us
26,10,00,00,00,1.46,us
27,00,00,00,00,88.55,us
28,00,01,00,00,10.50,us
29,00,11,00,00,290.89,ms
30,00,11,00,01,73.49,us
31,00,11,00,11,208.92,ms
32,01,11,00,11,2.25,us
33,11,11,00,11,86.14,us
34,11,10,00,11,10.95,us
35,11,00,00,11,290.90,ms
36,11,00,00,10,78.34,us
37,11,00,00,00,108.79,ms
38,11,00,01,00,32,ns
39,11,00,11,00,100.00,ms
40,11,00,10,00,32,ns
41,11,00,00,00,124.21,us
42,10,00,00,00,2.94,us
43,00,00,00,00,87.96,us
44,00,01,00,00,7.51,us
45,00,11,00,00,290.91,ms
46,00,11,00,01,84.40,us
47,00,11,00,11,208.89,ms
48,01,11,00,11,3.62,us
49,11,11,00,11,88.46,us
50,11,10,00,11,10.66,us
51,11,00,00,11,290.91,ms
52,11,00,00,10,77.35,us
53,11,00,00,00,108.78,ms
54,11,00,01,00,24,ns
55,11,00,11,00,100.00,ms
56,11,00,10,00,24,ns
57,11,00,00,00,122.67,us
58,10,00,00,00,4.30,us
59,00,00,00,00,88.38,us
60,00,01,00,00,3.07,us
61,00,11,00,00,290.92,ms
62,00,11,00,01,78.43,us
63,00,11,00,11,208.89,ms
64,01,11,00,11,4.98,us
65,11,11,00,11,88.60,us
66,11,10,00,11,3.98,us
67,11,00,00,11,290.93,ms
68,11,00,00,10,90.54,us
69,11,00,00,00,108.75,ms
70,11,00,01,00,24,ns
71,11,00,11,00,100.00,ms
72,11,00,10,00,32,ns
73,11,00,00,00,126.77,us
74,01,00,00,00,2.02,us
75,00,00,00,00,86.48,us
76,00,01,00,00,10.98,us
77,00,11,00,00,290.92,ms
78,00,11,00,01,80.94,us
79,00,11,00,11,208.88,ms
80,10,11,00,11,1.44,us
81,11,11,00,11,85.02,us
82,11,10,00,11,10.22,us
83,11,00,00,11,290.93,ms
84,11,00,00,10,84.78,us
85,11,00,00,00,108.75,ms
86,11,00,01,00,24,ns
87,11,00,11,00,100.00,ms
88,11,00,10,00,24,ns
89,11,00,00,00,126.88,us
90,01,00,00,00,424,ns
91,00,00,00,00,84.59,us
92,00,01,00,00,9.97,us
93,00,11,00,00,290.94,ms
94,00,11,00,01,88.82,us
95,00,11,00,11,208.86,ms
96,10,11,00,11,72,ns
97,11,11,00,11,87.82,us
98,11,10,00,11,13.94,us
99,11,00,00,11,290.94,ms
100,11,00,00,10,89.77,us
101,11,00,00,00,108.74,ms
102,11,00,01,00,24,ns
103,11,00,11,00,100.00,ms
104,11,00,10,00,32,ns
105,11,00,00,00,125.76,us
106,10,00,00,00,1.52,us
107,00,00,00,00,90.02,us
108,00,01,00,00,1.48,us
109,00,11,00,00,291.04,ms
110,00,11,00,10,21.43,us
111,00,11,00,11,208.83,ms
112,01,11,00,11,2.34,us
113,11,11,00,11,88.61,us
114,11,10,00,11,17.56,us
115,11,00,00,11,291.04,ms
116,11,00,00,01,23.62,us
117,11,00,00,00,108.70,ms
118,11,00,01,00,32,ns
119,11,00,11,00,100.00,ms
120,11,00,10,00,24,ns
121,11,00,00,00,124.21,us
122,10,00,00,00,3.04,us
123,00,00,00,00,88.85,us
124,00,01,00,00,12.00,us
125,00,11,00,00,291.04,ms
126,00,11,00,10,28.95,us
127,00,11,00,11,208.81,ms
128,01,11,00,11,3.71,us
129,11,11,00,11,85.98,us
130,11,10,00,11,14.52,us
131,11,00,00,11,291.04,ms
132,11,00,00,01,34.34,us
133,11,00,00,00,108.69,ms
134,11,00,01,00,32,ns
135,11,00,11,00,100.00,ms
136,11,00,10,00,24,ns
137,11,00,00,00,122.65,us
138,10,00,00,00,4.37,us
139,00,00,00,00,84.01,us
140,00,01,00,00,11.81,us
141,00,11,00,00,291.07,ms
142,00,11,00,10,25.42,us
143,00,11,00,11,208.79,ms
144,01,11,00,11,5.02,us
145,11,11,00,11,88.06,us
146,11,10,00,11,11.51,us
147,11,00,00,11,290.51,ms
148,11,00,00,01,580.77,us
149,11,00,00,00,108.67,ms
150,11,00,01,00,24,ns
151,11,00,11,00,100.00,ms
152,11,00,10,00,24,ns
153,11,00,00,00,126.83,us
154,01,00,00,00,1.96,us
155,00,00,00,00,84.83,us
156,00,01,00,00,4.93,us
157,00,11,00,00,290.51,ms
158,00,11,00,10,597.07,us
159,00,11,00,11,208.79,ms
160,10,11,00,11,1.34,us
161,11,11,00,11,84.54,us
162,11,10,00,11,8.02,us
163,11,00,00,11,290.51,ms
164,11,00,00,01,606.01,us
165,11,00,00,00,108.65,ms
166,11,00,01,00,24,ns
167,11,00,11,00,100.00,ms
168,11,00,10,00,16,ns
169,11,00,00,00,126.62,us
170,01,00,00,00,688,ns
171,00,00,00,00,86.18,us
172,00,01,00,00,9.98,us
173,00,11,00,00,290.50,ms
174,00,11,00,10,628.14,us
175,00,11,00,11,208.77,ms
176,11,11,00,11,86.06,us
177,11,10,00,11,6.38,us
178,11,00,00,11,290.49,ms
179,11,00,00,01,635.67,us
180,11,00,00,00,108.64,ms
181,11,00,01,00,32,ns
182,11,00,11,00,100.00,ms
183,11,00,10,00,24,ns
184,11,00,00,00,125.74,us
185,10,00,00,00,1.51,us
186,00,00,00,00,83.47,us
187,00,01,00,00,7.06,us
188,00,11,00,00,290.50,ms
189,00,11,00,10,646.96,us
190,00,11,00,11,208.75,ms
191,01,11,00,11,2.29,us
192,11,11,00,11,87.22,us
193,11,10,00,11,8.85,us
194,11,00,00,11,290.48,ms
195,11,00,00,01,659.50,us
196,11,00,00,00,108.63,ms
197,11,00,01,00,24,ns
198,11,00,11,00,100.00,ms
199,11,00,10,00,24,ns
200,11,00,00,00,124.20,us
201,10,00,00,00,2.98,us
202,00,00,00,00,83.36,us
203,00,01,00,00,6.83,us
204,00,11,00,00,290.48,ms
205,00,11,00,10,673.40,us
206,00,11,00,11,208.74,ms
207,01,11,00,11,3.69,us
208,11,11,00,11,79.81,us
209,11,10,00,11,11.08,us
210,11,00,00,11,290.48,ms
211,11,00,00,01,682.18,us
212,11,00,00,00,108.61,ms
213,11,00,01,00,16,ns
214,11,00,11,00,100.00,ms
215,11,00,10,00,16,ns
216,11,00,00,00,122.65,us
217,10,00,00,00,4.33,us
218,00,00,00,00,82.46,us
219,00,01,00,00,12.33,us
220,00,11,00,00,290.46,ms
221,00,11,00,10,701.54,us
222,00,11,00,11,208.72,ms
223,01,11,00,11,5.02,us
224,11,11,00,11,79.50,us
225,11,10,00,11,12.54,us
226,11,00,00,11,290.46,ms
227,11,00,00,01,718.46,us
228,11,00,00,00,108.59,ms
229,11,00,01,00,24,ns
230,11,00,11,00,100.00,ms
231,11,00,10,00,32,ns
232,11,00,00,00,126.77,us
233,01,00,00,00,2.06,us
234,00,00,00,00,77.96,us
235,00,01,00,00,10.14,us
236,00,11,00,00,290.47,ms
237,00,11,00,10,722.12,us
238,00,11,00,11,208.71,ms
239,10,11,00,11,1.39,us
240,11,11,00,11,79.84,us
241,11,10,00,11,14.33,us
242,11,00,00,11,290.45,ms
243,11,00,00,01,736.89,us
244,11,00,00,00,108.58,ms
245,11,00,01,00,32,ns
246,11,00,11,00,100.00,ms
247,11,00,10,00,32,ns
248,11,00,00,00,126.58,us
249,01,00,00,00,768,ns
250,00,00,00,00,78.10,us
251,00,01,00,00,17.46,us
252,00,11,00,00,290.44,ms
253,00,11,00,10,753.45,us
254,00,11,00,11,208.70,ms
255,10,11,00,11,88,ns
256,11,11,00,11,79.45,us
257,11,10,00,11,11.17,us
