network_time,rpi_time,network_reference,rpi_reference,instant_drift_coefficient,ema_drift_coefficient,drift_coefficient
1025672214.935599,1507632716.739943,1025672209.911364,1507632711.715352,1.0000708483854517,1.0000283393541807,1.0000453429666891
1025672219.958187,1507632721.762819,1025672214.935599,1507632716.739943,1.0000573428763653,1.0000399407630547,1.0000469016083788
1025672224.980561,1507632726.78552,1025672219.958187,1507632721.762819,1.000065106875559,1.0000500072080565,1.0000560470750575
1025672230.002691,1507632731.807918,1025672224.980561,1507632726.78552,1.000053360323656,1.0000513484542963,1.00005215320204
1025672235.024882,1507632736.830469,1025672230.002691,1507632731.807918,1.0000716605263082,1.000059473283101,1.0000643481803837
1025672240.047104,1507632741.852999,1025672235.024882,1507632736.830469,1.000061334764098,1.0000602178754998,1.0000606646309391
1025672245.069508,1507632746.875661,1025672240.047104,1507632741.852999,1.0000513636308181,1.000056676177627,1.0000545511589034
1025672250.091762,1507632751.898272,1025672245.069508,1507632746.875661,1.0000711136936111,1.0000624511840206,1.000065916187857
1025672255.113892,1507632756.920642,1025672250.091762,1507632751.898272,1.000047758439144,1.00005657408607,1.0000530478272998
1025672260.135991,1507632761.943132,1025672255.113892,1507632756.920642,1.0000778571804971,1.0000650873238408,1.0000701952665034
1025672265.15812,1507632766.965584,1025672260.135991,1507632761.943132,1.0000643267369074,1.0000647830890674,1.0000646005482035
1025672270.180249,1507632771.988045,1025672265.15812,1507632766.965584,1.0000661069987231,1.0000653126529297,1.000065630391247
1025672275.202623,1507632777.010508,1025672270.180249,1507632771.988045,1.0000177305271756,1.000046279802628,1.000034860092447
1025672280.224753,1507632782.03317,1025672275.202623,1507632777.010508,1.0001059135961534,1.0000701333200381,1.0000844454304842
1025672285.246761,1507632787.055491,1025672280.224753,1507632782.03317,1.0000623343487234,1.0000670137315122,1.0000651419783966
1025672290.268708,1507632792.077728,1025672285.246761,1507632787.055491,1.0000577537357445,1.000063309733205,1.0000610873342208
1025672295.290746,1507632797.100101,1025672290.268708,1507632792.077728,1.0000667016268645,1.0000646664906687,1.000065480545147
1025672300.312815,1507632802.122472,1025672295.290746,1507632797.100101,1.0000601497791217,1.00006285980605,1.0000617757952788
1025672305.334914,1507632807.144879,1025672300.312815,1507632802.122472,1.0000613362665869,1.0000622503902648,1.0000618847407936
1025672310.356922,1507632812.16723,1025672305.334914,1507632807.144879,1.0000682449536655,1.000064648215625,1.0000660869108413
