Sample#,group1,SampleTime,units
0,1,40,ns
1,3,199.97,ms
2,1,199.98,ms
3,3,199.96,ms
4,1,199.97,ms
5,3,199.97,ms
6,1,199.97,ms
7,3,199.97,ms
8,1,199.97,ms
9,3,199.98,ms
10,1,199.97,ms
11,3,199.97,ms
12,1,199.97,ms
13,3,67.63,ms
14,2,132.35,ms
15,0,199.97,ms
16,2,399.64,us
17,3,199.57,ms
18,1,449.28,us
19,0,199.52,ms
20,2,461.84,us
21,3,199.52,ms
22,1,472.08,us
23,0,199.49,ms
24,2,488.80,us
25,3,199.48,ms
26,1,505.60,us
27,0,199.47,ms
28,2,519.24,us
29,3,199.45,ms
30,1,533.16,us
31,0,199.44,ms
32,2,545.80,us
33,3,199.43,ms
34,1,560.64,us
35,0,199.42,ms
36,2,576.64,us
37,3,199.39,ms
38,1,587.40,us
39,0,199.38,ms
40,2,602.20,us
41,3,199.37,ms
42,1,615.80,us
43,0,199.36,ms
44,2,627.00,us
45,3,199.35,ms
46,1,644.20,us
47,0,199.33,ms
48,2,653.60,us
49,3,199.32,ms
50,1,665.00,us
51,0,199.32,ms
52,2,673.16,us
53,3,199.29,ms
54,1,689.96,us
55,0,199.28,ms
56,2,701.56,us
57,3,199.27,ms
58,1,715.00,us
59,0,199.26,ms
60,2,729.28,us
61,3,199.25,ms
62,1,738.12,us
63,0,199.24,ms
64,2,747.28,us
65,3,199.24,ms
66,1,759.80,us
67,0,199.21,ms
68,2,772.48,us
69,3,199.20,ms
70,1,783.64,us
71,0,199.19,ms
72,2,794.68,us
73,3,199.19,ms
74,1,801.84,us
75,0,199.17,ms
76,2,814.40,us
77,3,199.16,ms
78,1,826.64,us
79,0,199.15,ms
80,2,835.04,us
81,3,199.16,ms
82,1,839.76,us
83,0,199.98,ms
84,1,423.72,us
85,3,199.56,ms
86,2,408.08,us
87,0,199.58,ms
88,1,395.04,us
89,3,199.59,ms
90,2,382.48,us
91,0,199.60,ms
92,1,376.60,us
93,3,199.61,ms
94,2,369.32,us
95,0,199.63,ms
96,1,356.08,us
97,3,199.62,ms
98,2,353.36,us
99,0,199.63,ms
100,1,341.88,us
101,3,199.65,ms
102,2,332.72,us
103,0,199.65,ms
104,1,325.24,us
105,3,199.66,ms
106,2,314.24,us
107,0,199.67,ms
108,1,309.00,us
109,3,199.68,ms
110,2,302.28,us
111,0,199.69,ms
112,1,295.88,us
113,3,199.97,ms
114,1,310.32,us
115,0,199.67,ms
116,2,307.68,us
117,3,199.67,ms
118,1,313.88,us
119,0,199.67,ms
120,2,323.88,us
121,3,199.66,ms
122,1,327.08,us
123,0,199.65,ms
124,2,333.32,us
125,3,199.65,ms
126,1,355.16,us
127,0,199.62,ms
128,2,349.04,us
129,3,199.63,ms
130,1,360.08,us
131,0,199.62,ms
132,2,363.52,us
133,3,199.62,ms
134,1,367.60,us
135,0,199.61,ms
136,2,376.28,us
137,3,199.60,ms
138,1,380.16,us
139,0,199.60,ms
140,2,385.96,us
141,3,199.61,ms
142,1,390.16,us
143,0,199.58,ms
144,2,396.56,us
145,3,199.58,ms
146,1,404.28,us
147,0,199.58,ms
148,2,408.88,us
149,3,199.57,ms
150,1,413.68,us
151,0,199.57,ms
152,2,419.68,us
153,3,199.56,ms
154,1,423.92,us
155,0,199.57,ms
156,2,430.60,us
157,3,199.55,ms
158,1,427.68,us
159,0,199.55,ms
160,2,436.72,us
161,3,199.54,ms
162,1,444.92,us
163,0,199.54,ms
164,2,445.04,us
165,3,199.54,ms
166,1,452.48,us
167,0,199.53,ms
168,2,455.20,us
169,3,199.53,ms
170,1,458.20,us
171,0,199.54,ms
172,2,456.28,us
173,3,199.51,ms
174,1,463.88,us
175,0,199.52,ms
176,2,470.24,us
177,3,199.52,ms
178,1,472.04,us
179,0,199.51,ms
180,2,476.48,us
181,3,199.51,ms
182,1,480.04,us
183,0,199.99,ms
184,1,430.16,us
185,3,199.57,ms
186,2,420.40,us
187,0,199.55,ms
188,1,416.28,us
189,3,199.57,ms
190,2,412.80,us
191,0,199.57,ms
192,1,410.80,us
193,3,199.58,ms
194,2,409.24,us
195,0,199.58,ms
196,1,405.76,us
197,3,199.58,ms
198,2,404.64,us
199,0,199.58,ms
200,1,402.64,us
201,3,199.59,ms
202,2,411.44,us
203,0,199.57,ms
204,1,397.96,us
205,3,199.59,ms
206,2,398.68,us
207,0,199.59,ms
208,1,401.76,us
209,3,199.59,ms
210,2,391.48,us
211,0,199.60,ms
212,1,395.92,us
213,3,199.98,ms
214,1,180.40,us
215,0,199.82,ms
216,2,183.84,us
217,3,199.79,ms
218,1,181.60,us
219,0,199.81,ms
220,2,179.16,us
221,3,199.80,ms
222,1,182.64,us
223,0,199.80,ms
224,2,184.40,us
225,3,199.80,ms
226,1,182.00,us
227,0,199.80,ms
228,2,183.20,us
229,3,199.81,ms
230,1,182.04,us
231,0,199.82,ms
232,2,172.16,us
233,3,199.80,ms
234,1,188.00,us
235,0,199.80,ms
236,2,181.52,us
237,3,199.81,ms
238,1,183.96,us
239,0,199.80,ms
240,2,181.00,us
241,3,199.81,ms
242,1,179.68,us
243,0,199.81,ms
244,2,178.08,us
245,3,199.82,ms
246,1,182.36,us
247,0,199.81,ms
248,2,175.28,us
249,3,199.80,ms
250,1,177.52,us
251,0,199.81,ms
252,2,174.64,us
253,3,199.81,ms
254,1,173.56,us
255,0,199.81,ms
256,2,173.92,us
257,3,199.82,ms
258,1,170.92,us
259,0,199.82,ms
260,2,170.60,us
261,3,199.83,ms
262,1,164.56,us
263,0,199.82,ms
264,2,161.76,us
265,3,199.82,ms
266,1,163.04,us
267,0,199.83,ms
268,2,163.20,us
269,3,199.82,ms
270,1,160.96,us
271,0,199.83,ms
272,2,158.24,us
273,3,199.83,ms
274,1,152.92,us
275,0,199.85,ms
276,2,157.20,us
277,3,199.82,ms
278,1,148.96,us
279,0,199.84,ms
280,2,147.48,us
281,3,199.84,ms
282,1,144.16,us
283,0,199.99,ms
284,1,380.80,us
285,3,199.61,ms
286,2,381.32,us
287,0,199.61,ms
288,1,386.20,us
289,3,199.60,ms
290,2,392.20,us
291,0,199.60,ms
292,1,411.68,us
293,3,199.57,ms
294,2,408.12,us
295,0,199.58,ms
296,1,411.80,us
297,3,199.58,ms
298,2,417.28,us
299,0,199.57,ms
300,1,427.44,us
301,3,199.56,ms
302,2,436.16,us
303,0,199.55,ms
304,1,440.40,us
305,3,199.58,ms
306,2,429.96,us
307,0,199.53,ms
308,1,455.64,us
309,3,199.53,ms
310,2,461.88,us
311,0,199.53,ms
312,1,468.48,us
313,3,199.99,ms
314,1,81.48,us
315,0,199.92,ms
316,2,62.60,us
317,3,199.93,ms
318,1,60.76,us
319,0,199.93,ms
320,2,51.28,us
321,3,199.97,ms
322,1,32.80,us
323,0,199.94,ms
324,2,41.56,us
325,3,199.95,ms
326,1,34.92,us
327,0,199.96,ms
328,2,30.28,us
329,3,199.97,ms
330,1,22.20,us
331,0,199.97,ms
332,2,17.80,us
333,3,199.98,ms
334,1,10.88,us
335,0,199.99,ms
336,1,8.28,us
337,3,199.98,ms
338,1,1.28,us
339,0,199.98,ms
340,1,9.60,us
341,3,199.98,ms
342,2,14.52,us
343,0,199.97,ms
344,1,27.32,us
345,3,199.96,ms
346,2,27.44,us
347,0,199.96,ms
348,1,36.32,us
349,3,199.95,ms
350,2,44.36,us
351,0,199.95,ms
352,1,63.08,us
353,3,199.92,ms
354,2,55.88,us
355,0,199.93,ms
356,1,70.36,us
357,3,199.92,ms
358,2,78.24,us
359,0,199.91,ms
360,1,81.36,us
361,3,199.91,ms
362,2,87.36,us
363,0,199.90,ms
364,1,97.24,us
365,3,199.89,ms
366,2,116.40,us
367,0,199.88,ms
368,1,105.60,us
369,3,199.88,ms
370,2,120.24,us
371,0,199.87,ms
372,1,126.00,us
373,3,199.86,ms
374,2,139.44,us
375,0,199.85,ms
376,1,144.12,us
377,3,199.84,ms
378,2,154.24,us
379,0,199.84,ms
380,1,162.48,us
381,3,199.84,ms
382,2,182.12,us
383,0,199.80,ms
384,1,182.12,us
385,3,199.81,ms
386,2,188.40,us
387,0,199.80,ms
388,1,193.76,us
389,3,199.80,ms
390,2,200.12,us
391,0,199.79,ms
392,1,214.00,us
393,3,199.78,ms
394,2,223.08,us
395,0,199.77,ms
396,1,243.60,us
397,3,199.75,ms
398,2,237.08,us
399,0,199.74,ms
400,1,249.76,us
401,3,199.74,ms
402,2,259.00,us
403,0,199.73,ms
404,1,275.16,us
405,3,199.71,ms
406,2,282.76,us
407,0,199.71,ms
408,1,294.64,us
409,3,199.69,ms
410,2,305.84,us
411,0,199.69,ms
412,1,324.20,us
413,3,199.66,ms
414,2,324.88,us
415,0,200.00,ms
416,2,95.08,us
417,3,199.90,ms
418,1,85.60,us
419,0,199.92,ms
420,2,72.48,us
421,3,199.93,ms
422,1,61.56,us
423,0,199.94,ms
424,2,50.32,us
425,3,199.96,ms
426,1,31.60,us
427,0,199.96,ms
428,2,35.64,us
429,3,199.96,ms
430,1,23.84,us
431,0,199.98,ms
432,2,13.24,us
433,3,199.99,ms
434,2,200,ns
435,0,199.99,ms
436,1,5.56,us
437,3,199.99,ms
438,2,16.40,us
439,0,199.98,ms
440,1,26.40,us
441,3,199.97,ms
442,2,51.00,us
443,0,199.94,ms
444,1,49.52,us
445,3,199.94,ms
446,2,66.88,us
447,0,199.93,ms
448,1,69.20,us
449,3,199.92,ms
450,2,82.44,us
451,0,199.91,ms
452,1,90.12,us
453,3,199.90,ms
454,2,102.52,us
455,0,199.89,ms
456,1,122.20,us
457,3,199.88,ms
458,2,119.00,us
459,0,199.87,ms
460,1,147.12,us
461,3,199.85,ms
462,2,144.44,us
463,0,199.84,ms
464,1,159.60,us
465,3,199.83,ms
466,2,183.20,us
467,0,199.81,ms
468,1,179.56,us
469,3,199.81,ms
470,2,189.56,us
471,0,199.81,ms
472,1,215.84,us
473,3,199.77,ms
474,2,214.52,us
475,0,199.78,ms
476,1,227.32,us
477,3,199.76,ms
478,2,239.20,us
479,0,199.75,ms
480,1,252.04,us
481,3,199.74,ms
482,2,263.20,us
483,0,199.73,ms
484,1,272.84,us
485,3,199.72,ms
486,2,246.88,us
487,0,199.75,ms
488,1,239.24,us
489,3,199.74,ms
490,2,257.20,us
491,0,199.74,ms
492,1,268.04,us
493,3,199.72,ms
494,2,291.40,us
495,0,199.70,ms
496,1,292.72,us
497,3,199.70,ms
498,2,306.68,us
499,0,199.68,ms
500,1,323.00,us
501,3,199.68,ms
502,2,341.76,us
503,0,199.64,ms
504,1,344.68,us
505,3,199.65,ms
506,2,357.56,us
507,0,199.63,ms
508,1,370.64,us
509,3,199.62,ms
510,2,381.96,us
511,0,199.61,ms
512,1,396.00,us
513,3,199.59,ms
514,2,411.92,us
515,0,199.90,ms
516,1,120.48,us
517,3,199.87,ms
518,2,125.04,us
519,0,199.86,ms
520,1,144.84,us
521,3,199.85,ms
522,2,151.08,us
523,0,199.84,ms
524,1,168.64,us
525,3,199.82,ms
526,2,183.76,us
527,0,199.85,ms
528,1,155.36,us
529,3,199.84,ms
530,2,162.96,us
531,0,199.84,ms
532,1,188.00,us
533,3,199.80,ms
534,2,186.92,us
535,0,199.80,ms
536,1,203.40,us
537,3,199.75,ms
538,2,252.32,us
539,0,199.74,ms
540,1,267.84,us
541,3,199.72,ms
542,2,285.88,us
543,0,199.71,ms
544,1,309.16,us
545,3,199.68,ms
546,2,333.60,us
547,0,199.67,ms
548,1,318.48,us
549,3,199.67,ms
550,2,337.88,us
551,0,199.66,ms
552,1,349.32,us
553,3,199.64,ms
554,2,366.84,us
555,0,199.63,ms
556,1,377.92,us
557,3,199.61,ms
558,2,391.48,us
559,0,199.60,ms
560,1,407.92,us
561,3,199.60,ms
562,2,429.44,us
563,0,199.55,ms
564,1,433.80,us
565,3,199.56,ms
566,2,444.80,us
567,0,199.55,ms
568,1,460.24,us
569,3,199.53,ms
570,2,472.08,us
571,0,199.52,ms
572,1,487.48,us
573,3,199.50,ms
574,2,504.68,us
575,0,199.49,ms
576,1,525.28,us
577,3,199.47,ms
578,2,532.60,us
579,0,199.45,ms
580,1,550.72,us
581,3,199.44,ms
582,2,563.60,us
583,0,199.43,ms
584,1,573.88,us
585,3,199.42,ms
586,2,269.40,us
587,0,199.72,ms
588,1,271.96,us
589,3,199.72,ms
590,2,280.60,us
591,0,199.72,ms
592,1,307.00,us
593,3,199.68,ms
594,2,309.60,us
595,0,199.69,ms
596,1,319.08,us
597,3,199.66,ms
598,2,339.88,us
599,0,199.65,ms
600,1,354.36,us
601,3,199.64,ms
602,2,366.40,us
603,0,199.62,ms
604,1,388.92,us
605,3,199.61,ms
606,2,408.28,us
607,0,199.59,ms
608,1,410.88,us
609,3,199.58,ms
610,2,425.24,us
611,0,199.57,ms
612,1,441.16,us
613,3,199.55,ms
614,2,454.60,us
615,0,199.81,ms
616,1,202.04,us
617,3,199.79,ms
618,2,220.52,us
619,0,199.77,ms
620,1,235.72,us
621,3,199.76,ms
622,2,262.72,us
623,0,199.72,ms
624,1,264.60,us
625,3,199.73,ms
626,2,272.88,us
627,0,199.72,ms
628,1,292.64,us
629,3,199.70,ms
630,2,308.68,us
631,0,199.69,ms
632,1,321.08,us
633,3,199.67,ms
634,2,333.72,us
635,0,199.66,ms
636,1,357.64,us
637,3,199.64,ms
638,2,357.36,us
639,0,199.63,ms
640,1,379.24,us
641,3,199.62,ms
642,2,390.56,us
643,0,199.60,ms
644,1,406.84,us
645,3,199.59,ms
646,2,419.80,us
647,0,199.57,ms
648,1,438.60,us
649,3,199.56,ms
650,2,451.52,us
651,0,199.55,ms
652,1,469.24,us
653,3,199.52,ms
654,2,480.00,us
655,0,199.52,ms
656,1,493.92,us
657,3,199.50,ms
658,2,511.40,us
659,0,199.48,ms
660,1,524.12,us
661,3,199.47,ms
662,2,538.40,us
663,0,199.45,ms
664,1,554.72,us
665,3,199.44,ms
666,2,586.76,us
667,0,199.42,ms
668,1,578.24,us
669,3,199.41,ms
670,2,596.52,us
671,0,199.40,ms
672,1,612.72,us
673,3,199.38,ms
674,2,641.12,us
675,0,199.35,ms
676,1,644.36,us
677,3,199.35,ms
678,2,659.44,us
679,0,199.33,ms
680,1,680.12,us
