delay_us,accumulated_us
-199980.0,399950.04000000004
-199970.0,799880.04
-199970.0,1199820.04
-199970.0,1599760.04
-199970.0,1999710.04
-199970.0,2399650.04
132350.0,2599630.04
-399.64,2799999.68
-449.28,3000018.96
-461.84,3200000.8
-472.08,3399992.88
-488.8,3599971.6799999997
-505.6,3799957.28
-519.24,3999946.52
-533.16,4199929.68
-545.8,4399915.4799999995
-560.64,4599906.119999999
-576.64,4799902.759999999
-587.4,4999880.159999999
-602.2,5199862.359999999
-615.8,5399848.159999999
-627.0,5599835.159999999
-644.2,5799829.359999999
-653.6,5999812.959999999
-665.0,6199797.959999999
-673.16,6399791.119999999
-689.96,6599771.079999999
-701.56,6799752.639999999
-715.0,6999737.639999999
-729.28,7199726.919999999
-738.12,7399715.039999999
-747.28,7599702.319999999
-759.8,7799702.119999999
-772.48,7999684.6
-783.64,8199668.239999999
-794.68,8399652.919999998
-801.84,8599644.759999998
-814.4,8799629.159999998
-826.64,8999615.799999999
-835.04,9199600.839999998
-839.76,9399600.599999998
423.72,9600004.319999998
408.08,9799972.399999999
395.04,9999947.439999998
382.48,10199919.919999998
376.6,10399896.519999998
369.32,10599875.839999998
356.08,10799861.919999998
353.36,10999835.279999997
341.88,11199807.159999998
332.72,11399789.879999999
325.24,11599765.12
314.24,11799739.36
309.0,11999718.36
302.28,12199700.639999999
295.88,12399686.52
-310.32,12599966.84
-307.68,12799944.52
-313.88,12999928.4
-323.88,13199922.280000001
-327.08,13399909.360000001
-333.32,13599892.680000002
-355.16,13799897.840000002
-349.04,13999866.88
-360.08,14199856.96
-363.52,14399840.48
-367.6,14599828.08
-376.28,14799814.36
-380.16,14999794.52
-385.96,15199780.48
-390.16,15399780.64
-396.56,15599757.200000001
-404.28,15799741.48
-408.88,15999730.360000001
-413.68,16199714.040000001
-419.68,16399703.72
-423.92,16599687.64
-430.6,16799688.240000002
-427.68,16999665.92
-436.72,17199652.64
-444.92,17399637.560000002
-445.04,17599622.6
-452.48,17799615.080000002
-455.2,17999600.28
-458.2,18199588.48
-456.28,18399584.76
-463.88,18599558.64
-470.24,18799548.88
-472.04,18999540.919999998
-476.48,19199527.4
-480.04,19399517.439999998
430.16,19599937.599999998
420.4,19799927.999999996
416.28,19999894.279999997
412.8,20199877.08
410.8,20399857.88
409.24,20599847.119999997
405.76,20799832.88
404.64,20999817.52
402.64,21199800.16
411.44,21399801.6
397.96,21599769.560000002
398.68,21799758.240000002
401.76,21999750.000000004
391.48,22199731.480000004
395.92,22399727.400000006
-180.4,22599887.800000004
-183.84,22799891.640000004
-181.6,22999863.240000006
-179.16,23199852.400000006
-182.64,23399835.040000007
-184.4,23599819.440000005
-182.0,23799801.440000005
-183.2,23999784.640000004
-182.04,24199776.680000003
-172.16,24399768.840000004
-188.0,24599756.840000004
-181.52,24799738.360000003
-183.96,24999732.320000004
-181.0,25199713.320000004
-179.68,25399703.000000004
-178.08,25599691.080000002
-182.36,25799693.44
-175.28,25999678.720000003
-177.52,26199656.240000002
-174.64,26399640.880000003
-173.56,26599624.44
-173.92,26799608.360000003
-170.92,26999599.280000005
-170.6,27199589.880000006
-164.56,27399584.440000005
-161.76,27599566.200000007
-163.04,27799549.240000006
-163.2,27999542.440000005
-160.96,28199523.400000006
-158.24,28399511.640000004
-152.92,28599494.560000006
-157.2,28799501.760000005
-148.96,28999470.720000006
-147.48,29199458.200000007
-144.16,29399442.360000007
380.8,29599813.160000008
381.32,29799804.480000008
386.2,29999800.680000007
392.2,30199792.880000006
411.68,30399804.560000006
408.12,30599782.680000007
411.8,30799774.480000008
417.28,30999771.76000001
427.44,31199769.20000001
436.16,31399765.36000001
440.4,31599755.76000001
429.96,31799765.72000001
455.64,31999751.36000001
461.88,32199743.24000001
468.48,32399741.72000001
-81.48,32599813.20000001
-62.6,32799795.800000012
-60.76,32999786.560000014
-51.28,33199767.840000015
-32.8,33399770.640000015
-41.56,33599752.20000002
-34.92,33799737.12000002
-30.28,33999727.40000002
-22.2,34199719.600000024
-17.8,34399707.40000002
-10.88,34599698.28000002
8.28,34799696.560000025
-1.28,34999677.840000026
9.6,35199667.44000003
14.52,35399661.96000003
27.32,35599659.28000003
27.44,35799646.72000003
36.32,35999643.04000003
44.36,36199637.40000003
63.08,36399650.48000003
55.88,36599626.36000003
70.36,36799626.72000003
78.24,36999624.96000003
81.36,37199616.32000003
87.36,37399613.68000003
97.24,37599610.92000003
116.4,37799617.32000003
105.6,37999602.92000003
120.24,38199603.16000003
126.0,38399599.16000003
139.44,38599598.60000003
144.12,38799592.72000003
154.24,38999586.96000003
162.48,39199589.44000003
182.12,39399611.560000025
182.12,39599593.68000002
188.4,39799592.08000002
193.76,39999585.84000002
200.12,40199585.960000016
214.0,40399589.960000016
223.08,40599593.040000014
243.6,40799606.640000015
237.08,40999593.72000001
249.76,41199583.48000001
259.0,41399582.48000001
275.16,41599587.64000001
282.76,41799580.400000006
294.64,41999585.04000001
305.84,42199580.88000001
324.2,42399595.08000001
324.88,42599579.960000016
-95.08,42799675.040000014
-85.6,42999660.640000015
-72.48,43199653.12000001
-61.56,43399644.680000015
-50.32,43599635.000000015
-31.6,43799626.60000002
-35.64,43999622.24000002
-23.84,44199606.08000002
-13.24,44399599.32000002
0.2,44599589.520000026
5.56,44799585.08000003
16.4,44999591.48000003
26.4,45199597.880000025
51.0,45399618.880000025
49.52,45599608.40000003
66.88,45799615.28000003
69.2,45999614.480000034
82.44,46199616.92000003
90.12,46399617.04000003
102.52,46599619.56000003
122.2,46799631.760000035
119.0,46999630.760000035
147.12,47199647.88000003
144.44,47399642.32000003
159.6,47599641.92000003
183.2,47799655.120000035
179.56,47999644.68000004
189.56,48199644.24000004
215.84,48399670.08000004
214.52,48599654.600000046
227.32,48799661.92000005
239.2,48999661.12000005
252.04,49199663.16000005
263.2,49399666.36000005
272.84,49599669.200000055
246.88,49799636.08000006
239.24,49999625.32000006
257.2,50199622.52000006
268.04,50399630.56000006
