Sample#,group1,SampleTime,units
0,1,8,ns
1,3,499.82,ms
2,2,272.96,us
3,0,499.85,ms
4,1,144.37,us
5,3,499.69,ms
6,2,305.06,us
7,0,499.78,ms
8,1,209.62,us
9,3,499.66,ms
10,2,322.44,us
11,0,500.00,ms
12,2,592,ns
13,3,499.73,ms
14,2,264.80,us
15,0,499.82,ms
16,1,170.31,us
17,3,499.71,ms
18,2,294.98,us
19,0,499.76,ms
20,1,364.54,us
21,3,499.54,ms
22,2,29.34,us
23,0,500.07,ms
24,2,3.22,us
25,3,499.85,ms
26,2,30.51,us
27,0,500.05,ms
28,2,52.67,us
29,3,499.83,ms
30,2,30.84,us
31,0,500.09,ms
32,2,331.92,us
33,3,499.53,ms
34,1,53.59,us
35,0,500.07,ms
36,2,6.42,us
37,3,499.83,ms
38,1,39.74,us
39,0,500.11,ms
40,1,596.11,us
41,3,499.25,ms
42,2,54.53,us
43,0,500.04,ms
44,1,12.64,us
45,3,499.86,ms
46,2,50.34,us
47,0,500.07,ms
48,2,9.25,us
49,3,499.82,ms
50,2,167.70,us
51,0,499.95,ms
52,2,230.45,us
53,3,499.70,ms
54,1,24.98,us
55,0,500.04,ms
56,2,1.63,us
57,3,499.91,ms
58,1,24.77,us
59,0,500.06,ms
60,1,351.49,us
61,3,499.55,ms
62,2,27.91,us
63,0,499.98,ms
64,2,76.97,us
65,3,499.88,ms
66,2,22.87,us
67,0,499.98,ms
68,2,50.90,us
69,3,499.91,ms
70,2,23.76,us
71,0,500.00,ms
72,2,396.54,us
73,3,499.57,ms
74,1,15.50,us
75,0,499.96,ms
76,2,107.78,us
77,3,499.89,ms
78,1,1.23,us
79,0,500.02,ms
80,1,6.78,us
81,3,499.95,ms
82,2,327.02,us
83,0,499.75,ms
84,1,255.22,us
85,3,499.63,ms
86,2,369.14,us
87,0,499.73,ms
88,1,268.29,us
89,3,499.60,ms
90,2,402.54,us
91,0,499.82,ms
92,1,163.74,us
93,3,499.59,ms
94,2,420.15,us
95,0,499.68,ms
96,1,316.79,us
97,3,499.53,ms
98,2,465.55,us
99,0,499.66,ms
100,1,334.50,us
101,3,499.51,ms
102,2,164.35,us
103,0,499.94,ms
104,1,36.14,us
105,3,499.83,ms
106,2,150.70,us
107,0,499.99,ms
108,2,152,ns
109,3,499.82,ms
110,2,160.61,us
111,0,499.97,ms
112,2,178.94,us
113,3,499.77,ms
114,2,40.91,us
115,0,499.98,ms
116,2,30.89,us
117,3,499.93,ms
118,2,29.74,us
119,0,499.98,ms
120,2,36.55,us
121,3,499.92,ms
122,2,149.06,us
123,0,499.92,ms
124,1,67.42,us
125,3,499.83,ms
126,2,160.13,us
127,0,499.84,ms
128,1,146.30,us
129,3,499.84,ms
130,2,159.40,us
131,0,499.98,ms
132,2,99.31,us
133,3,499.74,ms
134,2,150.16,us
135,0,499.92,ms
136,1,64.99,us
137,3,499.84,ms
138,2,156.08,us
139,0,499.90,ms
140,1,110.35,us
141,3,499.79,ms
142,1,17.50,us
143,0,499.96,ms
144,2,104.98,us
145,3,499.87,ms
146,1,56.62,us
147,0,499.92,ms
148,2,142.64,us
149,3,499.84,ms
150,1,115.90,us
151,0,499.87,ms
152,2,498.09,us
153,3,499.48,ms
154,1,53.36,us
155,0,499.93,ms
156,2,152.73,us
157,3,499.82,ms
158,1,93.10,us
159,0,499.88,ms
160,2,186.51,us
161,3,499.93,ms
162,2,560,ns
163,0,500.01,ms
164,1,147.66,us
165,3,499.80,ms
166,1,41.90,us
167,0,500.01,ms
168,1,69.62,us
169,3,499.85,ms
170,1,57.82,us
171,0,500.01,ms
172,2,198.04,us
173,3,499.71,ms
174,2,2.25,us
175,0,500.02,ms
176,1,81.71,us
177,3,499.87,ms
178,1,18.94,us
179,0,499.96,ms
180,2,78.13,us
181,3,499.94,ms
182,2,43.64,us
183,0,500.00,ms
184,1,75.35,us
185,3,499.86,ms
186,2,24.95,us
187,0,499.99,ms
188,2,4.60,us
189,3,499.97,ms
190,1,1.20,us
191,0,500.08,ms
192,2,74.03,us
193,3,499.78,ms
194,2,42.63,us
195,0,500.02,ms
196,1,14.30,us
