delay_us,accumulated_us
-322.44,322.448
0.592,500323.04
-264.8,1000317.8400000001
-170.31,1500308.1500000001
-294.98,2000313.1300000001
-364.54,2500437.67
-29.34,3000007.01
3.22,3500080.23
-30.51,3999960.7399999998
52.67,4500063.41
-30.84,4999924.25
331.92,5500346.17
53.59,5999929.76
6.42,6500006.18
39.74,6999875.92
-596.11,7500582.03
-54.53,7999886.5600000005
-12.64,8499939.200000001
-50.34,8999849.540000001
9.25,9499928.790000001
-167.7,9999916.49
230.45,10500096.94
24.98,10999821.92
1.63,11499863.55
24.77,11999798.32
-351.49,12500209.81
-27.91,12999787.72
76.97,13499844.690000001
-22.87,13999747.56
50.9,14499778.46
-23.76,14999712.22
396.54,15500108.76
15.5,15999694.26
107.78,16499762.04
1.23,16999653.27
-6.78,17499680.05
-327.02,17999957.07
-255.22,18499962.29
-369.14,18999961.43
-268.29,19499959.72
-402.54,19999962.259999998
-163.74,20499945.999999996
-420.15,20999956.149999995
-316.79,21499952.939999994
-465.55,21999948.489999995
-334.5,22499942.989999995
-164.35,22999617.339999996
-36.14,23499593.479999997
-150.7,23999574.179999996
0.152,24499564.331999995
-160.61,24999544.941999994
178.94,25499693.881999996
-40.91,25999504.791999996
30.89,26499515.681999996
-29.74,26999475.421999995
36.55,27499491.971999995
-149.06,27999561.031999994
-67.42,28499548.451999996
-160.13,28999538.581999995
-146.3,29499524.881999996
-159.4,29999524.281999994
99.31,30499603.591999993
-150.16,30999493.751999993
-64.99,31499478.74199999
-156.08,31999474.82199999
-110.35,32499485.17199999
17.5,32999292.67199999
104.98,33499357.65199999
56.62,33999284.27199999
142.64,34499346.91199999
115.9,34999302.81199999
498.09,35499670.901999995
53.36,35999204.261999995
152.73,36499286.99199999
93.1,36999200.09199999
186.51,37499266.60199999
-0.56,37999197.16199999
-147.66,38499354.82199999
41.9,38999196.72199999
-69.62,39499276.341999985
57.82,39999184.161999986
198.04,40499392.201999985
-2.25,40999104.451999985
-81.71,41499206.161999986
18.94,41999095.10199998
78.13,42499133.231999986
-43.64,42999116.87199999
-75.35,43499192.22199999
-24.95,43999077.17199999
4.6,44499071.77199999
1.2,44999042.971999995
74.03,45499197.002
-42.63,45999019.632
-14.3,46499053.932
-52.2,46999006.132
-410.2,47499386.332
42.9,47998949.232
13.39,48498992.622
49.23,48998911.852
6.22,49498988.072
62.78,49998890.852
171.26,50499092.111999996
106.96,50998889.072
22.18,51498911.252
74.94,51998826.191999994
-296.24,52499182.432
51.5,52998803.932
-167.87,53499021.80199999
69.54,53998781.34199999
-156.59,54498987.932
63.5,54998741.432
85.93,55498967.361999996
80.5,55998727.861999996
-167.9,56498915.761999995
95.82,56998701.581999995
-619.23,57499370.81199999
-166.87,57998827.68199999
-101.01,58498838.69199999
-180.27,58998818.96199999
-174.98,59498843.94199999
-184.27,59998798.21199999
-6.72,60498824.93199999
-195.45,60998790.38199999
-124.2,61498794.581999995
-221.94,61998786.52199999
-673.31,62499259.831999995
-151.16,62998700.99199999
-144.01,63498765.00199999
-166.97,63998671.97199999
-65.09,64498667.06199999
-163.95,64998651.011999995
90.66,65498731.67199999
-142.58,65998624.25199999
-63.02,66498617.27199999
-162.98,66998600.25199999
-329.18,67498859.432
0.10400000000000001,67998409.536
-19.22,68498488.756
22.18,68998380.936
11.61,69498482.546
17.88,69998340.426
180.54,70498600.966
84.24,70998365.206
1.19,71498416.396
97.16,71998343.556
-340.42,72498743.976
-4.24,72998308.21599999
-123.45,73498511.666
-2.25,73998273.916
-176.19,74498490.10599999
9.3,74998239.40599999
71.34,75498540.74599999
25.99,75998236.73599999
-92.66,76498399.39599998
21.13,76998200.52599998
-144.52,77498365.04599997
-237.11,77998412.15599997
-175.43,78498417.58599998
-263.8,78998401.38599998
-179.15,79498400.53599998
-292.1,79998392.63599998
-119.22,80498391.85599998
-324.32,80998386.17599997
-228.42,81498394.59599997
-360.58,81998385.17599997
-299.04,82498454.21599998
-11.73,82998005.94599998
-25.07,83498121.01599997
18.93,83997969.94599998
8.06,84498108.00599998
17.45,84997925.45599999
95.3,85498270.75599998
140.1,85998000.85599998
3.92,86498034.77599998
174.82,86997979.59599997
111.77,87498021.36599997
-88.01,87998029.37599997
-7.9,88498017.27599998
-95.92,88998003.19599998
-82.9,89497996.09599999
-87.58,89997983.67599998
-7.01,90498100.68599999
-100.37,90997961.056
-88.98,91498020.036
-117.5,91997947.536
-374.92,92498242.456
14.71,92997817.166
2.94,93497880.10599999
19.54,93997789.646
53.34,94497872.986
13.0,94997755.986
335.51,95498171.496
7.06,95997708.55600001
3.18,96497811.73600002
5.29,96997677.02600002
-504.61,97498301.63600002
-207.43,97997849.06600003
-170.97,98497920.03600003
-219.32,98997839.35600002
-89.22,99497838.57600002
-240.4,99997828.97600003
90.58,100497909.55600002
-158.71,100997808.26600002
-127.4,101497795.66600002
-163.92,101997789.58600003
-360.54,102498030.12600003
21.25,102997591.37600003
33.01,103497654.38600004
29.67,103997554.05600004
-23.78,104497597.83600004
52.25,104997530.08600004
152.53,105497732.61600004
65.74,105997498.35600004
63.3,106497581.65600003
68.32,106997469.97600003
-320.8,107497810.77600002
5.98,107997446.75600003
74.04,108497510.79600003
-2.0,108997402.79600003
37.78,109497510.57600003
-0.968,109997371.54400003
243.9,110497605.44400004
56.39,110997391.83400004
97.06,111497428.89400004
33.6,111997332.49400003
-266.25,112497668.74400003
31.1,112997309.84400003
-149.56,113497519.40400003
44.42,113997293.82400003
-150.36,114497504.18400003
34.74,114997258.92400002
128.83,115497527.75400002
62.17,115997259.92400002
-160.86,116497450.78400002
76.14,116997236.92400002
-627.34,117497914.26400003
-162.92,117997367.18400003
-92.46,118497379.64400002
-174.85,118997364.49400002
-173.7,119497388.19400002
-176.57,119997344.76400001
-4.58,120497369.34400001
-196.14,120997335.48400001
-129.1,121497334.584
-220.33,121997324.914
-398.75,122497503.664
35.03,122997088.694
1.86,123497140.554
40.02,123997050.574
58.3,124497128.874
54.7,124997023.574
120.26,125497253.834
71.2,125996995.03400001
10.9,126497065.93400002
71.26,126996967.19400002
-288.96,127497346.15400001
19.27,127996935.42400001
-27.92,128497003.34400001
37.42,128996910.76400001
14.18,129496994.94400002
22.82,129996877.76400001
178.54,130497136.30400002
77.3,130996893.60400002
-3.73,131496917.33400002
96.67,131996874.00400002
-347.26,132497261.26400003
17.75,132996839.01400003
38.79,133496897.80400003
24.55,133996812.35400003
-19.83,134496842.18400005
41.87,134996804.05400005
156.3,135496990.35400006
23.36,135996763.71400008
31.77,136496825.4840001
12.12,136996727.6040001
-363.68,137497131.2840001
19.13,137996720.4140001
8.14,138496768.55400008
3.45,138996682.00400007
35.7,139496757.70400006
11.7,139996659.40400004
107.5,140496816.90400004
-23.12,140996630.02400005
12.71,141496702.73400006
-26.66,141996599.39400005
-350.86,142497050.25400007
-24.21,142996574.46400008
-67.28,143496701.74400008
-10.71,143996542.4540001
-118.36,144496760.8140001
-19.86,144996510.6740001
101.85,145496802.5240001
58.25,145996550.7740001
-56.36,146496637.13400012
75.79,146996532.9240001
-116.6,147496689.5240001
-236.53,147996746.0540001
-175.94,148496751.9940001
-258.43,148996750.4240001
-248.0,149496748.4240001
-258.12,149996736.54400012
-96.88,150496743.4240001
-305.72,150996729.1440001
-244.2,151496733.3440001
-337.38,151996730.7240001
-580.13,152497000.8540001
-125.77,152996506.6240001
-69.26,153496495.8840001
-129.9,153996475.7840001
-53.88,154496469.6640001
-130.27,154996449.9340001
186.83,155496626.76400012
-181.09,155996417.85400012
-125.96,156496473.81400013
-203.02,156996396.83400014
-550.62,157496887.45400015
-241.14,157996408.59400013
-157.78,158496426.37400013
-235.32,158996381.69400012
-156.58,159496438.27400014
-246.71,159996354.98400015
74.26,160496429.24400014
-208.75,160996397.99400014
-143.79,161496361.78400013
-138.19,161996309.97400013
-583.0,162496782.97400013
-132.81,162996285.78400013
-81.85,163496287.63400012
-227.53,163996365.16400012
-177.54,164496322.70400012
-123.78,164996246.48400012
-11.14,165496307.6240001
-164.18,165996231.8040001
-88.96,166496220.76400012
-165.79,166996206.5540001
-412.22,167496458.7740001
15.59,167996024.3640001
-167.46,168496231.82400012
20.24,168995982.06400013
-169.35,169496231.41400012
43.98,169995955.3940001
161.65,170496207.04400012
122.14,170995999.1840001
-30.68,171496029.8640001
85.93,171995905.79400012
-398.14,172496363.9340001
