delay_us,accumulated_us
-0.032,0.04
-0.032,100000.072
-0.032,999980.104
-0.032,1099980.136
-0.032,1999960.1679999998
-0.024,2099960.192
-0.04,2999940.232
-0.032,3099940.264
-0.04,3999920.304
-0.04,4099920.344
-0.04,4999900.384000001
-0.048,5099900.432000001
-0.04,5999880.472000001
-0.032,6099880.504000001
-0.032,6999860.536
-0.04,7099860.576
-0.04,7999840.616
-0.04,8099840.656
-0.048,8999820.704
-0.048,9099820.752
-0.048,9999800.8
-0.048,10099800.848000001
-0.04,10999780.888
-0.04,11099780.928
-0.04,11999760.967999998
-0.048,12099761.015999999
-0.032,12999741.047999999
-0.04,13099741.087999998
-0.048,13999721.135999998
-0.048,14099721.183999998
-0.04,14999701.223999998
-0.04,15099701.263999997
-0.048,15999681.311999997
-0.048,16099681.359999998
-0.04,16999661.4
-0.04,17099661.439999998
-0.04,17999641.479999997
-0.04,18099641.519999996
-0.04,18999621.559999995
-0.048,19099621.607999995
-0.048,19999601.655999996
-0.048,20099601.703999996
-0.056,20999581.759999998
-0.048,21099581.808
-0.048,21999561.856
-0.056,22099561.912
-0.056,22999541.968000002
-0.048,23099542.016000003
-0.056,23999522.072000004
-0.056,24099522.128000006
-0.056,24999502.184000008
-0.048,25099502.23200001
-0.064,25999482.296000008
-0.064,26099482.360000007
-0.056,26999462.41600001
-0.056,27099462.47200001
-0.064,27999442.53600001
-0.056,28099442.59200001
-0.048,28999422.64000001
-0.056,29099422.696000014
-0.04,29999402.736000013
-0.048,30099402.784000013
-0.056,30999382.840000015
-0.056,31099382.896000016
-0.048,31999362.944000017
-0.056,32099363.00000002
-0.048,32999343.04800002
-0.056,33099343.10400002
-0.048,33999323.15200002
-0.04,34099323.19200002
-0.048,34999303.24000002
-0.048,35099303.28800002
-0.048,35999283.33600002
-0.04,36099283.37600002
-0.048,36999263.42400002
-0.048,37099263.47200002
-0.04,37999243.51200002
-0.04,38099243.552000016
-0.04,38999223.592000015
-0.048,39099223.640000015
-0.048,39999203.688000016
-0.04,40099203.728000015
-0.048,40999183.776000015
-0.048,41099183.824000016
-0.04,41999163.864000015
-0.04,42099163.904000014
-0.04,42999143.94400001
-0.04,43099143.98400001
-0.048,43999124.03200001
-0.048,44099124.08000001
-0.048,44999104.12800001
-0.048,45099104.176000014
-0.048,45999084.224000014
-0.04,46099084.26400001
-0.04,46999064.30400001
-0.04,47099064.34400001
-0.048,47999044.39200001
-0.048,48099044.44000001
-0.04,48999024.48000001
-0.04,49099024.52000001
-0.056,49999004.57600001
-0.056,50099004.632000014
-0.048,50998984.680000015
-0.048,51098984.728000015
-0.048,51998964.776000015
-0.04,52098964.816000015
-0.056,52998944.872000016
-0.048,53098944.92000002
-0.056,53998924.97600002
-0.056,54098925.03200002
-0.056,54998905.08800002
-0.056,55098905.14400002
-0.064,55998885.20800003
-0.056,56098885.26400003
-0.07200000000000001,56998865.336000025
-0.07200000000000001,57098865.40800002
-0.064,57998845.472000025
-0.064,58098845.53600003
-0.056,58998825.59200003
-0.056,59098825.64800003
-0.07200000000000001,59998805.72000003
-0.064,60098805.78400003
-0.07200000000000001,60998785.85600003
-0.07200000000000001,61098785.928000025
-0.056,61998765.98400003
-0.064,62098766.04800003
-0.08,62998746.12800003
-0.07200000000000001,63098746.200000025
-0.064,63998726.26400003
-0.064,64098726.32800003
-0.07200000000000001,64998706.40000003
-0.07200000000000001,65098706.472000025
-0.064,65998686.53600003
-0.056,66098686.59200003
-0.08,66998666.67200003
-0.07200000000000001,67098666.744000025
-0.064,67998646.80800001
-0.064,68098646.87200001
-0.07200000000000001,68998626.944
-0.07200000000000001,69098627.016
-0.07200000000000001,69998607.088
-0.07200000000000001,70098607.16
-0.07200000000000001,70998587.232
-0.08,71098587.31199999
-0.07200000000000001,71998567.38399999
-0.08,72098567.46399999
-0.08,72998547.54399998
-0.08,73098547.62399998
-0.088,73998527.71199998
-0.08,74098527.79199998
-0.08,74998507.87199998
-0.07200000000000001,75098507.94399998
-0.088,75998488.03199998
-0.088,76098488.11999997
-0.08,76998468.19999997
-0.08,77098468.27999997
-0.088,77998448.36799997
-0.088,78098448.45599997
-0.08,78998428.53599997
-0.088,79098428.62399997
-0.08,79998408.70399997
-0.088,80098408.79199997
-0.07200000000000001,80998388.86399996
-0.08,81098388.94399996
-0.088,81998369.03199996
-0.088,82098369.11999996
-0.08,82998349.19999996
-0.08,83098349.27999996
-0.088,83998329.36799996
-0.096,84098329.46399996
-0.088,84998309.55199996
-0.08,85098309.63199995
-0.088,85998289.71999995
-0.088,86098289.80799995
-0.08,86998269.88799995
-0.088,87098269.97599995
-0.088,87998250.06399995
-0.088,88098250.15199995
-0.08,88998230.23199995
-0.08,89098230.31199995
-0.096,89998210.40799995
-0.088,90098210.49599995
-0.08,90998190.57599995
-0.088,91098190.66399994
-0.08,91998170.74399994
-0.08,92098170.82399994
-0.08,92998150.90399994
-0.088,93098150.99199994
-0.088,93998131.07999994
-0.088,94098131.16799994
-0.088,94998111.25599994
-0.088,95098111.34399994
-0.08,95998091.42399994
-0.08,96098091.50399993
-0.08,96998071.58399993
-0.08,97098071.66399993
-0.08,97998051.74399993
-0.08,98098051.82399993
-0.08,98998031.90399992
-0.08,99098031.98399992
-0.088,99998012.07199992
-0.088,100098012.15999992
-0.088,100997992.24799992
-0.088,101097992.33599992
-0.08,101997972.41599992
-0.08,102097972.49599992
-0.07200000000000001,102997952.56799991
-0.07200000000000001,103097952.63999991
-0.08,103997932.71999991
-0.08,104097932.79999991
-0.08,104997912.8799999
-0.08,105097912.9599999
-0.08,105997893.0399999
-0.08,106097893.1199999
-0.08,106997873.1999999
-0.08,107097873.2799999
-0.08,107997853.3599999
-0.088,108097853.4479999
-0.08,108997833.5279999
-0.088,109097833.61599989
-0.088,109997813.70399989
-0.08,110097813.78399989
-0.08,110997793.86399989
