delay_us,accumulated_us
47.93,47.938
54.58,500032.51800000004
54.2,1000016.718
68.55,1500015.268
70.97,1999996.238
72.36,2499978.5979999998
81.06,2999979.658
89.66,3499959.318
97.36,3999946.678
98.5,4499935.177999999
101.45,4999916.628
110.76,5499897.387999999
116.16,5999893.5479999995
125.32,6499888.868
7.41,6999916.278
19.7,7499915.978
8.77,7999894.748
30.19,8499884.938
23.0,8999877.938
38.29,9499866.227999998
38.1,9999854.327999998
49.58,10499853.907999998
50.5,10999834.407999998
63.25,11499827.657999998
64.98,11999822.637999998
71.61,12499804.247999998
65.1,12999789.347999997
82.15,13499791.497999998
89.66,13999771.157999998
97.82,14499758.977999998
103.19,14999752.167999998
109.41,15499741.577999998
118.34,15999729.917999998
127.19,16499727.107999997
9.32,16999676.427999996
24.42,17499660.847999997
31.69,17999662.538
27.38,18499639.917999998
34.0,18999633.917999998
48.23,19499632.148
47.28,19999619.428
58.38,20499607.808
61.66,20999609.468
71.88,21499591.347999997
39.55,21999580.898
88.7,22499579.597999997
94.6,22999564.198
94.49,23499548.687999997
102.46,23999541.148
110.86,24499522.007999998
113.87,24999505.878
124.5,25499500.378
126.39,25999486.768
134.14,26499470.908
22.06,26999432.968
21.37,27499414.338
28.02,27999402.358
39.74,28499402.097999997
40.56,28999382.657999996
43.1,29499365.757999998
55.07,29999360.827999998
79.66,30499360.487999998
56.48,30999326.968
69.8,31499326.768
75.3,31999312.068
82.11,32499304.178
83.73,32999287.908
92.1,33499280.008
95.23,33999265.238
103.03,34499258.268
104.85,34999243.118
117.74,35499230.858
114.82,35999215.678
119.21,36499204.888000004
-8.41,36999193.298
-2.46,37499185.758
-18.47,37999184.228
9.12,38499153.348
2.14,38999145.488
20.5,39499135.988
20.05,39999126.037999995
23.56,40499109.598
30.02,40999099.618
44.22,41499093.838
41.94,41999075.778
49.22,42499064.997999996
47.01,42999042.007999994
55.07,43499037.077999994
66.49,43999023.567999996
68.07,44499011.638
71.61,44999003.247999996
