Sample#,group1,SampleTime,units
0,1,8,ns
1,0,499.98,ms
2,2,18.78,us
3,3,499.97,ms
4,1,8.96,us
5,0,499.99,ms
6,2,3.82,us
7,3,499.98,ms
8,1,16.13,us
9,0,499.97,ms
10,2,18.22,us
11,3,499.97,ms
12,1,13.70,us
13,0,499.97,ms
14,2,29.02,us
15,3,499.98,ms
16,1,9.06,us
17,0,499.97,ms
18,2,21.39,us
19,3,499.98,ms
20,2,13.41,us
21,0,499.97,ms
22,1,11.88,us
23,3,499.97,ms
24,2,18.26,us
25,0,499.98,ms
26,1,6.96,us
27,3,499.97,ms
28,2,14.01,us
29,0,499.98,ms
30,1,21.81,us
31,3,499.97,ms
32,2,11.94,us
33,0,499.98,ms
34,1,13.11,us
35,3,499.97,ms
36,2,19.46,us
37,0,499.98,ms
38,1,10.52,us
39,3,499.99,ms
40,1,1.56,us
41,0,499.99,ms
42,1,6.10,us
43,3,499.98,ms
44,1,3.38,us
45,0,499.98,ms
46,2,6.15,us
47,3,499.99,ms
48,2,1.98,us
49,0,499.98,ms
50,2,8.37,us
51,3,499.98,ms
52,1,3.53,us
53,0,499.99,ms
54,1,2.14,us
55,3,499.98,ms
56,1,6.06,us
57,0,499.98,ms
58,2,9.89,us
59,3,499.96,ms
60,1,5.67,us
61,0,499.98,ms
62,2,8.96,us
63,3,499.98,ms
64,1,8.13,us
65,0,499.99,ms
66,2,12.58,us
67,3,499.97,ms
68,1,14.94,us
69,0,499.97,ms
70,2,14.89,us
71,3,499.98,ms
72,1,6.92,us
73,0,499.97,ms
74,2,17.74,us
75,3,499.97,ms
76,1,11.00,us
77,0,499.98,ms
78,2,12.86,us
79,3,499.98,ms
80,2,41.57,us
81,0,499.94,ms
82,1,41.29,us
83,3,499.94,ms
84,2,50.54,us
85,0,499.98,ms
86,1,4.40,us
87,3,499.94,ms
88,2,50.74,us
89,0,499.94,ms
90,1,57.59,us
91,3,499.93,ms
92,2,53.71,us
93,0,499.93,ms
94,1,55.15,us
95,3,499.93,ms
96,2,61.65,us
97,0,499.93,ms
98,1,55.93,us
99,3,499.95,ms
100,1,16.93,us
101,0,499.97,ms
102,2,13.96,us
103,3,499.97,ms
104,1,24.90,us
105,0,499.96,ms
106,2,26.54,us
107,3,499.96,ms
108,1,25.50,us
109,0,499.96,ms
110,2,30.85,us
111,3,499.96,ms
112,1,26.50,us
113,0,499.97,ms
114,2,18.41,us
115,3,499.95,ms
116,1,37.87,us
117,0,499.95,ms
118,2,38.19,us
119,3,499.96,ms
120,2,4.53,us
121,0,499.98,ms
122,2,2.02,us
123,3,499.98,ms
124,2,4.04,us
125,0,499.98,ms
126,1,11.44,us
127,3,499.98,ms
128,2,4.66,us
129,0,499.98,ms
130,1,6.38,us
131,3,499.98,ms
132,2,13.10,us
133,0,499.98,ms
134,1,136,ns
135,3,499.98,ms
136,2,7.51,us
137,0,499.98,ms
138,1,18.82,us
139,3,499.97,ms
140,2,26.74,us
141,0,499.96,ms
142,1,32.43,us
143,3,499.96,ms
144,2,35.50,us
145,0,499.96,ms
146,1,21.50,us
147,3,499.96,ms
148,2,33.06,us
149,0,499.95,ms
150,1,43.81,us
151,3,499.95,ms
152,2,36.14,us
153,0,499.95,ms
154,1,35.39,us
155,3,499.95,ms
156,2,46.26,us
157,0,499.95,ms
158,1,38.07,us
159,3,499.98,ms
160,1,7.97,us
161,0,499.99,ms
162,2,1.11,us
163,3,499.98,ms
164,1,12.97,us
165,0,499.98,ms
166,2,11.50,us
167,3,499.98,ms
168,1,7.55,us
169,0,499.98,ms
170,2,18.69,us
171,3,499.97,ms
172,1,20.08,us
173,0,499.98,ms
174,2,11.42,us
175,3,499.97,ms
176,1,21.72,us
177,0,499.97,ms
178,2,13.64,us
179,3,499.96,ms
180,2,3.66,us
181,0,499.99,ms
182,2,10.68,us
183,3,499.97,ms
184,2,5.34,us
185,0,499.98,ms
186,1,13.98,us
187,3,499.98,ms
188,2,3.32,us
189,0,499.98,ms
190,1,10.01,us
191,3,499.98,ms
192,2,8.62,us
193,0,499.99,ms
194,1,5.09,us
195,3,499.97,ms
196,2,8.12,us
197,0,500.00,ms
198,2,9.86,us
199,3,500.00,ms
200,2,8.06,us
201,0,499.99,ms
202,1,1.33,us
203,3,499.99,ms
204,2,6.23,us
205,0,499.98,ms
206,2,3.95,us
207,3,499.98,ms
208,2,5.14,us
209,0,499.99,ms
210,1,12.87,us
211,3,499.98,ms
212,1,1.10,us
213,0,499.99,ms
214,1,2.24,us
215,3,499.98,ms
216,2,13.22,us
217,0,499.98,ms
218,1,3.18,us
