Sample#,group1,SampleTime,units
0,2,8,ns
1,0,499.98,ms
2,1,6.34,us
3,3,499.99,ms
4,1,4.04,us
5,0,499.98,ms
6,1,5.93,us
7,3,499.98,ms
8,2,4.44,us
9,0,499.99,ms
10,2,4.40,us
11,3,499.95,ms
12,1,23.18,us
13,0,499.96,ms
14,2,28.10,us
15,3,499.96,ms
16,1,33.55,us
17,0,499.96,ms
18,2,26.26,us
19,3,499.96,ms
20,1,28.19,us
21,0,499.96,ms
22,2,36.42,us
23,3,499.95,ms
24,1,29.58,us
25,0,499.96,ms
26,2,32.35,us
27,3,499.96,ms
28,1,30.25,us
29,0,499.96,ms
30,2,31.54,us
31,3,499.95,ms
32,1,32.99,us
33,0,499.96,ms
34,2,42.10,us
35,3,499.95,ms
36,1,31.87,us
37,0,499.95,ms
38,2,35.47,us
39,3,499.95,ms
40,1,46.34,us
41,0,499.95,ms
42,2,35.74,us
43,3,499.95,ms
44,1,35.85,us
45,0,499.95,ms
46,2,47.56,us
47,3,499.95,ms
48,1,35.62,us
49,0,499.95,ms
50,2,40.00,us
51,3,499.97,ms
52,2,3.07,us
53,0,499.98,ms
54,1,5.44,us
55,3,499.98,ms
56,2,7.27,us
57,0,499.99,ms
58,1,728,ns
59,3,499.98,ms
60,2,12.45,us
61,0,499.97,ms
62,1,12.24,us
63,3,499.98,ms
64,2,4.18,us
65,0,499.98,ms
66,1,14.90,us
67,3,499.97,ms
68,2,13.89,us
69,0,499.98,ms
70,1,6.49,us
71,3,499.97,ms
72,2,15.38,us
73,0,499.97,ms
74,1,16.30,us
75,3,499.98,ms
76,2,10.79,us
77,0,499.98,ms
78,1,14.59,us
79,3,499.97,ms
80,2,14.79,us
81,0,499.98,ms
82,1,8.71,us
83,3,499.98,ms
84,2,18.78,us
85,0,499.97,ms
86,1,18.14,us
87,3,499.98,ms
88,2,11.94,us
89,0,499.97,ms
90,1,17.30,us
91,3,499.99,ms
92,2,11.03,us
93,0,499.98,ms
94,1,13.45,us
95,3,499.97,ms
96,2,12.59,us
97,0,499.97,ms
98,1,15.88,us
99,3,499.98,ms
100,2,37.14,us
101,0,499.95,ms
102,1,13.95,us
103,3,499.98,ms
104,2,10.68,us
105,0,499.98,ms
106,1,5.74,us
107,3,499.98,ms
108,2,13.07,us
109,0,499.98,ms
110,1,7.89,us
111,3,499.98,ms
112,2,7.08,us
113,0,499.98,ms
114,1,14.18,us
115,3,499.97,ms
116,2,10.45,us
117,0,499.98,ms
118,1,10.08,us
119,3,499.97,ms
120,2,14.46,us
121,0,499.97,ms
122,1,14.23,us
123,3,499.98,ms
124,2,10.13,us
125,0,499.97,ms
126,1,16.92,us
127,3,499.97,ms
128,2,17.41,us
129,0,499.98,ms
130,1,7.11,us
131,3,499.96,ms
132,1,32.99,us
133,0,499.95,ms
134,2,42.63,us
135,3,499.94,ms
136,1,49.63,us
137,0,499.94,ms
138,2,42.68,us
139,3,499.94,ms
140,1,51.10,us
141,0,499.94,ms
142,2,54.10,us
143,3,499.94,ms
144,1,40.86,us
145,0,499.94,ms
146,2,58.71,us
147,3,499.93,ms
148,1,57.29,us
149,0,499.93,ms
150,2,49.34,us
151,3,499.94,ms
152,1,51.85,us
153,0,499.94,ms
154,2,59.41,us
155,3,499.93,ms
156,1,53.08,us
157,0,499.93,ms
158,2,53.62,us
159,3,499.93,ms
160,1,59.31,us
161,0,499.93,ms
162,2,55.82,us
163,3,499.93,ms
164,1,55.90,us
165,0,499.93,ms
166,2,64.20,us
167,3,499.93,ms
168,1,53.73,us
169,0,499.93,ms
170,2,58.32,us
171,3,499.94,ms
172,2,14.90,us
173,0,499.98,ms
174,1,13.44,us
175,3,499.97,ms
176,2,12.83,us
177,0,499.98,ms
178,1,9.37,us
179,3,499.97,ms
180,2,15.15,us
181,0,499.97,ms
182,1,16.50,us
183,3,499.97,ms
184,2,11.60,us
185,0,499.97,ms
186,1,21.62,us
187,3,499.96,ms
188,2,19.96,us
189,0,499.98,ms
190,1,12.13,us
191,3,499.97,ms
192,2,21.94,us
193,0,499.96,ms
194,1,24.68,us
195,3,499.97,ms
196,2,14.70,us
197,0,499.97,ms
198,1,24.25,us
199,3,499.96,ms
200,2,24.72,us
201,0,499.97,ms
202,1,19.92,us
203,3,499.97,ms
204,2,24.08,us
205,0,499.96,ms
206,1,27.37,us
207,3,499.97,ms
208,2,23.22,us
209,0,499.97,ms
210,1,26.34,us
211,3,500.00,ms
212,1,5.54,us
213,0,499.98,ms
214,2,10.98,us
215,3,499.98,ms
216,1,9.22,us
217,0,499.98,ms
218,2,9.07,us
219,3,499.98,ms
220,1,13.22,us
221,0,499.98,ms
222,2,8.99,us
223,3,499.98,ms
224,1,7.71,us
225,0,499.98,ms
226,2,14.47,us
227,3,499.98,ms
228,1,7.00,us
229,0,499.98,ms
230,2,6.49,us
231,3,499.98,ms
232,1,13.74,us
233,0,499.98,ms
234,2,5.48,us
235,3,499.98,ms
236,1,1.50,us
237,0,499.99,ms
238,2,14.80,us
239,3,499.98,ms
240,1,6.98,us
241,0,499.98,ms
242,2,8.49,us
243,3,499.98,ms
244,1,11.19,us
245,0,499.98,ms
246,2,6.32,us
247,3,499.98,ms
248,1,9.31,us
249,0,499.98,ms
250,2,14.98,us
251,3,499.94,ms
252,1,36.31,us
253,0,499.95,ms
254,2,39.44,us
255,3,499.95,ms
256,1,43.96,us
257,0,499.95,ms
