Sample#,group1,SampleTime,units
0,2,8,ns
1,3,499.97,ms
2,1,17.71,us
3,0,499.97,ms
4,2,18.74,us
5,3,499.97,ms
6,1,25.42,us
7,0,499.97,ms
8,2,18.37,us
9,3,499.96,ms
10,1,22.22,us
11,0,499.96,ms
12,2,28.58,us
13,3,499.96,ms
14,1,23.59,us
15,0,499.96,ms
16,2,25.66,us
17,3,499.96,ms
18,2,2.19,us
19,0,499.99,ms
20,2,504,ns
21,3,499.98,ms
22,2,952,ns
23,0,499.99,ms
24,2,1.82,us
25,3,499.98,ms
26,2,6.26,us
27,0,499.98,ms
28,1,808,ns
29,3,499.99,ms
30,2,1.09,us
31,0,499.98,ms
32,1,14.58,us
33,3,499.97,ms
34,2,12.40,us
35,0,499.99,ms
36,2,5.46,us
37,3,499.98,ms
38,2,8.28,us
39,0,499.98,ms
40,1,7.06,us
41,3,499.98,ms
42,2,7.10,us
43,0,499.98,ms
44,1,10.53,us
45,3,499.98,ms
46,2,6.26,us
47,0,499.98,ms
48,1,4.71,us
49,3,499.98,ms
50,2,15.90,us
51,0,499.97,ms
52,1,7.77,us
53,3,499.98,ms
54,2,3.74,us
55,0,499.98,ms
56,1,9.93,us
57,3,499.99,ms
58,1,3.78,us
59,0,499.99,ms
60,2,6.85,us
61,3,499.98,ms
62,1,1.05,us
63,0,499.99,ms
64,2,3.90,us
65,3,499.98,ms
66,1,8.02,us
67,0,499.98,ms
68,2,3.90,us
69,3,499.98,ms
70,1,3.90,us
71,0,499.98,ms
72,2,11.17,us
73,3,499.98,ms
74,1,2.13,us
75,0,499.98,ms
76,2,7.34,us
77,3,499.98,ms
78,1,9.65,us
79,0,499.98,ms
80,2,6.73,us
81,3,499.98,ms
82,1,4.74,us
83,0,499.98,ms
84,2,13.61,us
85,3,499.98,ms
86,1,3.39,us
87,0,499.99,ms
88,2,4.26,us
89,3,499.98,ms
90,1,12.85,us
91,0,499.98,ms
92,2,4.83,us
93,3,499.98,ms
94,1,3.97,us
95,0,499.99,ms
96,2,6.37,us
97,3,499.98,ms
98,2,2.93,us
99,0,499.98,ms
100,1,2.83,us
101,3,499.99,ms
102,1,2.45,us
103,0,499.98,ms
104,1,3.19,us
105,3,499.98,ms
106,2,6.78,us
107,0,499.99,ms
108,2,1.86,us
109,3,499.98,ms
110,2,4.50,us
111,0,499.98,ms
112,1,4.72,us
