Sample#,group1,SampleTime,units
0,1,40,ns
1,0,500.15,ms
2,1,280.33,ms
3,3,219.95,ms
4,2,500.27,ms
5,3,497.76,ms
6,1,2.51,ms
7,0,497.33,ms
8,2,2.94,ms
9,3,496.99,ms
10,1,3.28,ms
11,0,496.63,ms
12,2,633.04,us
13,3,499.29,ms
14,1,750.16,us
15,0,499.18,ms
16,2,898.52,us
17,3,499.87,ms
18,1,199.40,us
19,0,499.78,ms
20,2,298.48,us
21,3,499.69,ms
22,1,393.28,us
23,0,499.57,ms
24,2,495.76,us
25,3,499.49,ms
26,1,587.56,us
27,0,499.40,ms
28,2,681.88,us
29,3,499.28,ms
30,1,777.96,us
31,0,499.20,ms
32,2,63.08,us
33,3,499.92,ms
34,1,116.84,us
35,0,499.85,ms
36,2,185.32,us
37,3,499.92,ms
38,1,120.92,us
39,0,499.86,ms
40,2,186.16,us
41,3,499.78,ms
42,1,252.96,us
43,0,499.72,ms
44,2,315.36,us
45,3,499.67,ms
46,1,369.08,us
47,0,499.60,ms
48,2,437.60,us
49,3,499.54,ms
50,1,496.84,us
51,0,499.49,ms
52,2,137.12,us
53,3,499.83,ms
54,1,165.84,us
55,0,499.81,ms
56,2,256.40,us
57,3,499.95,ms
58,1,23.24,us
59,0,499.97,ms
60,2,50.64,us
61,3,499.93,ms
62,1,82.52,us
63,0,499.92,ms
64,2,100.96,us
65,3,499.87,ms
66,1,138.44,us
67,0,499.85,ms
68,2,170.48,us
69,3,499.83,ms
70,1,196.60,us
71,0,499.78,ms
72,2,44.84,us
73,3,499.94,ms
74,1,47.40,us
75,0,499.95,ms
76,2,67.24,us
77,3,499.95,ms
78,1,52.88,us
79,0,499.93,ms
80,2,78.88,us
81,3,499.92,ms
82,1,96.32,us
83,0,499.88,ms
84,2,122.28,us
85,3,499.87,ms
86,1,143.16,us
87,0,499.85,ms
88,2,159.44,us
89,3,499.82,ms
90,1,187.12,us
91,0,499.80,ms
92,2,209.04,us
93,3,499.79,ms
94,1,47.72,us
95,0,499.93,ms
96,2,63.36,us
97,3,499.93,ms
98,1,68.48,us
99,0,500.00,ms
100,2,520,ns
101,3,499.99,ms
102,1,13.88,us
