delay_us,accumulated_us
280330.0,780480.04
500270.0,1500700.04
-2510.0,2000970.04
-2940.0,2501240.04
-3280.0,3001510.04
-633.04,3498773.08
-750.16,3998813.24
-898.52,4498891.76
-199.4,4998961.16
-298.48,5499039.640000001
-393.28,5999122.920000001
-495.76,6499188.680000001
-587.56,6999266.24
-681.88,7499348.12
-777.96,7999406.08
-63.08,8498669.16
-116.84,8998706.0
-185.32,9498741.32
-120.92,9998782.24
-186.16,10498828.4
-252.96,10998861.360000001
-315.36,11498896.72
-369.08,11998935.8
-437.6,12498973.4
-496.84,12999010.24
-137.12,13498637.36
-165.84,13998633.2
-256.4,14498699.6
-23.24,14998672.84
-50.64,15498693.48
-82.52,15998706.0
-100.96,16498726.96
-138.44,16998735.400000002
-170.48,17498755.880000003
-196.6,17998782.480000004
-44.84,18498607.320000004
-47.4,18998594.720000003
-67.24,19498611.96
-52.88,19998614.84
-78.88,20498623.72
-96.32,20998640.04
-122.28,21498642.32
-143.16,21998655.48
-159.44,22498664.92
-187.12,22998672.040000003
-209.04,23498681.080000002
-47.72,23998518.8
-63.36,24498512.16
-68.48,24998510.64
-0.52,25498511.16
-13.88,25998515.04
-17.92,26498502.96
-23.44,26998506.400000002
-33.6,27498500.000000004
-41.04,27998501.040000003
65.84,28498466.880000003
64.04,28998450.92
61.52,29498442.44
81.84,29998464.28
71.76,30498446.040000003
84.68,30998450.720000003
95.12,31498455.840000004
84.2,31998430.040000003
80.36,32498420.400000002
87.2,32998417.6
61.04,33498398.64
-24.6,33998413.24
-21.16,34498414.4
-14.76,34998399.16
6.16,35498405.31999999
1.6,35998406.919999994
-11.64,36498398.559999995
-11.36,36998399.919999994
-10.32,37498400.239999995
-16.72,37998386.95999999
-23.08,38498390.03999999
10.28,38998370.31999999
11.72,39498362.03999999
9.64,39998351.67999999
-9.0,40498340.67999999
-0.16,40998330.83999999
-20.88,41498321.71999999
-17.16,41998328.87999999
-23.8,42498312.679999985
-24.0,42998306.679999985
-21.24,43498307.91999999
15.44,43998273.359999985
18.12,44498261.47999998
24.48,44998265.95999998
53.24,45498279.19999998
52.72,45998271.91999998
56.64,46498268.55999998
58.8,46998257.35999998
58.08,47498245.439999975
64.84,47998250.27999998
64.84,48498235.11999998
6.32,48998231.43999998
19.08,49498230.51999998
5.84,49998216.359999985
21.8,50498218.15999998
21.44,50998219.59999998
24.88,51498214.47999998
27.0,51998211.47999998
21.0,52498202.47999998
16.8,52998189.27999998
13.96,53498183.23999998
50.72,53998193.95999998
46.2,54498170.15999998
40.76,54998160.91999998
56.96,55498157.87999998
59.36,55998147.23999998
60.56,56498137.79999998
70.52,56998148.319999985
73.4,57498141.719999984
69.72,57998131.43999998
75.76,58498137.19999998
11.72,58998128.91999998
10.16,59498119.079999976
15.92,59998124.99999998
14.24,60498119.23999998
12.56,60998111.79999998
9.08,61498110.87999998
2.84,61998093.719999984
5.48,62498079.19999998
10.08,62998089.27999998
2.92,63498072.19999998
27.68,63998069.87999998
38.72,64498078.59999998
37.04,64998065.63999998
59.64,65498085.27999998
145.52,65998170.79999998
452.56,66498463.359999985
3500.0,67001503.359999985
7720.0,67505723.35999998
11750.0,68009743.35999998
15690.0,68513673.35999998
19410.0,69017473.35999998
23130.0,69521183.35999998
26700.0,70024753.35999998
1240.0,70499303.35999998
2820.0,71000873.35999998
4370.0,71502423.35999998
5800.0,72003863.35999998
7170.0,72505223.35999998
8410.0,73006453.35999998
9600.0,73507653.35999998
10710.0,74008713.35999998
11740.0,74509733.35999998
12670.0,75010663.35999998
186.64,75498169.99999999
321.16,75998331.15999998
508.6,76498479.75999998
571.48,76998531.23999998
567.92,77498519.15999998
502.88,77998452.03999998
373.6,78498315.63999997
191.28,78998116.91999997
-41.8,79497918.71999997
-346.6,79997905.31999996
-66.12,80497901.43999997
-279.32,80997900.75999996
-531.08,81497891.83999996
-850.44,81997882.27999996
-1200.0,82497882.27999996
-1610.0,82997862.27999996
-2060.0,83497862.27999996
-2520.0,83997842.27999996
-3070.0,84497832.27999996
-3640.0,84997822.27999996
-174.56,85497826.83999996
-536.16,85997822.99999996
-929.4,86497802.39999996
-1370.0,86997802.39999996
-1670.0,87497612.39999996
-557.4,87995979.79999997
4150.0,88494889.79999997
-1240.0,88995539.79999997
2190.0,89493679.79999997
5490.0,89993049.79999997
13670.0,90497679.79999997
16710.0,90997289.79999997
19370.0,91496879.79999997
21910.0,91996429.79999997
24130.0,92495959.79999997
26230.0,92995479.79999997
28050.0,93494949.79999997
-3360.0,93997769.79999997
-3730.0,94497589.79999997
-4370.0,94997639.79999997
-18.2,95497807.99999997
-782.0,95998099.99999997
-1600.0,96498529.99999997
-2510.0,96999039.99999997
-3570.0,97499689.99999997
-4710.0,98000389.99999997
-6000.0,98501219.99999997
-3200.0,98997959.99999997
-4120.0,99498379.99999997
-5100.0,99998859.99999997
-1960.0,100499439.99999997
-2900.0,101000059.99999997
-3920.0,101500749.99999997
-5000.0,102001489.99999997
-6170.0,102502279.99999997
-7380.0,103003119.99999997
-8650.0,103504019.99999997
-2970.0,103997929.99999997
-3870.0,104498419.99999997
-4820.0,104998959.99999997
-1930.0,105499529.99999997
-2740.0,106000119.99999997
