network_time,rpi_time,network_reference,rpi_reference,instant_drift_coefficient,ema_drift_coefficient,drift_coefficient
1025665361.224423,1508346799.029079,1025665356.214012,1508346794.020296,0.9996750445285116,0.9998700178114046,0.9997920284982473
1025665366.235723,1508346804.03908,1025665361.224423,1508346799.029079,0.9997407811073792,0.9998183231297944,0.9997873063208282
1025665371.246807,1508346809.049082,1025665366.235723,1508346804.03908,0.999784113714479,0.9998046393636681,0.9997964291039925
1025665376.257713,1508346814.059079,1025665371.246807,1508346809.049082,0.9998185777091908,0.9998102147018773,0.9998135599048027
1025665381.268424,1508346819.069077,1025665376.257713,1508346814.059079,0.9998577066707117,0.9998292114894111,0.9998406095619313
1025665386.282286,1508346824.082238,1025665381.268424,1508346819.069077,0.9998601736884828,0.9998415963690397,0.999849027296817
1025665391.295838,1508346829.095224,1025665386.282286,1508346824.082238,0.9998871048485424,0.9998597997608408,0.9998707217959215
1025665396.306863,1508346834.10544,1025665391.295838,1508346829.095224,0.9998385651145921,0.9998513059023414,0.9998462095872417
1025665401.320539,1508346839.11844,1025665396.306863,1508346834.10544,0.9998651616349638,0.9998568481953903,0.9998601735712197
1025665406.331748,1508346844.129081,1025665401.320539,1508346839.11844,0.9998866714491125,0.9998687774968792,0.9998759350777725
1025665411.342219,1508346849.139079,1025665406.331748,1508346844.129081,0.9999056170062786,0.999883513300639,0.9998923547828948
1025665416.352603,1508346854.149081,1025665411.342219,1508346849.139079,0.9999237452107889,0.999899606064699,0.999909261723135
1025665421.363045,1508346859.159121,1025665416.352603,1508346854.149081,0.9999197728019045,0.9999076727595813,0.9999125127765105
1025665426.373214,1508346864.169078,1025665421.363045,1508346859.159121,0.9999576952163521,0.9999276817422896,0.9999396871319146
1025665431.383441,1508346869.179078,1025665426.373214,1508346864.169078,0.9999546977634162,0.9999384881507403,0.9999449719958107
1025665436.393612,1508346874.18908,1025665431.383441,1508346869.179078,0.9999662370845249,0.9999495877242541,0.9999562474683624
1025665441.40375,1508346879.199078,1025665436.393612,1508346874.18908,0.9999720900903332,0.9999585886706857,0.9999639892385446
1025665446.413889,1508346884.20908,1025665441.40375,1508346879.199078,0.9999726135563657,0.9999641986249577,0.9999675645975209
1025665451.423995,1508346889.219078,1025665446.413889,1508346884.20908,0.9999784666416753,0.9999699058316447,0.999973330155657
1025665456.434085,1508346894.229079,1025665451.423995,1508346889.219078,0.9999822260000498,0.9999748338990068,0.9999777907394239
1025665461.444137,1508346899.23908,1025665456.434085,1508346894.229079,0.9999898161583399,0.9999808268027399,0.9999844225449799
1025665466.454148,1508346904.249079,1025665461.444137,1508346899.23908,0.9999975967841069,0.9999875347952867,0.9999915595908149
1025665471.464189,1508346909.25908,1025665466.454148,1508346904.249079,0.9999920051909154,0.9999893229535382,0.999990395848489
1025665476.474206,1508346914.26909,1025665471.464189,1508346909.25908,0.9999986199370368,0.9999930417469376,0.9999952730229773
1025665481.484189,1508346919.279078,1025665476.474206,1508346914.26909,1.0000009993626922,0.9999962247932395,0.9999981346210205
1025665486.494174,1508346924.28908,1025665481.484189,1508346919.279078,1.0000033787963871,0.9999990863944985,1.0000008033552539
1025665491.504194,1508346929.299087,1025665486.494174,1508346924.28908,0.9999974302291755,0.9999984239283694,0.9999980264486918
1025665496.514146,1508346934.309081,1025665491.504194,1508346929.299087,1.0000083994576472,1.0000024141400805,1.0000048082671071
1025665501.524131,1508346939.319078,1025665496.514146,1508346934.309081,1.0000023794340753,1.0000024002576784,1.0000023919282373
1025665506.53408,1508346944.329082,1025665501.524131,1508346939.319078,1.0000109692696506,1.0000058278624673,1.0000078844253406
1025665511.544071,1508346949.339078,1025665506.53408,1508346944.329082,1.0000009993611227,1.0000038964619296,1.0000027376216067
1025665516.55412,1508346954.349128,1025665511.544071,1508346949.339078,1.0000002141463304,1.00000242353569,1.0000015397799462
1025665521.563981,1508346959.359079,1025665516.55412,1508346954.349128,1.000017917581552,1.0000086211540347,1.0000123397250418
1025665526.573934,1508346964.369078,1025665521.563981,1508346959.359079,1.0000092084688121,1.0000088560799458,1.0000089970354924
1025665531.583983,1508346969.379097,1025665526.573934,1508346964.369078,0.9999940276967823,1.0000029247266804,0.9999993659147212
1025665536.593843,1508346974.389079,1025665531.583983,1508346969.379097,1.0000243660125343,1.000011501241022,1.0000166471496268
1025665541.603841,1508346979.399098,1025665536.593843,1508346974.389079,1.0000041639988322,1.000008566344146,1.0000068054060205
1025665546.613819,1508346984.409104,1025665541.603841,1508346979.399098,1.0000056154721677,1.0000073859953547,1.0000066777860799
1025665551.622031,1508346989.419083,1025665546.613819,1508346984.409104,1.0003528283765704,1.0001455629478408,1.0002284691193326
1025665556.630828,1508346994.42908,1025665551.622031,1508346989.419083,1.000239546838785,1.0001831565042185,1.0002057126380453
1025665561.6399,1508346999.439099,1025665556.630828,1508346994.42908,1.0001890804954818,1.000185526100724,1.0001869478586272
1025665566.648932,1508347004.449081,1025665561.6399,1508346999.439099,1.0001896293769033,1.0001871674111957,1.0001881521974787
1025665571.658187,1508347009.459083,1025665566.648932,1508347004.449081,1.0001491408622474,1.0001719567916163,1.0001628304198686
1025665576.667537,1508347014.469082,1025665571.658187,1508347009.459083,1.0001295766095586,1.0001550047187933,1.0001448334750993
1025665581.676974,1508347019.479083,1025665576.667537,1508347014.469082,1.0001125595411415,1.0001380266477327,1.0001278398050961
1025665586.686677,1508347024.489078,1025665581.676974,1508347019.479083,1.0000582994169536,1.000106135755421,1.000087001220034
1025665591.696634,1508347029.499086,1025665586.686677,1508347024.489078,1.0000101364455998,1.0000677360314927,1.0000446961971354
1025665596.706565,1508347034.509081,1025665591.696634,1508347029.499086,1.0000127776987136,1.000045752698381,1.000032562698514
1025665601.716514,1508347039.519079,1025665596.706565,1508347034.509081,1.0000098033388363,1.0000313729545631,1.0000227451082724
1025665606.726464,1508347044.52908,1025665601.716514,1508347039.519079,1.0000101602543365,1.0000228878744726,1.0000177968264181
1025665611.736392,1508347049.53908,1025665606.726464,1508347044.52908,1.0000143719452774,1.0000194815027945,1.0000174376797877
1025665616.746343,1508347054.54908,1025665611.736392,1508347049.53908,1.0000097795403688,1.0000156007178242,1.000013272246842
1025665621.756294,1508347059.559085,1025665616.746343,1508347054.54908,1.0000107789094574,1.0000136719944774,1.0000125147604695
1025665626.76622,1508347064.569092,1025665621.756294,1508347059.559085,1.000016204136909,1.00001468485145,1.0000152925656336
1025665631.776171,1508347069.57908,1025665626.76622,1508347064.569092,1.0000074000901573,1.000011770946933,1.0000100226042226
1025665636.786123,1508347074.589081,1025665631.776171,1508347069.57908,1.0000097557437775,1.0000109648656708,1.0000104812169135
1025665641.796054,1508347079.599079,1025665636.786123,1508347074.589081,1.0000133487690472,1.0000119184270213,1.0000124905638317
1025665646.806007,1508347084.60908,1025665641.796054,1508347079.599079,1.0000096129749654,1.000010996246199,1.0000104429377055
1025665651.81596,1508347089.61908,1025665646.806007,1508347084.60908,1.0000093750300405,1.0000103477597355,1.0000099586678575
1025665656.825885,1508347094.629076,1025665651.81596,1508347089.61908,1.000014157802197,1.0000118717767201,1.000012786186911
1025665661.838525,1508347099.641785,1025665656.825885,1508347094.629076,1.0000137458443792,1.0000126214037839,1.000013071180022
1025665666.8515,1508347104.654786,1025665661.838525,1508347099.641785,1.000005231632677,1.0000096654953412,1.0000078919502755
1025665671.861362,1508347109.664721,1025665666.8515,1508347104.654786,1.0000145624941346,1.0000116242948585,1.000012799574569
1025665676.874311,1508347114.67771,1025665671.861362,1508347109.664721,1.0000079901713284,1.0000101706454465,1.0000092984557993
1025665681.885637,1508347119.689095,1025665676.874311,1508347114.67771,1.000011751258681,1.0000108028907404,1.0000111822379167
1025665686.895558,1508347124.699077,1025665681.885637,1508347119.689095,1.0000121590634885,1.0000113453598396,1.0000116708412992
1025665691.908322,1508347129.711911,1025665686.895558,1508347124.699077,1.0000139833159065,1.0000124005422664,1.0000130336517223
1025665696.9213,1508347134.72492,1025665691.908322,1508347129.711911,1.0000061828347955,1.000009913459278,1.0000084212094849
1025665701.9315,1508347139.735206,1025665696.9213,1508347134.72492,1.0000171549837142,1.0000128100690524,1.0000145480349172
1025665706.944443,1508347144.748201,1025665701.9315,1508347139.735206,1.0000103682108372,1.0000118333257664,1.0000112472797946
1025665711.955282,1508347149.759081,1025665706.944443,1508347144.748201,1.0000081838581771,1.0000103735387307,1.0000094976665093
1025665716.965207,1508347154.769077,1025665711.955282,1508347149.759081,1.000014205391448,1.0000119062798176,1.0000128259244698
1025665721.978025,1508347159.781949,1025665716.965207,1508347154.769077,1.0000107727446705,1.0000114528657589,1.0000111808173235
1025665726.990974,1508347164.79494,1025665721.978025,1508347159.781949,1.0000083706556773,1.0000102199817262,1.0000094802513066
1025665732.000868,1508347169.804879,1025665726.990974,1508347164.79494,1.0000089706293267,1.0000097202407665,1.0000094203961907
1025665737.013812,1508347174.817877,1025665732.000868,1508347169.804879,1.0000107962541849,1.0000101506461339,1.0000104088893542
1025665742.024957,1508347179.829079,1025665737.013812,1508347174.817877,1.000011347273161,1.0000106292969448,1.0000109164874313
