network_time,rpi_time,network_reference,rpi_reference,instant_drift_coefficient,ema_drift_coefficient,drift_coefficient
1025665699.339225,1508254673.129977,1025665694.313746,1508254668.104973,0.9999054481730504,0.9999621792692202,0.9999394868307523
1025665704.352688,1508254678.143045,1025665699.339225,1508254673.129977,0.9999212240353481,0.9999457971756713,0.9999359679195421
1025665709.364832,1508254683.154755,1025665704.352688,1508254678.143045,0.9999134259098937,0.9999328486693603,0.9999250795655736
1025665714.375266,1508254688.164757,1025665709.364832,1508254683.154755,0.9999137770355032,0.9999252200158174,0.9999206428236918
1025665719.385646,1508254693.174753,1025665714.375266,1508254688.164757,0.9999233406790189,0.999924468281098,0.9999240172402664
1025665724.396019,1508254698.184751,1025665719.385646,1508254693.174753,0.9999251725937547,0.9999247500061607,0.9999249190411983
1025665729.406422,1508254703.194753,1025665724.396019,1508254698.184751,0.9999199387242164,0.999922825493383,0.9999216707857163
1025665734.416826,1508254708.204753,1025665729.406422,1508254703.194753,0.9999193677230351,0.9999214423852438,0.9999206125203604
1025665739.427208,1508254713.214758,1025665734.416826,1508254708.204753,0.9999247682555348,0.9999227727333602,0.9999235709422301
1025665744.437551,1508254718.224754,1025665739.427208,1508254713.214758,0.9999307634173121,0.999925969006941,0.9999278867710895
1025665749.447893,1508254723.234754,1025665744.437551,1508254718.224754,0.9999317389009392,0.9999282769645403,0.9999296617390999
1025665754.458273,1508254728.244758,1025665749.447893,1508254723.234754,0.9999249109816832,0.9999269305713975,0.9999261227355117
1025665759.468646,1508254733.254754,1025665754.458273,1508254728.244758,0.9999247919137865,0.9999260751083531,0.9999255618305265
1025665764.478927,1508254738.26475,1025665759.468646,1508254733.254754,0.9999431110923306,0.9999328895019441,0.9999369781380988
1025665769.489278,1508254743.274754,1025665764.478927,1508254738.26475,0.9999307635260352,0.9999320391115806,0.9999315288773624
1025665774.499589,1508254748.28475,1025665769.489278,1508254743.274754,0.9999371156497449,0.9999340697268463,0.9999352880960057
1025665779.509901,1508254753.29475,1025665774.499589,1508254748.28475,0.9999377104828927,0.9999355260292648,0.9999363998107159
1025665784.520223,1508254758.304749,1025665779.509901,1508254753.29475,0.9999355454665348,0.9999355338041728,0.9999355384691175
1025665789.530534,1508254763.31475,1025665784.520223,1508254758.304749,0.9999381149470248,0.9999365662613136,0.9999371857355981
1025665794.540815,1508254768.324751,1025665789.530534,1508254763.31475,0.999944110395602,0.9999395839150289,0.9999413945072582
1025665799.551131,1508254773.334751,1025665794.540815,1508254768.324751,0.9999369253704361,0.9999385204971918,0.9999378824464895
1025665804.561474,1508254778.344767,1025665799.551131,1508254773.334751,0.9999347843719372,0.9999370260470899,0.9999361293770288
1025665809.571694,1508254783.35475,1025665804.561474,1508254778.344767,0.9999526514836075,0.9999432762216969,0.9999470263264612
1025665814.581953,1508254788.36475,1025665809.571694,1508254783.35475,0.9999482977258208,0.9999452848233464,0.9999464899843362
1025665819.592235,1508254793.374751,1025665814.581953,1508254788.36475,0.9999439676486572,0.9999447579534708,0.9999444418315453
1025665824.602487,1508254798.384751,1025665819.592235,1508254793.374751,0.999949701444525,0.9999467353498925,0.9999479217877456
1025665829.612769,1508254803.394751,1025665824.602487,1508254798.384751,0.999943705927761,0.9999455235810399,0.9999447965197283
1025665834.623027,1508254808.404751,1025665829.612769,1508254803.394751,0.9999485118521482,0.9999467188894833,0.9999474360745493
1025665839.63334,1508254813.414765,1025665834.623027,1508254808.404751,0.9999402801152865,0.9999441433798045,0.9999425980739973
1025665844.6435,1508254818.424751,1025665839.63334,1508254813.414765,0.9999653090629383,0.9999526096530581,0.9999576894170102
1025665849.653757,1508254823.434754,1025665844.6435,1508254818.424751,0.99994927321991,0.9999512750797989,0.9999504743358433
1025665854.663978,1508254828.44475,1025665849.653757,1508254823.434754,0.9999551259874782,0.9999528154428705,0.9999537396607137
1025665859.674231,1508254833.45475,1025665854.663978,1508254828.44475,0.9999494873176883,0.9999514841927977,0.9999506854427539
1025665864.684453,1508254838.464751,1025665859.674231,1508254833.45475,0.999955887378908,0.9999532454672417,0.9999543022319082
1025665869.694674,1508254843.474751,1025665864.684453,1508254838.464751,0.9999558873705113,0.9999543022285495,0.9999549362853343
1025665874.704933,1508254848.484755,1025665869.694674,1508254843.474751,0.9999491066891536,0.9999522240127912,0.9999509770833361
1025665879.715094,1508254853.494752,1025665874.704933,1508254848.484755,0.9999672601369611,0.9999582384624592,0.99996184713226
1025665884.725316,1508254858.504751,1025665879.715094,1508254853.494752,0.9999554828953078,0.9999571362355987,0.9999564748994823
1025665889.735508,1508254863.514753,1025665884.725316,1508254858.504751,0.9999621209741877,0.9999591301310342,0.9999603264682956
1025665894.745732,1508254868.524756,1025665889.735508,1508254863.514753,0.9999558636035453,0.9999578235200386,0.9999570395534412
1025665899.755892,1508254873.534751,1025665894.745732,1508254868.524756,0.9999670459899265,0.9999615125079937,0.9999637259007668
1025665904.766114,1508254878.544749,1025665899.755892,1508254873.534751,0.9999553163417417,0.9999590340414929,0.9999575469615924
1025665909.776309,1508254883.554754,1025665904.766114,1508254878.544749,0.9999620734109342,0.9999602497892695,0.9999609792379354
1025665914.78647,1508254888.564752,1025665909.776309,1508254883.554754,0.9999674742792811,0.9999631395852742,0.999964873462877
1025665919.796661,1508254893.57475,1025665914.78647,1508254888.564752,0.9999614547528288,0.9999624656522961,0.9999620612925091
1025665924.806855,1508254898.584751,1025665919.796661,1508254893.57475,0.9999614785691051,0.9999620708190197,0.9999618339190539
1025665929.817016,1508254903.594749,1025665924.806855,1508254898.584751,0.9999674742792811,0.9999642322031244,0.9999655290335872
1025665934.827177,1508254908.604749,1025665929.817016,1508254903.594749,0.9999678549753539,0.9999656813120161,0.9999665507773512
1025665939.837341,1508254913.61475,1025665934.827177,1508254908.604749,0.9999674742978547,0.9999663985063516,0.9999668288229528
