Sample#,Sync,SampleTime,units
0,2,8,ns
1,0,499.68,ms
2,1,309.32,us
3,3,499.64,ms
4,2,356.79,us
5,0,499.65,ms
6,1,337.24,us
7,3,499.62,ms
8,2,368.64,us
9,0,499.65,ms
10,1,336.11,us
11,3,499.61,ms
12,2,380.68,us
13,0,499.59,ms
14,1,399.77,us
15,3,499.61,ms
16,2,388.88,us
17,0,499.57,ms
18,1,409.14,us
19,3,499.71,ms
20,2,286.21,us
21,0,499.57,ms
22,1,425.91,us
23,3,499.59,ms
24,2,394.02,us
25,0,499.55,ms
26,1,435.40,us
27,3,499.59,ms
28,2,410.72,us
29,0,499.53,ms
30,1,451.55,us
31,3,499.57,ms
32,2,427.97,us
33,0,499.52,ms
34,1,471.28,us
35,3,499.50,ms
36,2,477.53,us
37,0,499.56,ms
38,1,436.60,us
39,3,499.50,ms
40,2,499.84,us
41,0,499.52,ms
42,1,473.23,us
43,3,499.48,ms
44,2,507.58,us
45,0,499.51,ms
46,1,487.02,us
47,3,499.46,ms
48,2,523.22,us
49,0,499.49,ms
50,1,499.43,us
51,3,499.46,ms
52,2,542.93,us
53,0,499.43,ms
54,1,550.47,us
55,3,499.44,ms
56,2,553.06,us
57,0,499.42,ms
58,1,568.54,us
59,3,499.45,ms
60,2,532.69,us
61,0,499.41,ms
62,1,574.74,us
63,3,499.44,ms
64,2,555.26,us
65,0,499.39,ms
66,1,596.02,us
67,3,499.42,ms
68,2,570.28,us
69,0,499.38,ms
70,1,629.03,us
71,3,499.35,ms
72,2,623.66,us
73,0,499.39,ms
74,1,598.09,us
75,3,499.35,ms
76,2,640.75,us
77,0,499.38,ms
78,1,603.70,us
79,3,499.34,ms
80,2,648.81,us
81,0,499.37,ms
82,1,627.92,us
83,3,499.32,ms
84,2,663.37,us
85,0,499.35,ms
86,1,638.82,us
87,3,499.31,ms
88,2,679.14,us
89,0,499.30,ms
90,1,693.95,us
91,3,499.29,ms
92,2,695.86,us
93,0,499.29,ms
94,1,710.66,us
95,3,499.32,ms
96,2,662.40,us
97,0,499.29,ms
98,1,695.66,us
99,3,499.30,ms
100,2,699.72,us
101,0,499.25,ms
102,1,737.34,us
103,3,499.28,ms
104,2,713.28,us
105,0,499.24,ms
106,1,760.08,us
107,3,499.25,ms
108,2,729.00,us
109,0,499.22,ms
110,1,765.54,us
111,3,499.21,ms
112,2,784.18,us
113,0,499.25,ms
114,1,731.46,us
115,3,499.20,ms
116,2,799.64,us
117,0,499.22,ms
118,1,773.17,us
119,3,499.17,ms
120,2,806.81,us
121,0,499.21,ms
122,1,783.47,us
123,3,499.17,ms
124,2,831.10,us
125,0,499.17,ms
126,1,828.66,us
127,3,499.14,ms
128,2,837.54,us
129,0,499.14,ms
130,1,857.28,us
131,3,499.17,ms
132,2,818.74,us
133,0,499.12,ms
134,1,864.58,us
135,3,499.16,ms
136,2,844.41,us
137,0,499.10,ms
138,1,878.05,us
139,3,499.14,ms
140,2,848.42,us
141,0,499.10,ms
142,1,902.83,us
143,3,499.12,ms
144,2,868.35,us
145,0,499.08,ms
146,1,904.57,us
147,3,499.07,ms
148,2,929.34,us
149,0,499.10,ms
150,1,884.19,us
151,3,499.06,ms
152,2,935.06,us
153,0,499.09,ms
154,1,916.01,us
155,3,499.03,ms
156,2,953.86,us
157,0,499.06,ms
158,1,924.47,us
159,3,499.03,ms
160,2,977.30,us
161,0,499.04,ms
162,1,943.00,us
163,3,499.01,ms
164,2,979.50,us
165,0,499.00,ms
166,1,995.28,us
167,3,499.03,ms
168,2,953.76,us
169,0,498.98,ms
170,1,1.00,ms
171,3,499.02,ms
172,2,985.70,us
173,0,498.96,ms
174,1,1.02,ms
175,3,499.00,ms
176,2,992.61,us
177,0,498.95,ms
178,1,1.04,ms
179,3,498.97,ms
180,2,1.01,ms
181,0,498.94,ms
182,1,1.05,ms
183,3,498.93,ms
184,2,1.07,ms
185,0,498.91,ms
186,1,1.07,ms
187,3,498.90,ms
188,2,1.08,ms
189,0,498.96,ms
190,1,1.04,ms
191,3,498.89,ms
192,2,1.16,ms
193,0,498.85,ms
194,1,1.08,ms
195,3,498.88,ms
196,2,1.12,ms
197,0,498.91,ms
198,1,1.07,ms
199,3,498.87,ms
200,2,1.12,ms
201,0,498.90,ms
202,1,1.12,ms
203,3,498.82,ms
204,2,1.15,ms
205,0,498.82,ms
206,1,1.16,ms
207,3,498.85,ms
208,2,1.15,ms
209,0,498.81,ms
210,1,1.18,ms
211,3,498.86,ms
212,2,1.13,ms
213,0,498.80,ms
214,1,1.19,ms
215,3,498.83,ms
216,2,1.16,ms
217,0,498.79,ms
218,1,1.19,ms
219,3,498.83,ms
220,2,1.15,ms
221,0,498.79,ms
222,1,1.18,ms
223,3,498.84,ms
224,2,1.19,ms
225,0,498.76,ms
226,1,1.24,ms
227,3,498.74,ms
228,2,1.25,ms
229,0,498.75,ms
230,1,1.24,ms
231,3,498.73,ms
232,2,1.27,ms
233,0,498.94,ms
234,1,1.04,ms
235,3,498.71,ms
236,2,1.27,ms
237,0,498.74,ms
238,1,1.25,ms
239,3,498.70,ms
240,2,1.29,ms
241,0,498.72,ms
242,1,1.27,ms
243,3,498.69,ms
244,2,1.31,ms
245,0,498.67,ms
246,1,1.32,ms
247,3,498.68,ms
248,2,1.32,ms
249,0,498.66,ms
250,1,1.34,ms
251,3,498.71,ms
252,2,1.29,ms
253,0,498.64,ms
254,1,1.34,ms
255,3,498.67,ms
256,2,1.28,ms
257,0,498.66,ms
258,1,1.32,ms
259,3,498.70,ms
260,2,1.34,ms
261,0,498.61,ms
262,1,1.34,ms
263,3,498.68,ms
264,2,1.35,ms
265,0,498.60,ms
266,1,1.35,ms
267,3,498.63,ms
268,2,1.40,ms
269,0,498.59,ms
270,1,1.36,ms
271,3,498.61,ms
272,2,1.41,ms
273,0,498.61,ms
274,1,1.35,ms
275,3,498.59,ms
276,2,1.39,ms
277,0,498.63,ms
278,1,1.37,ms
279,3,498.57,ms
280,2,1.41,ms
281,0,498.60,ms
282,1,1.43,ms
283,3,498.52,ms
284,2,1.43,ms
285,0,498.59,ms
286,1,1.44,ms
287,3,498.51,ms
288,2,1.44,ms
289,0,498.54,ms
290,1,1.48,ms
291,3,498.55,ms
292,2,1.42,ms
293,0,498.52,ms
294,1,1.50,ms
295,3,498.52,ms
296,2,1.44,ms
297,0,498.51,ms
298,1,1.48,ms
299,3,498.54,ms
300,2,1.46,ms
301,0,498.49,ms
302,1,1.49,ms
303,3,498.50,ms
304,2,1.55,ms
305,0,498.42,ms
306,1,1.51,ms
307,3,498.46,ms
308,2,1.56,ms
309,0,498.47,ms
310,1,1.49,ms
311,3,498.45,ms
312,2,1.57,ms
313,0,498.44,ms
314,1,1.52,ms
315,3,498.45,ms
316,2,1.59,ms
317,0,498.42,ms
318,1,1.53,ms
319,3,498.42,ms
320,2,1.57,ms
321,0,498.43,ms
322,1,1.58,ms
323,3,498.40,ms
324,2,1.58,ms
325,0,498.40,ms
326,1,1.69,ms
327,3,498.35,ms
328,2,1.55,ms
329,0,498.38,ms
330,1,1.64,ms
331,3,498.38,ms
332,2,1.58,ms
333,0,498.36,ms
334,1,1.67,ms
335,3,498.35,ms
336,2,1.61,ms
337,0,498.35,ms
338,1,1.63,ms
339,3,498.39,ms
340,2,1.62,ms
341,0,498.33,ms
342,1,1.65,ms
343,3,498.33,ms
344,2,1.71,ms
345,0,498.33,ms
346,1,1.62,ms
347,3,498.31,ms
348,2,1.72,ms
349,0,498.29,ms
350,1,1.66,ms
351,3,498.29,ms
352,2,1.74,ms
353,0,498.27,ms
354,1,1.68,ms
355,3,498.27,ms
356,2,1.75,ms
357,0,498.24,ms
