delay_us,accumulated_us
-336.11,336.118
-380.68,500326.798
-399.77,1000316.568
-388.88,1500315.4479999999
-409.14,2000294.5879999998
-286.21,2500290.7979999995
-425.91,3000286.7079999996
-394.02,3500270.7279999997
-435.4,4000256.1279999996
-410.72,4500256.847999999
-451.55,5000238.397999999
-427.97,5500236.367999999
-471.28,6000227.647999999
-477.53,6500205.177999999
-436.6,7000201.777999999
-499.84,7500201.617999999
-473.23,8000194.847999999
-507.58,8500182.428
-487.02,9000179.447999999
-523.22,9500162.668
-499.43,10000152.098
-542.93,10500155.027999999
-550.47,11000135.498
-553.06,11500128.558
-568.54,12000117.098
-532.69,12500099.787999999
-574.74,13000084.527999999
-555.26,13500079.787999999
-596.02,14000065.807999998
-570.28,14500056.087999998
-629.03,15000065.117999997
-623.66,15500038.777999997
-598.09,16000026.867999997
-640.75,16500017.617999997
-603.7,17000001.317999996
-648.81,17499990.127999995
-627.92,17999988.047999997
-663.37,18499971.417999998
-638.82,18999960.237999998
-679.14,19499949.378
-693.95,19999943.327999998
-695.86,20499929.187999997
-710.66,20999929.847999997
-662.4,21499912.247999996
-695.66,21999897.907999996
-699.72,22499897.627999995
-737.34,22999884.967999995
-713.28,23499878.247999996
-760.08,23999878.327999994
-729.0,24499857.327999994
-765.54,24999842.867999993
-784.18,25499837.047999993
-731.46,25999818.507999994
-799.64,26499818.147999994
-773.17,26999811.317999996
-806.81,27499788.127999995
-783.47,27999781.597999994
-831.1,28499782.697999995
-828.66,28999781.357999995
-837.54,29499758.897999994
-857.28,29999756.177999996
-818.74,30499744.917999994
-864.58,30999729.497999992
-844.41,31499733.907999992
-878.05,31999711.957999993
-848.42,32499700.377999995
-902.83,32999703.207999993
-868.35,33499691.557999995
-904.57,33999676.128
-929.34,34499675.468
-884.19,34999659.658
-935.06,35499654.718
-916.01,35999660.728
-953.86,36499644.588
-924.47,36999629.058
-977.3,37499636.357999995
-943.0,37999619.357999995
-979.5,38499608.857999995
-995.28,38999604.138
-953.76,39499587.897999994
-1000.0,39999567.897999994
-985.7,40499573.598
-1020.0,40999553.598
-992.61,41499546.208
-1040.0,41999536.208
-1010.0,42499516.208
-1050.0,42999506.208
-1070.0,43499506.208
-1070.0,43999486.208
-1080.0,44499466.208
-1040.0,44999466.208
-1160.0,45499516.208
-1080.0,45999446.208
-1120.0,46499446.208
-1070.0,46999426.208
-1120.0,47499416.208
-1120.0,47999436.208
-1150.0,48499406.208
-1160.0,48999386.208
-1150.0,49499386.208
-1180.0,49999376.208
-1130.0,50499366.208
-1190.0,50999356.208
-1160.0,51499346.208
-1190.0,51999326.208
-1150.0,52499306.208
-1180.0,52999276.208
-1190.0,53499306.208
-1240.0,53999306.208
-1250.0,54499296.208
-1240.0,54999286.208
-1270.0,55499286.208
-1040.0,55999266.208
-1270.0,56499246.208
-1250.0,56999236.208
-1290.0,57499226.208
-1270.0,57999216.208
-1310.0,58499216.208
-1320.0,58999206.208
-1320.0,59499206.208
-1340.0,59999206.208
-1290.0,60499206.208
-1340.0,60999186.208
-1280.0,61499136.208
-1320.0,61999116.208
-1340.0,62499156.208
-1340.0,62999106.208
-1350.0,63499136.208
-1350.0,63999086.208
