Sample#,Sync,SampleTime,units
0,3,8,ns
1,1,103.66,us
2,0,499.90,ms
3,1,8.19,us
4,3,499.92,ms
5,1,76.92,us
6,0,499.91,ms
7,2,92.54,us
8,3,499.91,ms
9,1,80.85,us
10,0,499.91,ms
11,2,92.00,us
12,3,499.90,ms
13,1,89.72,us
14,0,499.79,ms
15,1,126.62,us
16,3,499.86,ms
17,2,132.46,us
18,0,499.85,ms
19,1,215.53,us
20,3,499.77,ms
21,2,172.84,us
22,0,499.82,ms
23,1,165.06,us
24,3,499.82,ms
25,2,185.06,us
26,0,499.81,ms
27,1,117.31,us
28,3,499.88,ms
29,2,124.39,us
30,0,499.86,ms
31,1,126.59,us
32,3,499.86,ms
33,2,136.55,us
34,0,499.97,ms
35,1,19.30,us
36,3,499.97,ms
37,2,23.78,us
38,0,499.97,ms
39,1,27.62,us
40,3,499.97,ms
41,2,17.74,us
42,0,499.98,ms
43,1,24.81,us
44,3,499.97,ms
45,2,45.05,us
46,0,499.96,ms
47,1,32.35,us
48,3,499.96,ms
49,2,40.15,us
50,0,499.95,ms
51,1,40.06,us
52,3,499.96,ms
53,2,27.98,us
54,0,499.98,ms
55,1,19.26,us
56,3,499.97,ms
57,2,31.50,us
58,0,499.97,ms
59,1,24.41,us
60,3,499.97,ms
61,2,26.58,us
62,0,499.97,ms
63,1,32.67,us
64,3,499.97,ms
65,2,37.42,us
66,0,499.96,ms
67,1,5.55,us
68,3,499.99,ms
69,2,176,ns
70,0,500.00,ms
71,2,88,ns
72,3,499.99,ms
73,1,616,ns
74,0,499.97,ms
75,1,61.57,us
76,3,499.93,ms
77,2,29.40,us
78,0,499.96,ms
79,1,33.70,us
80,3,499.96,ms
81,2,42.72,us
82,0,499.96,ms
83,1,38.02,us
84,3,499.96,ms
85,2,36.29,us
86,0,499.96,ms
87,1,25.13,us
88,3,499.97,ms
89,2,16.36,us
90,0,499.97,ms
91,1,31.07,us
92,3,499.96,ms
93,2,30.18,us
94,0,499.93,ms
95,1,60.34,us
96,3,499.93,ms
97,2,68.26,us
98,0,499.93,ms
99,1,75.75,us
100,3,499.92,ms
101,2,70.14,us
102,0,499.92,ms
103,1,74.88,us
104,3,499.91,ms
105,2,85.69,us
106,0,499.91,ms
107,1,55.16,us
108,3,499.93,ms
109,2,50.22,us
110,0,499.94,ms
111,1,61.02,us
112,3,499.94,ms
113,2,44.58,us
114,0,499.99,ms
115,2,37.22,us
116,3,499.96,ms
117,1,28.30,us
118,0,499.96,ms
119,2,40.18,us
120,3,499.95,ms
121,1,38.18,us
122,0,499.96,ms
123,2,36.07,us
124,3,499.95,ms
125,1,46.32,us
126,0,499.97,ms
127,2,31.71,us
128,3,499.96,ms
129,1,32.93,us
130,0,499.96,ms
131,2,38.18,us
132,3,499.95,ms
133,1,43.30,us
134,0,499.96,ms
135,2,14.40,us
136,3,499.97,ms
137,1,19.98,us
138,0,499.99,ms
139,2,40.39,us
140,3,499.95,ms
141,1,7.35,us
142,0,499.99,ms
143,2,13.50,us
144,3,499.98,ms
145,1,12.97,us
146,0,499.98,ms
147,2,15.82,us
148,3,499.97,ms
149,1,29.66,us
150,0,499.98,ms
151,2,19.61,us
152,3,499.98,ms
153,1,15.18,us
154,0,499.95,ms
155,1,17.58,us
156,3,499.97,ms
157,2,18.84,us
158,0,499.97,ms
159,1,30.42,us
160,3,499.97,ms
161,2,21.99,us
162,0,499.97,ms
163,1,28.23,us
164,3,499.96,ms
165,2,38.13,us
166,0,499.97,ms
167,1,28.58,us
168,3,499.96,ms
169,2,30.98,us
170,0,499.96,ms
171,1,39.18,us
172,3,499.96,ms
173,2,26.90,us
174,0,499.97,ms
175,1,22.95,us
176,3,499.96,ms
177,2,35.29,us
178,0,499.96,ms
179,1,32.59,us
180,3,499.96,ms
181,2,36.54,us
182,0,499.96,ms
183,1,40.64,us
184,3,499.95,ms
185,2,34.03,us
186,0,499.96,ms
187,1,26.14,us
188,3,499.97,ms
189,2,26.19,us
190,0,499.97,ms
191,1,22.09,us
192,3,499.97,ms
193,2,23.90,us
194,0,499.99,ms
195,2,23.18,us
196,3,499.97,ms
197,1,26.90,us
198,0,499.97,ms
199,2,25.56,us
200,3,499.97,ms
201,1,19.37,us
202,0,499.98,ms
203,2,28.04,us
204,3,499.96,ms
205,1,30.24,us
206,0,499.99,ms
207,2,1.86,us
208,3,499.98,ms
209,1,17.38,us
210,0,499.98,ms
211,2,11.34,us
212,3,499.98,ms
213,1,8.35,us
214,0,499.91,ms
215,1,75.81,us
216,3,499.90,ms
217,2,91.74,us
218,0,499.90,ms
219,1,101.74,us
220,3,499.90,ms
221,2,92.02,us
222,0,499.90,ms
223,1,102.51,us
224,3,499.88,ms
225,2,114.75,us
226,0,499.88,ms
227,1,88.53,us
228,3,499.90,ms
229,2,82.78,us
230,0,499.91,ms
231,1,95.22,us
232,3,499.90,ms
233,2,84.65,us
234,0,499.99,ms
235,2,8.50,us
236,3,499.99,ms
237,1,2.14,us
238,0,499.99,ms
239,2,9.27,us
240,3,499.98,ms
241,1,9.46,us
242,0,499.99,ms
243,2,9.13,us
244,3,499.98,ms
245,1,19.54,us
246,0,500.01,ms
247,1,13.94,us
248,3,499.97,ms
249,2,19.40,us
250,0,499.98,ms
251,1,18.44,us
252,3,499.97,ms
253,2,16.94,us
254,0,500.00,ms
255,2,15.90,us
256,3,499.97,ms
257,1,12.49,us
258,0,499.99,ms
259,1,2.74,us
260,3,499.99,ms
