Sample#,group1,SampleTime,units
0,2,40,ns
1,3,781.35,ms
2,2,273.80,us
3,0,499.54,ms
4,1,348.28,us
5,3,499.61,ms
6,2,371.56,us
7,0,499.53,ms
8,1,449.24,us
9,3,499.48,ms
10,2,519.60,us
11,0,499.44,ms
12,1,528.00,us
13,3,499.37,ms
14,2,626.68,us
15,0,499.98,ms
16,1,22.84,us
17,3,499.98,ms
18,2,8.48,us
19,0,499.93,ms
20,1,47.72,us
21,3,499.92,ms
22,2,75.84,us
23,0,499.93,ms
24,1,45.84,us
25,3,499.89,ms
26,2,97.32,us
27,0,499.87,ms
28,1,116.60,us
29,3,499.87,ms
30,2,114.12,us
31,0,499.85,ms
32,1,132.52,us
33,3,499.84,ms
34,2,157.60,us
35,0,500.06,ms
36,2,25.32,us
37,3,499.97,ms
38,1,14.12,us
39,0,499.98,ms
40,2,2.00,us
41,3,499.98,ms
42,2,4.88,us
43,0,499.98,ms
44,1,6.44,us
45,3,499.97,ms
46,2,23.60,us
47,0,499.96,ms
48,1,22.64,us
49,3,499.97,ms
50,2,24.44,us
51,0,499.95,ms
52,1,47.44,us
53,3,499.93,ms
54,2,52.08,us
55,0,500.07,ms
56,1,24.84,us
57,3,499.96,ms
58,2,44.08,us
59,0,499.94,ms
60,1,43.44,us
61,3,499.95,ms
62,2,49.32,us
63,0,499.94,ms
64,1,66.04,us
65,3,499.92,ms
66,2,73.64,us
67,0,499.92,ms
68,1,71.08,us
69,3,499.91,ms
70,2,95.08,us
71,0,499.90,ms
72,1,87.64,us
73,3,499.90,ms
74,2,98.68,us
75,0,499.99,ms
76,2,3.16,us
77,3,499.99,ms
78,1,1.32,us
79,0,499.99,ms
80,2,5.84,us
81,3,499.99,ms
82,2,9.48,us
83,0,499.98,ms
84,1,14.76,us
85,3,499.98,ms
86,2,3.60,us
87,0,499.99,ms
88,1,4.72,us
89,3,499.98,ms
90,2,9.44,us
91,0,499.99,ms
92,1,5.80,us
93,3,499.98,ms
94,2,19.92,us
95,0,499.71,ms
96,1,306.32,us
97,3,499.66,ms
98,2,328.56,us
99,0,499.65,ms
100,1,353.64,us
101,3,499.61,ms
102,2,376.80,us
103,0,499.60,ms
104,1,391.40,us
105,3,499.58,ms
106,2,424.52,us
107,0,499.55,ms
108,1,433.04,us
109,3,499.54,ms
110,2,457.12,us
111,0,499.51,ms
112,1,485.96,us
113,3,499.49,ms
114,2,501.76,us
115,0,499.99,ms
116,1,19.64,us
117,3,499.98,ms
118,2,15.08,us
119,0,499.98,ms
120,2,11.76,us
121,3,499.99,ms
122,1,17.48,us
123,0,499.98,ms
124,2,22.52,us
125,3,499.97,ms
126,1,37.08,us
127,0,499.95,ms
128,2,60.76,us
129,3,499.94,ms
130,1,58.04,us
131,0,499.93,ms
132,2,80.80,us
133,3,499.92,ms
134,1,91.76,us
135,0,499.33,ms
136,1,582.24,us
137,3,499.37,ms
138,2,623.56,us
139,0,499.34,ms
140,1,645.88,us
141,3,499.31,ms
142,2,699.64,us
143,0,499.26,ms
144,1,722.44,us
145,3,499.24,ms
146,2,777.16,us
147,0,499.18,ms
148,1,814.76,us
149,3,499.15,ms
150,2,829.40,us
151,0,499.14,ms
152,1,867.40,us
153,3,499.09,ms
154,2,897.64,us
155,0,499.92,ms
156,1,58.24,us
157,3,499.97,ms
158,2,11.96,us
159,0,500.01,ms
160,1,3.76,us
161,3,499.97,ms
162,1,35.36,us
163,0,499.97,ms
164,2,59.28,us
165,3,499.93,ms
166,1,83.56,us
167,0,499.90,ms
168,2,117.64,us
169,3,499.87,ms
170,1,146.08,us
171,0,499.86,ms
172,2,163.28,us
173,3,499.82,ms
174,1,191.12,us
175,0,499.76,ms
176,2,268.12,us
177,3,499.71,ms
178,1,94.88,us
179,0,499.89,ms
180,2,107.32,us
181,3,499.88,ms
182,1,126.08,us
183,0,499.87,ms
184,2,126.12,us
185,3,499.86,ms
186,1,140.56,us
187,0,499.85,ms
188,2,164.16,us
189,3,499.84,ms
190,1,156.12,us
191,0,499.83,ms
192,2,179.40,us
193,3,499.82,ms
194,1,191.60,us
195,0,499.91,ms
196,2,6.72,us
197,3,499.99,ms
198,2,720,ns
199,0,499.99,ms
200,2,8.44,us
201,3,499.99,ms
202,2,10.00,us
203,0,499.99,ms
204,1,12.80,us
205,3,499.99,ms
206,2,4.28,us
207,0,499.99,ms
208,1,7.76,us
209,3,499.98,ms
210,2,9.96,us
211,0,499.99,ms
212,1,2.28,us
213,3,499.99,ms
214,2,17.92,us
215,0,499.97,ms
216,2,17.04,us
217,3,499.97,ms
218,2,8.52,us
219,0,499.99,ms
220,1,14.56,us
221,3,499.98,ms
222,2,9.68,us
223,0,499.99,ms
224,1,5.48,us
225,3,499.98,ms
226,2,14.92,us
227,0,499.98,ms
228,1,5.28,us
229,3,499.99,ms
230,2,4.44,us
231,0,499.99,ms
232,1,12.72,us
233,3,499.98,ms
234,2,11.64,us
235,0,499.99,ms
236,2,760,ns
237,3,500.00,ms
238,2,3.24,us
239,0,499.98,ms
240,2,5.60,us
241,3,499.99,ms
242,1,2.32,us
243,0,500.00,ms
244,1,4.16,us
245,3,499.99,ms
246,1,64.76,us
247,0,499.93,ms
248,2,20.32,us
249,3,499.98,ms
250,2,280,ns
251,0,499.98,ms
252,2,13.28,us
253,3,499.99,ms
254,1,9.16,us
255,0,500.01,ms
256,1,10.12,us
257,3,499.98,ms
258,2,6.60,us
259,0,499.99,ms
260,1,2.96,us
261,3,499.99,ms
262,2,22.08,us
263,0,499.98,ms
264,1,5.08,us
265,3,499.99,ms
266,2,7.24,us
267,0,499.98,ms
268,1,23.16,us
269,3,499.97,ms
270,2,16.76,us
271,0,499.98,ms
272,1,8.92,us
273,3,499.99,ms
274,2,16.20,us
275,0,499.95,ms
276,2,26.92,us
277,3,499.96,ms
278,1,520,ns
279,0,499.99,ms
280,1,8.68,us
281,3,499.99,ms
282,2,720,ns
283,0,499.99,ms
284,2,3.32,us
285,3,499.99,ms
286,2,13.04,us
287,0,499.98,ms
288,2,7.00,us
289,3,499.99,ms
290,1,7.00,us
291,0,499.99,ms
292,1,3.00,us
293,3,499.99,ms
294,1,1.44,us
295,0,499.98,ms
296,2,25.08,us
297,3,499.97,ms
298,1,37.64,us
299,0,499.95,ms
300,2,43.92,us
301,3,499.95,ms
302,1,49.64,us
303,0,499.96,ms
304,2,27.28,us
305,3,499.95,ms
306,1,47.64,us
307,0,499.94,ms
308,2,56.56,us
309,3,499.94,ms
310,1,48.92,us
311,0,499.94,ms
312,2,57.44,us
313,3,499.94,ms
314,1,66.04,us
315,0,499.99,ms
316,1,65.96,us
317,3,499.93,ms
318,2,27.12,us
319,0,499.97,ms
320,1,28.52,us
321,3,499.96,ms
322,2,46.60,us
323,0,499.95,ms
324,1,34.60,us
325,3,499.96,ms
326,2,36.52,us
327,0,499.95,ms
328,1,49.72,us
329,3,499.94,ms
330,2,51.28,us
331,0,499.95,ms
332,1,38.80,us
333,3,499.95,ms
334,2,60.04,us
335,0,499.91,ms
336,2,26.32,us
337,3,499.85,ms
338,2,117.84,us
339,0,499.87,ms
340,1,142.72,us
341,3,499.84,ms
342,2,133.12,us
343,0,499.86,ms
344,1,132.12,us
345,3,499.86,ms
346,2,153.88,us
347,0,499.83,ms
348,1,143.12,us
349,3,499.85,ms
350,2,149.12,us
351,0,499.83,ms
352,1,169.28,us
353,3,499.81,ms
354,2,173.40,us
355,0,499.82,ms
356,1,276.52,us
357,3,499.94,ms
358,2,46.08,us
359,0,499.95,ms
360,1,26.04,us
361,3,499.97,ms
362,2,23.36,us
363,0,499.98,ms
364,1,35.32,us
365,3,499.96,ms
366,2,22.20,us
367,0,499.98,ms
368,1,13.80,us
369,3,499.98,ms
370,2,29.96,us
371,0,499.97,ms
372,1,12.96,us
373,3,499.99,ms
374,2,7.72,us
375,0,499.92,ms
376,2,73.04,us
377,3,499.30,ms
378,2,598.24,us
379,0,499.36,ms
380,1,629.88,us
381,3,499.32,ms
382,2,684.24,us
383,0,499.27,ms
384,1,704.72,us
385,3,499.25,ms
386,2,736.40,us
387,0,499.22,ms
388,1,786.72,us
389,3,499.17,ms
390,2,810.24,us
391,0,499.17,ms
392,1,820.68,us
393,3,499.12,ms
394,2,892.40,us
395,0,499.07,ms
396,1,1.01,ms
397,3,499.96,ms
398,2,38.36,us
399,0,499.99,ms
400,1,18.60,us
401,3,499.99,ms
402,1,12.04,us
403,0,499.98,ms
404,2,48.12,us
405,3,499.97,ms
406,1,48.04,us
407,0,499.94,ms
408,2,97.00,us
409,3,499.90,ms
410,1,124.36,us
411,0,499.89,ms
412,2,134.36,us
413,3,499.85,ms
414,1,168.24,us
415,0,499.78,ms
416,2,249.08,us
417,3,499.70,ms
418,2,52.48,us
419,0,499.94,ms
420,1,35.84,us
421,3,499.96,ms
422,2,31.56,us
423,0,499.97,ms
424,1,39.24,us
425,3,499.95,ms
426,2,32.04,us
427,0,499.97,ms
428,1,21.76,us
429,3,499.97,ms
430,2,35.64,us
431,0,499.96,ms
432,1,19.64,us
