delay_us,accumulated_us
273.8,781623.8400000001
348.28,1281512.12
371.56,1781493.6800000002
449.24,2281472.9200000004
519.6,2781472.5200000005
528.0,3281440.5200000005
626.68,3781437.2000000007
22.84,4281440.040000001
8.48,4781428.520000001
47.72,5281406.240000001
75.84,5781402.080000001
45.84,6281377.920000001
97.32,6781365.240000001
116.6,7281351.840000001
114.12,7781335.960000001
132.52,8281318.48
157.6,8781316.08
-25.32,9281401.4
-14.12,9781385.52
-2.0,10281367.52
4.88,10781352.4
6.44,11281338.84
23.6,11781332.44
22.64,12281315.08
24.44,12781309.52
47.44,13281306.959999999
52.08,13781289.04
24.84,14281383.879999999
44.08,14781387.959999999
43.44,15281371.399999999
49.32,15781370.719999999
66.04,16281376.759999998
73.64,16781370.4
71.08,17281361.479999997
95.08,17781366.559999995
87.64,18281354.199999996
98.68,18781352.879999995
-3.16,19281346.039999995
-1.32,19781337.359999996
-5.84,20281333.199999996
9.48,20781332.679999996
14.76,21281327.439999998
3.6,21781311.04
4.72,22281305.759999998
9.44,22781295.2
5.8,23281291.0
19.92,23781290.92
306.32,24281307.240000002
328.56,24781295.8
353.64,25281299.44
376.8,25781286.240000002
391.4,26281277.64
424.52,26781282.16
433.04,27281265.2
457.12,27781262.32
485.96,28281258.28
501.76,28781250.040000003
19.64,29281259.680000003
15.08,29781254.76
-11.76,30281246.520000003
-17.48,30781254.000000004
-22.52,31281256.520000003
-37.08,31781263.6
-60.76,32281274.360000003
-58.04,32781272.400000002
-80.8,33281283.200000003
-91.76,33781294.96
582.24,34281207.2
623.56,34781200.760000005
645.88,35281186.64000001
699.64,35781196.28000001
722.44,36281178.720000006
777.16,36781195.88
814.76,37281190.64
829.4,37781170.04
867.4,38281177.44
897.64,38781165.08
58.24,39281143.32
11.96,39781125.28
3.76,40281139.04
-35.36,40781144.4
-59.28,41281173.68
-83.56,41781187.24
-117.64,42281204.88
-146.08,42781220.96
-163.28,43281244.24
-191.12,43781255.36
-268.12,44281283.48
-94.88,44781088.36
-107.32,45281085.68
-126.08,45781091.76
-126.12,46281087.879999995
-140.56,46781088.44
-164.16,47281102.599999994
-156.12,47781098.71999999
-179.4,48281108.11999999
-191.6,48781119.71999999
-6.72,49281036.43999999
0.72,49781027.15999999
-8.44,50281025.59999999
10.0,50781025.59999999
12.8,51281028.39999998
4.28,51781022.679999985
7.76,52281020.43999998
9.96,52781010.39999998
2.28,53281002.679999985
17.92,53781010.59999999
-17.04,54280997.639999986
8.52,54780976.15999999
14.56,55280980.71999999
9.68,55780970.39999999
5.48,56280965.87999999
14.92,56780960.79999999
5.28,57280946.07999999
4.44,57780940.51999999
12.72,58280943.23999999
11.64,58780934.87999999
-0.76,59280925.639999986
3.24,59780928.87999999
-5.6,60280914.47999999
-2.32,60780906.79999999
4.16,61280910.959999986
-64.76,61780965.719999984
-20.32,62280916.039999984
0.28,62780896.319999985
-13.28,63280889.59999999
-9.16,63780888.75999998
10.12,64280908.87999998
6.6,64780895.47999998
2.96,65280888.43999998
22.08,65780900.51999998
5.08,66280885.59999998
7.24,66780882.83999998
23.16,67280885.99999997
16.76,67780872.75999998
8.92,68280861.67999998
16.2,68780867.87999998
-26.92,69280844.79999998
-0.52,69780805.31999998
8.68,70280803.99999999
0.72,70780794.71999998
-3.32,71280788.03999998
13.04,71780791.07999998
-7.0,72280778.07999998
-7.0,72780775.07999998
3.0,73280768.07999998
-1.44,73780759.51999998
-25.08,74280764.59999998
-37.64,74780772.23999998
-43.92,75280766.15999998
-49.64,75780765.79999998
-27.28,76280753.07999998
-47.64,76780750.71999998
-56.56,77280747.27999999
-48.92,77780736.19999999
-57.44,78280733.63999999
-66.04,78780739.67999999
65.96,79280795.63999999
27.12,79780752.75999999
28.52,80280751.27999999
46.6,80780757.87999998
34.6,81280742.47999997
36.52,81780738.99999997
49.72,82280738.71999997
51.28,82780729.99999997
38.8,83280718.79999997
60.04,83780728.83999997
-26.32,84280665.15999997
117.84,84780632.99999997
142.72,85280645.71999997
133.12,85780618.83999997
132.12,86280610.95999998
153.88,86780624.83999997
