delay_us,accumulated_us
21.4,499991.4
-31.56,1000022.9600000001
38.16,1499991.1199999999
40.96,1999982.0799999998
52.72,2499974.8000000003
55.32,2999960.12
74.04,3499964.16
-76.16,4000030.3200000003
78.28,4499948.600000001
83.88,4999932.48
90.56,5499933.04
-37.84,5999960.88
97.52,6499918.399999999
-22.16,6999940.56
119.24,7499909.8
127.96,7999897.76
141.28,8499899.04
144.88,8999883.92
152.28,9499876.2
161.32,9999877.52
165.8,10499863.32
175.48,10999858.8
182.24,11499861.040000001
183.36,11999844.4
195.76,12499840.16
200.24,12999840.4
219.84,13499830.24
223.2,13999823.44
226.56,14499820.0
231.88,14999811.88
241.08,15499802.96
247.0,15999809.96
256.84,16499806.8
258.2,16999785.0
275.92,17499790.92
270.52,17999771.44
296.12,18499777.560000002
294.96,18999772.520000003
297.88,19499760.400000002
303.8,19999744.200000003
314.48,20499748.680000003
312.12,20999730.800000004
276.96,21499727.760000005
331.12,21999718.880000006
346.48,22499705.360000007
349.0,22999694.360000007
359.4,23499703.760000005
365.96,23999689.720000006
373.44,24499683.160000008
376.56,24999679.720000006
393.56,25499673.280000005
398.24,25999661.520000003
393.92,26499665.440000005
396.32,26999641.760000005
411.88,27499643.640000004
420.04,27999643.680000003
288.4,28499632.080000002
423.0,28999625.080000002
191.6,29499626.680000003
453.84,29999620.520000003
460.72,30499601.240000002
467.64,30999598.880000003
477.12,31499586.000000004
476.76,31999572.760000005
488.36,32499571.120000005
495.4,32999556.520000003
501.88,33499548.400000002
373.72,33999552.120000005
507.64,34499539.760000005
522.32,34999532.080000006
529.52,35499531.60000001
538.24,35999519.84000001
546.52,36499516.360000014
556.28,36999522.640000015
558.44,37499501.08000001
564.64,37999495.72000001
580.72,38499496.44000001
577.76,38999484.20000001
592.28,39499476.48000001
593.0,39999479.48000001
607.92,40499467.40000001
608.12,40999455.52000001
625.72,41499461.24000001
617.56,41999438.80000001
636.88,42499425.680000015
640.8,42999426.48000001
650.92,43499407.40000001
655.2,43999402.60000002
668.36,44499410.960000016
671.56,44999392.52000002
679.88,45499382.40000002
685.0,45999387.40000002
696.24,46499373.64000002
708.24,46999371.880000025
713.36,47499365.240000024
715.68,47999350.920000024
723.44,48499334.36000002
729.16,48999333.52000002
749.88,49499333.40000002
746.52,49999309.920000024
752.8,50499312.72000002
763.28,50999306.00000002
772.12,51499298.12000002
774.16,51999292.280000016
776.48,52499278.76000001
787.16,52999265.92000001
794.0,53499269.92000001
808.16,53999258.080000006
812.28,54499250.36000001
426.32,54999256.68000001
822.12,55499238.800000004
817.52,55999226.32000001
840.08,56499226.400000006
786.88,56999213.28000001
841.08,57499204.36000001
862.52,57999206.88000001
868.6,58499185.48000001
873.72,58999179.20000001
887.4,59499186.60000001
887.24,59999173.84000001
901.52,60499165.360000014
767.16,60999172.52000001
908.52,61499151.040000014
910.92,61999141.960000016
928.16,62499150.12000001
930.4,62999130.52000001
943.28,63499123.80000001
948.36,63999132.16000001
959.64,64499121.80000001
962.28,64999114.08000001
971.0,65499115.08000001
973.52,65999098.60000002
985.84,66499094.44000002
947.08,66999091.52000002
998.24,67499089.76
921.52,67999081.28
1010.0,68499071.28
1020.0,68999051.28
1030.0,69499041.28
1040.0,69999051.28
1050.0,70499041.28
1060.0,70999041.28
1060.0,71499041.28
1060.0,71999021.28
1060.0,72499021.28
1070.0,72999021.28
1080.0,73499011.28
1100.0,73999011.28
1100.0,74499001.28
1110.0,74998981.28
1110.0,75498971.28
1120.0,75998971.28
1140.0,76498961.28
1150.0,76998961.28
1150.0,77498951.28
1150.0,77998931.28
1170.0,78498931.28
1160.0,78998911.28
1180.0,79498901.28
1180.0,79998891.28
1190.0,80498891.28
1190.0,80998871.28
1210.0,81498881.28
1200.0,81998861.28
1220.0,82498841.28
1230.0,82998841.28
1240.0,83498851.28
1240.0,83998831.28
1260.0,84498831.28
1260.0,84998831.28
1270.0,85498811.28
1270.0,85998801.28
1280.0,86498801.28
1280.0,86998781.28
1300.0,87498781.28
1300.0,87998781.28
1310.0,88498771.28
1310.0,88998761.28
1320.0,89498761.28
1330.0,89998751.28
1340.0,90498741.28
1350.0,90998751.28
1360.0,91498741.28
1350.0,91998731.28
1360.0,92498731.28
1380.0,92998721.28
1380.0,93498711.28
1390.0,93998721.28
1400.0,94498711.28
1400.0,94998701.28
1410.0,95498701.28
1410.0,95998681.28
1420.0,96498671.28
1430.0,96998671.28
1440.0,97498651.28
1440.0,97998641.28
1450.0,98498641.28
1460.0,98998631.28
1470.0,99498631.28
1470.0,99998631.28
1480.0,100498611.28
1490.0,100998601.28
1510.0,101498621.28
1490.0,101998581.28
1520.0,102498591.28
1510.0,102998581.28
1540.0,103498581.28
1530.0,103998561.28
1540.0,104498561.28
1540.0,104998541.28
1550.0,105498531.28
1560.0,105998531.28
1570.0,106498521.28
1580.0,106998521.28
1610.0,107498541.28
1550.0,107998471.28
1610.0,108498511.28
1600.0,108998501.28
1630.0,109498511.28
1620.0,109998481.28
1640.0,110498501.28
1630.0,110998471.28
1650.0,111498471.28
1640.0,111998461.28
1650.0,112498441.28
1660.0,112998431.28
1670.0,113498441.28
1680.0,113998431.28
1680.0,114498421.28
1680.0,114998421.28
1700.0,115498411.28
1690.0,115998401.28
1720.0,116498411.28
1660.0,116998391.28
1710.0,117498381.28
1730.0,117998381.28
1740.0,118498361.28
1740.0,118998351.28
1760.0,119498361.28
1760.0,119998341.28
1770.0,120498331.28
1770.0,120998331.28
1790.0,121498321.28
1780.0,121998311.28
1800.0,122498321.28
1800.0,122998301.28
1820.0,123498301.28
1810.0,123998301.28
1830.0,124498291.28
1830.0,124998281.28
1840.0,125498291.28
1840.0,125998261.28
1860.0,126498261.28
1860.0,126998261.28
1870.0,127498251.28
1880.0,127998241.28
1890.0,128498251.28
1890.0,128998231.28
1900.0,129498231.28
1910.0,129998241.28
1910.0,130498231.28
1920.0,130998221.28
1930.0,131498231.28
1930.0,131998211.28
1940.0,132498201.28
1950.0,132998211.28
1960.0,133498191.28
1960.0,133998181.28
1980.0,134498191.28
1980.0,134998171.28
1980.0,135498161.28
1990.0,135998161.28
2000.0,136498141.28
2009.9999999999998,136998141.28
2029.9999999999998,137498161.28
2020.0,137998131.28
2029.9999999999998,138498121.28
2029.9999999999998,138998121.28
2050.0,139498121.28
2040.0,139998101.28
2060.0,140498111.28
2060.0,140998091.28
2070.0,141498081.28
2070.0,141998081.28
2080.0,142498061.28
2090.0,142998051.28
2100.0,143498051.28
2110.0,143998041.28
2160.0,144498071.28
2120.0,144998031.28
2140.0,145498031.28
2130.0,145998011.28
2140.0,146498021.28
2150.0,146998001.28
2160.0,147497991.28
2170.0,147997991.28
2180.0,148497981.28
2180.0,148997971.28
2180.0,149497981.28
2190.0,149997961.28
2200.0,150497951.28
2200.0,150997951.28
2210.0,151497941.28
2220.0,151997931.28
2190.0,152497941.28
2230.0,152997921.28
2240.0,153497911.28
2250.0,153997911.28
2270.0,154497901.28
2270.0,154997891.28
2270.0,155497891.28
2280.0,155997871.28
2290.0,156497871.28
2290.0,156997871.28
2300.0,157497851.28
2310.0,157997841.28
2320.0,158497851.28
2320.0,158997831.28
2330.0,159497821.28
2330.0,159997821.28
2350.0,160497811.28
2340.0,160997791.28
2360.0,161497801.28
2350.0,161997781.28
