Sample#,Sync,SampleTime,units
0,1,8,ns
1,3,499.95,ms
2,2,78.42,us
3,0,499.92,ms
4,1,54.20,us
5,3,499.94,ms
6,2,63.96,us
7,0,499.91,ms
8,1,115.60,us
9,3,499.89,ms
10,2,67.15,us
11,0,499.91,ms
12,1,82.11,us
13,3,499.92,ms
14,2,121.25,us
15,0,499.88,ms
16,1,45.96,us
17,3,499.95,ms
18,2,32.46,us
19,0,499.94,ms
20,1,75.56,us
21,3,499.97,ms
22,1,48.04,us
23,0,499.94,ms
24,2,42.46,us
25,3,499.96,ms
26,1,42.08,us
27,0,499.98,ms
28,2,27.48,us
29,3,499.93,ms
30,1,57.90,us
31,0,499.94,ms
32,2,55.32,us
33,3,499.95,ms
34,1,64.54,us
35,0,499.96,ms
36,2,27.70,us
37,3,499.96,ms
38,1,37.64,us
39,0,499.96,ms
40,2,43.59,us
41,3,499.94,ms
42,2,9.75,us
43,0,499.97,ms
44,1,21.85,us
45,3,499.98,ms
46,2,24.13,us
47,0,499.96,ms
48,1,31.80,us
49,3,499.97,ms
50,2,27.83,us
51,0,499.97,ms
52,1,37.52,us
53,3,499.96,ms
54,2,33.63,us
55,0,499.95,ms
56,1,21.94,us
57,3,499.99,ms
58,2,3.34,us
59,0,499.97,ms
60,1,12.47,us
61,3,499.99,ms
62,1,17.54,us
63,0,499.98,ms
64,2,13.53,us
65,3,499.98,ms
66,1,10.38,us
67,0,499.97,ms
68,2,19.00,us
69,3,499.98,ms
70,1,18.93,us
71,0,499.97,ms
72,2,21.28,us
73,3,499.98,ms
74,1,21.10,us
75,0,499.92,ms
76,2,80.51,us
77,3,499.90,ms
78,1,93.70,us
79,0,499.90,ms
80,2,92.88,us
81,3,499.90,ms
82,1,109.30,us
83,0,499.88,ms
84,2,110.59,us
85,3,499.88,ms
86,1,125.66,us
87,0,499.87,ms
88,2,124.03,us
89,3,499.86,ms
90,1,135.42,us
91,0,499.85,ms
92,2,133.57,us
93,3,499.86,ms
94,1,142.64,us
95,0,499.99,ms
96,1,9.98,us
97,3,499.97,ms
98,1,21.70,us
99,0,499.99,ms
100,2,50.10,us
101,3,499.94,ms
102,1,22.83,us
103,0,499.98,ms
104,2,9.43,us
105,3,500.00,ms
106,1,3.51,us
107,0,499.99,ms
108,1,3.90,us
109,3,500.00,ms
110,1,752,ns
111,0,500.00,ms
112,1,10.78,us
113,3,499.99,ms
114,2,8.30,us
115,0,499.95,ms
116,2,27.38,us
117,3,499.97,ms
118,1,37.98,us
119,0,499.95,ms
120,2,33.59,us
121,3,499.96,ms
122,1,25.02,us
123,0,499.98,ms
124,2,71.30,us
125,3,499.92,ms
126,1,68.34,us
127,0,499.92,ms
128,2,52.74,us
129,3,499.95,ms
130,1,30.91,us
131,0,499.96,ms
132,2,24.30,us
133,3,499.97,ms
134,1,17.36,us
135,0,500.00,ms
136,2,5.20,us
137,3,499.98,ms
138,1,7.27,us
139,0,500.00,ms
140,1,17.70,us
141,3,499.97,ms
142,1,8.76,us
143,0,499.98,ms
144,2,1.09,us
145,3,499.99,ms
146,1,1.36,us
147,0,499.99,ms
148,1,10.80,us
149,3,499.98,ms
150,2,8.37,us
151,0,499.98,ms
152,1,12.82,us
153,3,499.99,ms
154,2,9.10,us
155,0,499.96,ms
156,2,13.14,us
157,3,499.98,ms
158,1,16.38,us
159,0,499.97,ms
160,2,26.99,us
161,3,499.96,ms
162,1,47.20,us
163,0,499.95,ms
164,2,40.75,us
165,3,499.96,ms
166,1,47.41,us
167,0,499.94,ms
168,2,46.39,us
169,3,499.95,ms
170,1,59.54,us
171,0,499.94,ms
172,2,50.12,us
173,3,499.93,ms
174,1,57.90,us
175,0,499.99,ms
176,1,21.30,us
177,3,499.99,ms
178,2,8.43,us
179,0,499.97,ms
180,1,26.68,us
181,3,499.98,ms
182,2,16.49,us
183,0,499.93,ms
184,1,72.24,us
185,3,499.92,ms
186,2,91.35,us
187,0,499.90,ms
188,1,90.82,us
189,3,499.91,ms
190,2,88.51,us
191,0,499.89,ms
192,1,99.26,us
193,3,499.89,ms
194,2,106.60,us
195,0,499.89,ms
196,1,47.91,us
197,3,499.94,ms
198,2,45.61,us
199,0,499.94,ms
200,1,54.31,us
201,3,499.95,ms
202,2,46.53,us
203,0,499.99,ms
204,2,7.56,us
