delay_us,accumulated_us
-67.15,67.158
-82.11,500059.268
-121.25,1000100.5179999999
-45.96,1500026.478
-32.46,2000008.9379999998
-75.56,2500024.498
48.04,3000042.538
42.46,3500024.998
42.08,4000027.078
27.48,4500034.558
57.9,5000022.458000001
55.32,5500017.778000001
64.54,6000032.318000001
27.7,6500020.018000001
37.64,7000017.658000001
43.59,7500021.248000001
-9.75,7999970.998000001
-21.85,8499962.848
-24.13,8999966.978
-31.8,9499958.778
-27.83,9999956.608000001
-37.52,10499964.128
-33.63,10999957.758000001
-21.94,11499929.698
-3.34,11999923.038
-12.47,12499905.508000001
17.54,12999913.048
13.53,13499906.578
10.38,13999896.958
19.0,14499885.958
18.93,14999884.888
21.28,15499876.168
21.1,15999877.268
80.51,16499877.777999999
93.7,16999871.477999996
92.88,17499864.357999995
109.3,17999873.657999996
110.59,18499864.247999996
125.66,18999869.907999996
124.03,19499863.937999997
135.42,19999859.358
133.57,20499842.928
142.64,20999845.568
-9.98,21499845.548
21.7,21999837.248
50.1,22499877.348
22.83,22999840.178
9.43,23499829.608
3.51,23999833.118
-3.9,24499827.018
0.752,24999827.77
-10.78,25499838.55
-8.3,25999836.85
27.38,26499814.23
37.98,26999822.21
33.59,27499805.8
25.02,27999790.82
71.3,28499842.12
68.34,28999830.46
52.74,29499803.2
30.91,29999784.11
24.3,30499768.41
17.36,30999755.77
5.2,31499760.97
7.27,31999748.24
-17.7,32499765.939999998
8.76,32999744.7
1.09,33499725.79
1.36,33999717.15
-10.8,34499717.949999996
-8.37,34999706.31999999
-12.82,35499699.13999999
-9.1,35999698.239999995
13.14,36499671.379999995
16.38,36999667.76
26.99,37499664.75
47.2,37999671.95
40.75,38499662.7
47.41,38999670.11
46.39,39499656.5
59.54,39999666.04
50.12,40499656.16
57.9,40999644.059999995
-21.3,41499655.35999999
-8.43,41999653.78999999
-26.68,42499650.46999999
-16.49,42999646.95999999
-72.24,43499649.199999996
-91.35,43999660.55
-90.82,44499651.37
-88.51,44999649.879999995
-99.26,45499639.13999999
-106.6,45999635.739999995
-47.91,46499573.64999999
-45.61,46999559.25999999
-54.31,47499553.56999999
-46.53,47999550.099999994
